pXC50,nAB,nCsp2,nS,nBM,Mp,AMW,Mi,Sv,nCsp3,Si,nH,Mv,H.,nN,nDB,Sp,nC,nAT,nBT,Se,C.,Me,MW,N.,nB,nBO,nBR,nCL,nCsp,nF
8.638,17,14,0,18,0.645,7.482,1.136,34.234,7,62.481,25,0.622,45.5,5,1,35.461,21,55,57,55.654,38.2,1.012,411.51,9.1,0,32,0,0,0,0
7.796,23,19,0,23,0.675,7.576,1.125,34.278,4,59.647,23,0.647,43.4,5,0,35.79,23,53,56,53.116,43.4,1.002,401.51,9.4,0,33,0,0,0,0
8.638,17,14,0,18,0.648,7.644,1.136,32.707,6,59.066,23,0.629,44.2,5,1,33.699,20,52,54,52.771,38.5,1.015,397.48,9.6,0,31,0,0,0,0
9.337,17,14,0,19,0.67,7.829,1.129,32.466,5,56.441,21,0.649,42.0,5,1,33.483,21,50,52,50.56,42.0,1.011,391.47,10.0,0,31,0,0,2,0
7.0,23,21,0,26,0.708,8.481,1.121,36.74,2,59.398,19,0.693,35.8,7,2,37.517,25,53,57,53.669,47.2,1.013,449.51,13.2,0,38,0,0,2,0
8.0,17,14,0,18,0.642,7.337,1.136,35.761,8,65.896,27,0.617,46.6,5,1,37.222,22,58,60,58.538,37.9,1.009,425.54,8.6,0,33,0,0,0,0
7.824,12,11,0,14,0.692,9.65,1.128,27.943,4,47.369,17,0.665,40.5,4,1,29.068,17,42,43,42.803,40.5,1.019,405.28,9.5,0,26,1,0,2,0
8.495,17,14,0,19,0.661,7.492,1.13,35.519,7,63.272,25,0.634,44.6,5,1,37.006,23,56,58,56.327,41.1,1.006,419.53,8.9,0,33,0,0,2,0
4.825,18,16,0,18,0.684,7.192,1.121,28.3,4,49.315,20,0.643,45.5,4,0,30.114,20,44,47,43.476,45.5,0.988,316.44,9.1,0,27,0,0,0,0
4.825,18,16,0,18,0.734,8.823,1.115,24.547,1,39.013,13,0.701,37.1,4,0,25.688,17,35,38,35.149,48.6,1.004,308.79,11.4,0,25,0,1,0,0
4.888,18,16,0,18,0.748,10.093,1.112,24.745,1,38.911,13,0.707,37.1,4,0,26.182,17,35,38,35.054,48.6,1.002,353.24,11.4,0,25,1,0,0,0
4.841,18,16,0,18,0.732,9.337,1.124,24.93,1,39.353,12,0.712,34.3,4,0,25.625,17,35,38,35.662,48.6,1.019,326.78,11.4,0,26,0,1,0,1
4.841,18,16,0,18,0.732,9.337,1.124,24.93,1,39.353,12,0.712,34.3,4,0,25.625,17,35,38,35.662,48.6,1.019,326.78,11.4,0,26,0,1,0,1
5.569,18,16,0,19,0.666,7.719,1.137,35.96,6,64.794,26,0.631,45.6,7,1,37.966,22,57,59,57.2,38.6,1.004,440.0,12.3,0,33,0,1,0,0
5.833,18,16,0,19,0.666,7.719,1.137,35.96,6,64.794,26,0.631,45.6,7,1,37.966,22,57,59,57.2,38.6,1.004,440.0,12.3,0,33,0,1,0,0
4.664,12,10,0,13,0.652,7.668,1.135,25.918,4,46.528,18,0.632,43.9,4,0,26.716,16,41,42,41.574,39.0,1.014,314.38,9.8,0,24,0,0,2,0
5.509,12,10,0,13,0.647,7.464,1.135,27.444,5,49.943,20,0.624,45.5,4,0,28.478,17,44,45,44.458,38.6,1.01,328.41,9.1,0,25,0,0,2,0
5.469,12,10,0,12,0.634,7.445,1.142,23.918,4,44.528,18,0.613,46.2,4,0,24.716,14,39,40,39.574,35.9,1.015,290.36,10.3,0,22,0,0,0,0
6.056,12,10,0,13,0.647,7.464,1.135,27.444,5,49.943,20,0.624,45.5,4,0,28.478,17,44,45,44.458,38.6,1.01,328.41,9.1,0,25,0,0,2,0
5.009,12,10,0,13,0.643,7.654,1.137,28.159,5,51.152,20,0.626,44.4,4,0,28.932,17,45,46,45.785,37.8,1.017,344.41,8.9,0,26,0,0,2,0
6.26,12,10,0,13,0.639,7.467,1.137,29.686,6,54.568,22,0.618,45.8,4,0,30.693,18,48,49,48.669,37.5,1.014,358.44,8.3,0,27,0,0,2,0
5.041,12,10,0,13,0.643,7.654,1.137,28.159,5,51.152,20,0.626,44.4,4,0,28.932,17,45,46,45.785,37.8,1.017,344.41,8.9,0,26,0,0,2,0
6.921,12,10,0,13,0.643,7.286,1.135,28.971,6,53.358,22,0.616,46.8,4,0,30.239,18,47,48,47.342,38.3,1.007,342.44,8.5,0,26,0,0,2,0
8.854,12,10,0,13,0.643,7.286,1.135,28.971,6,53.358,22,0.616,46.8,4,0,30.239,18,47,48,47.342,38.3,1.007,342.44,8.5,0,26,0,0,2,0
7.886,12,10,0,13,0.643,7.286,1.135,28.971,6,53.358,22,0.616,46.8,4,0,30.239,18,47,48,47.342,38.3,1.007,342.44,8.5,0,26,0,0,2,0
5.155,22,16,1,22,0.73,8.801,1.12,26.423,1,42.571,14,0.695,36.8,6,0,27.728,17,38,41,38.222,44.7,1.006,334.44,15.8,0,27,0,0,0,0
4.377,21,16,0,21,0.696,8.28,1.121,25.149,1,41.488,14,0.68,37.8,4,0,25.739,17,37,40,37.48,45.9,1.013,306.35,10.8,0,26,0,0,0,0
5.551,16,15,1,19,0.675,8.91,1.131,33.271,4,56.574,19,0.665,38.0,5,3,33.733,19,50,52,51.734,38.0,1.035,445.5,10.0,0,33,0,0,0,0
6.183,16,15,1,19,0.671,8.491,1.128,35.303,6,60.906,22,0.654,40.7,4,3,36.25,21,54,56,55.4,38.9,1.026,458.54,7.4,0,34,0,0,0,0
5.638,16,15,0,19,0.651,8.22,1.136,33.61,5,59.07,21,0.646,40.4,5,3,33.847,20,52,54,53.542,38.5,1.03,427.46,9.6,0,33,0,0,0,0
6.638,16,15,1,19,0.675,8.91,1.131,33.271,4,56.574,19,0.665,38.0,5,3,33.733,19,50,52,51.734,38.0,1.035,445.5,10.0,0,33,0,0,0,0
6.678,17,12,0,17,0.648,7.76,1.145,27.74,4,50.398,19,0.63,43.2,7,0,28.517,16,44,46,44.669,36.4,1.015,341.42,15.9,0,27,0,0,0,0
4.627,21,16,0,21,0.684,7.79,1.127,26.983,2,46.192,17,0.658,41.5,5,0,28.051,18,41,44,41.138,43.9,1.003,319.4,12.2,0,27,0,0,0,0
7.237,17,13,0,17,0.647,7.385,1.14,29.772,5,54.73,22,0.62,45.8,6,0,31.034,18,48,50,48.334,37.5,1.007,354.46,12.5,0,28,0,0,0,0
6.229,17,12,0,17,0.702,9.145,1.142,22.558,1,37.678,12,0.684,36.4,7,0,23.182,13,33,35,33.687,39.4,1.021,301.77,21.2,0,23,0,1,0,0
7.046,17,13,1,17,0.732,9.218,1.123,24.756,2,40.432,14,0.688,38.9,5,0,26.341,15,36,38,36.327,41.7,1.009,331.86,13.9,0,24,0,1,0,0
5.796,21,16,1,21,0.723,8.459,1.118,25.928,1,42.488,15,0.682,39.5,5,0,27.483,17,38,41,38.003,44.7,1.0,321.44,13.2,0,26,0,0,0,0
4.585,16,12,1,16,0.715,8.786,1.122,21.095,1,34.783,12,0.68,38.7,4,0,22.171,13,31,33,31.345,41.9,1.011,272.36,12.9,0,21,0,0,0,0
6.824,22,17,0,22,0.696,7.91,1.127,26.762,1,45.066,16,0.669,40.0,6,0,27.841,18,40,43,40.029,45.0,1.001,316.4,15.0,0,27,0,0,0,0
7.825,17,13,0,17,0.651,7.565,1.14,28.246,4,51.315,20,0.628,44.4,6,0,29.273,17,45,47,45.451,37.8,1.01,340.43,13.3,0,27,0,0,0,0
4.569,16,12,0,16,0.645,7.66,1.14,26.939,4,49.026,19,0.626,44.2,5,0,27.722,16,43,45,43.676,37.2,1.016,329.4,11.6,0,26,0,0,0,0
7.42,17,13,0,17,0.647,8.35,1.16,30.208,5,54.54,19,0.643,40.4,6,0,30.392,18,47,49,48.545,38.3,1.033,392.43,12.8,0,30,0,0,0,3
7.125,17,14,0,17,0.706,8.565,1.129,23.569,1,39.512,14,0.673,40.0,5,0,24.693,15,35,37,35.251,42.9,1.007,299.79,14.3,0,23,0,1,0,0
4.854,17,12,1,17,0.7,8.734,1.133,24.138,2,40.78,14,0.67,38.9,6,0,25.182,14,36,38,36.549,38.9,1.015,314.41,16.7,0,24,0,0,0,0
4.569,16,12,0,16,0.714,9.663,1.133,24.111,2,39.665,13,0.689,37.1,5,0,25.006,14,35,37,35.902,40.0,1.026,338.22,14.3,0,24,0,2,0,0
7.569,22,18,0,22,0.697,7.693,1.122,27.268,1,45.983,17,0.665,41.5,5,0,28.597,19,41,44,40.811,46.3,0.995,315.41,12.2,0,27,0,0,0,0
7.796,17,13,0,17,0.658,6.97,1.135,30.87,7,56.727,24,0.617,48.0,6,0,32.887,20,50,53,49.563,40.0,0.991,348.5,12.0,0,29,0,0,0,0
7.481,17,14,0,17,0.696,8.258,1.13,25.095,2,42.927,16,0.66,42.1,5,0,26.455,16,38,40,38.134,42.1,1.004,313.82,13.2,0,24,0,1,0,0
7.523,17,13,1,17,0.68,8.125,1.13,28.411,4,49.737,19,0.646,43.2,5,0,29.915,17,44,46,44.425,38.6,1.01,357.48,11.4,0,27,0,0,0,0
7.187,17,13,1,17,0.699,7.986,1.126,25.455,3,43.903,17,0.653,43.6,5,0,27.245,16,39,41,38.887,41.0,0.997,311.45,12.8,0,24,0,0,0,0
4.635,17,12,1,17,0.685,8.611,1.135,26.379,3,45.405,16,0.659,40.0,6,0,27.398,15,40,42,40.76,37.5,1.019,344.44,15.0,0,26,0,0,0,0
6.523,17,13,0,17,0.646,7.748,1.142,28.96,4,52.524,20,0.63,43.5,6,0,29.728,17,46,48,46.778,37.0,1.017,356.43,13.0,0,28,0,0,0,0
4.49,22,18,0,22,0.686,8.079,1.126,28.697,1,48.402,17,0.667,39.5,5,0,29.506,19,43,46,43.465,44.2,1.011,347.41,11.6,0,29,0,0,0,0
4.921,22,18,0,22,0.686,8.079,1.126,28.697,1,48.402,17,0.667,39.5,5,0,29.506,19,43,46,43.465,44.2,1.011,347.41,11.6,0,29,0,0,0,0
7.585,22,17,0,22,0.69,7.487,1.123,28.795,3,49.398,19,0.654,43.2,5,0,30.358,20,44,47,43.694,45.5,0.993,329.44,11.4,0,28,0,0,0,0
5.796,17,12,1,17,0.7,8.734,1.133,24.138,2,40.78,14,0.67,38.9,6,0,25.182,14,36,38,36.549,38.9,1.015,314.41,16.7,0,24,0,0,0,0
8.143,17,13,0,17,0.655,7.373,1.139,27.531,4,50.106,20,0.626,45.5,6,0,28.819,17,44,46,44.123,38.6,1.003,324.43,13.6,0,26,0,0,0,0
7.796,17,13,0,17,0.66,7.173,1.137,26.816,4,48.896,20,0.624,46.5,6,0,28.364,17,43,45,42.796,39.5,0.995,308.43,14.0,0,25,0,0,0,0
5.161,17,12,0,17,0.653,7.985,1.146,26.213,3,46.983,17,0.639,41.5,7,0,26.756,15,41,43,41.785,36.6,1.019,327.39,17.1,0,26,0,0,0,0
7.608,17,13,0,17,0.695,8.508,1.135,24.59,2,42.01,15,0.665,40.5,6,0,25.699,15,37,39,37.353,40.5,1.01,314.81,16.2,0,24,0,1,0,0
4.824,17,12,1,17,0.707,8.526,1.131,23.423,2,39.571,14,0.669,40.0,6,0,24.728,14,35,37,35.222,40.0,1.006,298.41,17.1,0,23,0,0,0,0
6.854,17,14,0,17,0.657,7.568,1.135,27.224,3,48.817,19,0.633,44.2,5,0,28.267,17,43,45,43.349,39.5,1.008,325.41,11.6,0,26,0,0,0,0
6.0,17,12,0,17,0.644,7.943,1.147,28.455,4,51.608,19,0.632,42.2,7,0,28.972,16,45,47,45.996,35.6,1.022,357.42,15.6,0,28,0,0,0,0
6.051,17,12,0,17,0.653,9.134,1.17,26.649,3,46.793,14,0.666,35.0,7,0,26.114,15,40,42,41.996,37.5,1.05,365.36,17.5,0,28,0,0,0,3
6.523,17,13,0,17,0.704,8.846,1.135,23.063,1,38.595,13,0.678,38.2,6,0,23.938,14,34,36,34.469,41.2,1.014,300.78,17.6,0,23,0,1,0,0
4.975,17,12,0,17,0.653,9.134,1.17,26.649,3,46.793,14,0.666,35.0,7,0,26.114,15,40,42,41.996,37.5,1.05,365.36,17.5,0,28,0,0,0,3
8.131,17,13,0,17,0.643,7.56,1.142,30.487,5,55.94,22,0.622,44.9,6,0,31.489,18,49,51,49.662,36.7,1.014,370.46,12.2,0,29,0,0,0,0
6.357,17,12,0,17,0.658,7.785,1.144,25.499,3,45.774,17,0.637,42.5,7,0,26.301,15,40,42,40.458,37.5,1.011,311.39,17.5,0,25,0,0,0,0
8.388,17,13,0,17,0.651,7.565,1.14,28.246,4,51.315,20,0.628,44.4,6,0,29.273,17,45,47,45.451,37.8,1.01,340.43,13.3,0,27,0,0,0,0
7.523,22,17,1,22,0.72,8.273,1.117,28.455,2,46.903,17,0.677,40.5,5,0,30.245,19,42,45,41.887,45.2,0.997,347.48,11.9,0,28,0,0,0,0
5.733,17,12,0,17,0.658,7.785,1.144,25.499,3,45.774,17,0.637,42.5,7,0,26.301,15,40,42,40.458,37.5,1.011,311.39,17.5,0,25,0,0,0,0
4.504,16,12,0,16,0.66,7.926,1.139,23.171,2,40.986,15,0.644,41.7,5,0,23.745,14,36,38,36.582,38.9,1.016,285.34,13.9,0,23,0,0,0,0
7.348,17,13,0,17,0.647,7.385,1.14,29.772,5,54.73,22,0.62,45.8,6,0,31.034,18,48,50,48.334,37.5,1.007,354.46,12.5,0,28,0,0,0,0
7.638,17,13,0,17,0.655,7.373,1.139,27.531,4,50.106,20,0.626,45.5,6,0,28.819,17,44,46,44.123,38.6,1.003,324.43,13.6,0,26,0,0,0,0
4.775,17,12,1,17,0.745,9.963,1.128,22.723,1,36.099,11,0.71,34.4,6,0,23.824,13,32,34,32.662,40.6,1.021,318.82,18.8,0,23,0,1,0,0
7.269,17,13,0,17,0.64,7.084,1.14,32.826,7,61.561,26,0.608,48.1,6,0,34.557,20,54,56,54.101,37.0,1.002,382.52,11.1,0,30,0,0,0,0
4.432,21,16,0,21,0.692,8.036,1.126,25.456,1,42.777,15,0.67,39.5,5,0,26.29,17,38,41,38.254,44.7,1.007,305.37,13.2,0,26,0,0,0,0
6.62,22,17,0,22,0.688,7.684,1.127,28.289,2,48.481,18,0.658,41.9,6,0,29.603,19,43,46,42.912,44.2,0.998,330.43,14.0,0,28,0,0,0,0
7.201,17,13,1,17,0.692,8.186,1.128,26.17,3,45.112,17,0.654,42.5,5,0,27.699,16,40,42,40.214,40.0,1.005,327.45,12.5,0,25,0,0,0,0
6.959,17,12,0,17,0.653,7.985,1.146,26.213,3,46.983,17,0.639,41.5,7,0,26.756,15,41,43,41.785,36.6,1.019,327.39,17.1,0,26,0,0,0,0
4.343,22,18,0,22,0.692,7.891,1.124,27.983,1,47.192,17,0.666,40.5,5,0,29.051,19,42,45,42.138,45.2,1.003,331.41,11.9,0,28,0,0,0,0
7.745,17,13,0,17,0.651,8.6,1.162,28.681,4,51.125,17,0.652,38.6,6,0,28.631,17,44,46,45.661,38.6,1.038,378.4,13.6,0,29,0,0,0,3
7.046,17,13,1,17,0.732,9.218,1.123,24.756,2,40.432,14,0.688,38.9,5,0,26.341,15,36,38,36.327,41.7,1.009,331.86,13.9,0,24,0,1,0,0
7.244,17,13,1,17,0.699,7.986,1.126,25.455,3,43.903,17,0.653,43.6,5,0,27.245,16,39,41,38.887,41.0,0.997,311.45,12.8,0,24,0,0,0,0
7.119,22,16,0,22,0.695,8.138,1.132,26.257,1,44.149,15,0.673,38.5,7,0,27.086,17,39,42,39.247,43.6,1.006,317.39,17.9,0,27,0,0,0,0
8.137,17,13,0,17,0.655,7.373,1.139,27.531,4,50.106,20,0.626,45.5,6,0,28.819,17,44,46,44.123,38.6,1.003,324.43,13.6,0,26,0,0,0,0
7.77,12,10,0,12,0.626,6.635,1.141,32.858,10,63.893,29,0.587,51.8,5,0,35.074,20,56,58,55.767,35.7,0.996,371.54,8.9,0,29,0,0,0,0
7.854,12,10,0,12,0.643,8.253,1.16,26.165,6,47.543,17,0.638,41.5,4,0,26.381,16,41,43,42.341,39.0,1.033,338.37,9.8,0,26,0,0,0,3
7.208,11,8,1,11,0.683,7.659,1.13,21.434,5,38.404,16,0.63,47.1,4,0,23.239,13,34,36,33.785,38.2,0.994,260.4,11.8,0,20,0,0,0,0
6.854,12,10,0,12,0.648,8.059,1.158,25.45,6,46.334,17,0.636,42.5,4,0,25.927,16,40,42,41.014,40.0,1.025,322.37,10.0,0,25,0,0,0,3
7.638,12,10,0,12,0.64,6.987,1.137,27.256,7,51.149,22,0.606,48.9,4,0,28.784,17,45,47,45.014,37.8,1.0,314.43,8.9,0,25,0,0,0,0
7.678,12,10,0,12,0.648,6.937,1.135,25.015,6,46.524,20,0.61,48.8,4,0,26.569,16,41,43,40.803,39.0,0.995,284.4,9.8,0,23,0,0,0,0
7.854,12,10,0,12,0.648,6.937,1.135,25.015,6,46.524,20,0.61,48.8,4,0,26.569,16,41,43,40.803,39.0,0.995,284.4,9.8,0,23,0,0,0,0
4.05,16,12,0,16,0.726,10.131,1.133,22.584,1,36.25,11,0.706,34.4,5,0,23.244,13,32,34,33.018,40.6,1.032,324.19,15.6,0,23,0,2,0,0
5.036,21,16,1,21,0.723,8.459,1.118,25.928,1,42.488,15,0.682,39.5,5,0,27.483,17,38,41,38.003,44.7,1.0,321.44,13.2,0,26,0,0,0,0
5.959,21,16,0,21,0.688,7.805,1.13,25.762,1,44.066,16,0.661,41.0,6,0,26.841,17,39,42,39.029,43.6,1.001,304.39,15.4,0,26,0,0,0,0
6.086,22,16,0,22,0.696,7.91,1.127,26.762,2,45.066,16,0.669,40.0,6,0,27.841,18,40,43,40.029,45.0,1.001,316.4,15.0,0,27,0,0,0,0
6.959,17,13,1,17,0.692,8.186,1.128,26.17,3,45.112,17,0.654,42.5,5,0,27.699,16,40,42,40.214,40.0,1.005,327.45,12.5,0,25,0,0,0,0
4.328,16,12,0,16,0.726,10.131,1.133,22.584,1,36.25,11,0.706,34.4,5,0,23.244,13,32,34,33.018,40.6,1.032,324.19,15.6,0,23,0,2,0,0
6.0,16,12,0,16,0.71,9.368,1.138,24.417,2,40.954,14,0.678,38.9,6,0,25.557,14,36,38,36.676,38.9,1.019,337.24,16.7,0,24,0,2,0,0
4.668,16,12,0,16,0.739,10.647,1.132,24.938,2,39.609,12,0.713,34.3,5,0,25.864,14,35,37,36.225,40.0,1.035,372.66,14.3,0,25,0,3,0,0
6.061,21,16,0,21,0.681,7.581,1.131,27.289,2,47.481,18,0.65,42.9,6,0,28.603,18,42,45,41.912,42.9,0.998,318.42,14.3,0,27,0,0,0,0
4.703,16,15,0,19,0.645,8.194,1.14,34.632,5,61.568,22,0.641,40.7,6,3,34.852,20,54,56,55.643,37.0,1.03,442.48,11.1,0,34,0,0,0,0
6.114,17,12,1,17,0.718,8.887,1.13,21.896,1,36.155,12,0.684,37.5,6,0,22.966,13,32,34,32.338,40.6,1.011,284.38,18.8,0,22,0,0,0,0
7.714,17,13,0,17,0.643,7.225,1.14,31.299,6,58.145,24,0.614,47.1,6,0,32.796,19,51,53,51.218,37.3,1.004,368.49,11.8,0,29,0,0,0,0
7.538,17,13,0,17,0.647,7.385,1.14,29.772,5,54.73,22,0.62,45.8,6,0,31.034,18,48,50,48.334,37.5,1.007,354.46,12.5,0,28,0,0,0,0
7.824,17,13,0,17,0.655,7.373,1.139,27.531,4,50.106,20,0.626,45.5,6,0,28.819,17,44,46,44.123,38.6,1.003,324.43,13.6,0,26,0,0,0,0
4.42,21,16,0,21,0.692,8.036,1.126,25.456,1,42.777,15,0.67,39.5,5,0,26.29,17,38,41,38.254,44.7,1.007,305.37,13.2,0,26,0,0,0,0
7.248,17,13,0,17,0.651,7.565,1.14,28.246,4,51.315,20,0.628,44.4,6,0,29.273,17,45,47,45.451,37.8,1.01,340.43,13.3,0,27,0,0,0,0
6.319,17,14,0,17,0.649,7.214,1.136,30.278,5,55.647,23,0.618,46.9,5,0,31.79,19,49,51,49.116,38.8,1.002,353.47,10.2,0,28,0,0,0,0
7.0,17,13,0,17,0.655,7.373,1.139,27.531,4,50.106,20,0.626,45.5,6,0,28.819,17,44,46,44.123,38.6,1.003,324.43,13.6,0,26,0,0,0,0
7.658,17,13,0,17,0.651,8.6,1.162,28.681,4,51.125,17,0.652,38.6,6,0,28.631,17,44,46,45.661,38.6,1.038,378.4,13.6,0,29,0,0,0,3
7.537,17,13,0,17,0.647,7.385,1.14,29.772,5,54.73,22,0.62,45.8,6,0,31.034,18,48,50,48.334,37.5,1.007,354.46,12.5,0,28,0,0,0,0
4.499,16,12,0,16,0.712,9.34,1.13,26.638,4,44.08,15,0.683,38.5,5,0,27.767,16,39,42,39.785,41.0,1.02,364.26,12.8,0,27,0,2,0,0
7.585,17,13,0,17,0.662,7.116,1.134,29.343,6,53.311,22,0.624,46.8,6,0,31.125,19,47,50,46.68,40.4,0.993,334.47,12.8,0,28,0,0,0,0
4.936,21,16,1,21,0.728,8.714,1.113,25.622,1,41.199,14,0.692,37.8,4,0,26.932,17,37,40,37.229,45.9,1.006,322.42,10.8,0,26,0,0,0,0
4.721,21,16,1,21,0.728,8.714,1.113,25.622,1,41.199,14,0.692,37.8,4,0,26.932,17,37,40,37.229,45.9,1.006,322.42,10.8,0,26,0,0,0,0
8.313,17,13,0,17,0.651,7.565,1.14,28.246,4,51.315,20,0.628,44.4,6,0,29.273,17,45,47,45.451,37.8,1.01,340.43,13.3,0,27,0,0,0,0
8.102,17,13,0,17,0.653,7.379,1.135,28.751,5,52.232,21,0.625,45.7,5,0,30.029,18,46,48,46.232,39.1,1.005,339.44,10.9,0,27,0,0,0,0
6.678,18,17,0,19,0.657,7.565,1.129,34.213,5,60.983,24,0.634,44.4,4,1,35.455,22,54,56,54.552,40.7,1.01,408.5,7.4,0,32,0,0,0,0
6.319,17,13,0,17,0.646,7.748,1.142,28.96,4,52.524,20,0.63,43.5,6,0,29.728,17,46,48,46.778,37.0,1.017,356.43,13.0,0,28,0,0,0,0
5.036,12,10,0,12,0.626,6.61,1.14,29.31,8,56.979,26,0.586,52.0,4,0,31.307,18,50,51,49.781,36.0,0.996,330.48,8.0,0,25,0,0,0,0
4.69,16,12,0,16,0.649,7.563,1.137,29.466,6,53.441,21,0.627,44.7,5,0,30.483,18,47,50,47.56,38.3,1.012,355.44,10.6,0,29,0,0,0,0
7.237,12,11,0,13,0.636,7.183,1.138,27.971,6,52.358,22,0.608,47.8,4,1,29.239,17,46,47,46.342,37.0,1.007,330.43,8.7,0,25,0,0,0,0
6.319,12,11,0,13,0.629,7.209,1.14,30.213,7,56.983,24,0.604,48.0,4,1,31.455,18,50,51,50.552,36.0,1.011,360.46,8.0,0,27,0,0,0,0
6.284,17,13,0,17,0.679,7.834,1.137,22.236,1,38.651,14,0.654,41.2,6,0,23.08,14,34,36,34.145,41.2,1.004,266.34,17.6,0,22,0,0,0,0
5.745,17,12,1,17,0.707,8.526,1.131,23.423,2,39.571,14,0.669,40.0,6,0,24.728,14,35,37,35.222,40.0,1.006,298.41,17.1,0,23,0,0,0,0
4.456,16,12,0,16,0.641,7.558,1.139,31.707,7,58.066,23,0.622,45.1,5,0,32.699,19,51,54,51.771,37.3,1.015,385.47,9.8,0,31,0,0,0,0
5.301,12,10,0,12,0.624,6.5,1.14,30.837,9,60.394,28,0.582,52.8,4,0,33.069,19,53,54,52.665,35.8,0.994,344.51,7.5,0,26,0,0,0,0
5.268,17,12,0,17,0.655,7.771,1.14,26.719,4,47.9,18,0.636,42.9,6,0,27.512,16,42,44,42.567,38.1,1.014,326.4,14.3,0,26,0,0,0,0
4.883,16,12,0,16,0.712,9.34,1.13,26.638,4,44.08,15,0.683,38.5,5,0,27.767,16,39,42,39.785,41.0,1.02,364.26,12.8,0,27,0,2,0,0
7.523,12,11,0,13,0.63,6.894,1.138,31.025,8,59.189,26,0.597,50.0,4,1,32.762,19,52,53,52.109,36.5,1.002,358.49,7.7,0,27,0,0,0,0
6.222,18,17,0,19,0.665,7.926,1.128,31.159,3,54.152,20,0.649,41.7,4,1,31.932,20,48,50,48.785,41.7,1.016,380.44,8.3,0,30,0,0,0,0
6.444,12,11,0,13,0.625,6.938,1.14,33.266,9,63.813,28,0.594,50.0,4,1,34.978,20,56,57,56.32,35.7,1.006,388.52,7.1,0,29,0,0,0,0
6.149,18,17,0,19,0.657,7.565,1.129,34.213,5,60.983,24,0.634,44.4,4,1,35.455,22,54,56,54.552,40.7,1.01,408.5,7.4,0,32,0,0,0,0
5.699,18,17,0,19,0.665,7.926,1.128,31.159,3,54.152,20,0.649,41.7,4,1,31.932,20,48,50,48.785,41.7,1.016,380.44,8.3,0,30,0,0,0,0
7.469,17,13,1,17,0.708,8.262,1.125,23.928,2,40.488,15,0.665,41.7,5,0,25.483,15,36,38,36.003,41.7,1.0,297.42,13.9,0,23,0,0,0,0
7.319,22,17,1,22,0.73,8.55,1.115,26.928,1,43.488,15,0.69,38.5,5,0,28.483,18,39,42,39.003,46.2,1.0,333.45,12.8,0,27,0,0,0,0
7.041,17,13,0,17,0.729,9.859,1.133,23.891,1,38.539,12,0.703,35.3,6,0,24.796,14,34,36,34.793,41.2,1.023,335.22,17.6,0,24,0,2,0,0
7.244,17,13,0,17,0.729,9.859,1.133,23.891,1,38.539,12,0.703,35.3,6,0,24.796,14,34,36,34.793,41.2,1.023,335.22,17.6,0,24,0,2,0,0
7.301,17,13,0,17,0.729,9.859,1.133,23.891,1,38.539,12,0.703,35.3,6,0,24.796,14,34,36,34.793,41.2,1.023,335.22,17.6,0,24,0,2,0,0
5.569,0,4,0,4,0.633,9.34,1.148,20.846,5,37.887,13,0.632,39.4,2,4,20.898,9,33,34,35.098,27.3,1.064,308.21,6.1,0,21,0,0,0,0
4.432,16,12,0,16,0.637,7.647,1.142,29.181,5,53.651,21,0.621,44.7,5,0,29.938,17,47,49,47.887,36.2,1.019,359.43,10.6,0,28,0,0,0,0
5.951,12,14,0,16,0.657,8.091,1.137,31.675,5,55.734,20,0.646,40.8,6,4,32.182,19,49,52,50.105,38.8,1.023,396.45,12.2,0,32,0,0,0,0
5.149,16,12,0,16,0.649,7.884,1.14,25.412,3,45.611,17,0.635,42.5,5,0,25.96,15,40,42,40.793,37.5,1.02,315.37,12.5,0,25,0,0,0,0
6.854,17,13,0,17,0.655,7.771,1.14,26.719,3,47.9,18,0.636,42.9,6,0,27.512,16,42,44,42.567,38.1,1.014,326.4,14.3,0,26,0,0,0,0
5.056,12,10,0,13,0.637,7.555,1.148,32.675,8,62.003,26,0.605,48.1,7,1,34.421,18,54,55,54.527,33.3,1.01,407.96,13.0,0,29,0,1,0,0
6.161,12,10,0,14,0.693,9.055,1.146,21.558,2,36.678,12,0.674,37.5,7,2,22.182,12,32,33,32.687,37.5,1.021,289.76,21.9,0,21,0,1,0,0
7.585,22,17,0,22,0.696,7.91,1.127,26.762,1,45.066,16,0.669,40.0,6,0,27.841,18,40,43,40.029,45.0,1.001,316.4,15.0,0,27,0,0,0,0
7.854,17,13,0,17,0.651,7.565,1.14,28.246,4,51.315,20,0.628,44.4,6,0,29.273,17,45,47,45.451,37.8,1.01,340.43,13.3,0,27,0,0,0,0
6.538,12,10,0,12,0.63,7.158,1.144,32.541,9,61.77,26,0.603,48.1,6,0,34.012,19,54,57,54.429,35.2,1.008,386.51,11.1,0,31,0,0,0,0
7.469,12,11,0,14,0.647,7.56,1.134,30.686,6,55.568,22,0.626,44.9,4,1,31.693,19,49,50,49.669,38.8,1.014,370.45,8.2,0,28,0,0,2,0
7.289,17,13,0,17,0.718,9.439,1.134,25.417,2,41.954,14,0.687,37.8,6,0,26.557,15,37,39,37.676,40.5,1.018,349.25,16.2,0,25,0,2,0,0
6.886,17,13,1,17,0.719,8.588,1.123,22.401,1,37.072,13,0.679,39.4,5,0,23.722,14,33,35,33.12,42.4,1.004,283.39,15.2,0,22,0,0,0,0
