pXC50,SCBO,nBO,nSK,RBF,Me,MW,nC,Sv,RBN,Sp,nBT,nDB,Se,Si,nAT,C.,AMW
5.398,61.0,50,46,0.158,1.001,633.85,37,55.28,15,58.461,95,2,91.079,103.146,91,40.7,6.965
5.921,52.0,44,41,0.161,1.002,571.78,32,49.753,14,52.699,87,2,84.196,95.731,84,38.1,6.807
5.854,57.0,46,42,0.138,1.015,581.69,32,48.029,11,49.591,80,2,77.174,86.41,76,42.1,7.654
6.187,55.0,46,43,0.147,0.992,591.88,34,53.556,14,57.597,95,3,91.257,104.464,92,37.0,6.433
5.32,54.0,45,42,0.143,0.995,578.83,33,51.722,13,55.285,91,3,87.599,99.759,88,37.5,6.578
6.398,56.0,47,44,0.165,0.993,606.89,35,54.776,16,58.807,97,3,93.367,106.59,94,37.2,6.456
5.585,54.0,46,43,0.161,1.0,599.84,34,52.806,15,56.222,93,2,89.963,102.562,90,37.8,6.665
6.398,51.0,43,40,0.155,1.004,557.75,31,48.226,13,50.938,84,2,81.312,92.316,81,38.3,6.886
5.801,53.0,44,41,0.144,0.992,562.83,33,51.008,13,54.83,90,3,86.272,98.55,87,37.9,6.469
5.29,53.0,44,41,0.148,0.997,564.8,32,50.196,13,53.523,88,3,84.716,96.344,85,37.6,6.645
4.544,52.0,43,40,0.141,0.998,550.77,31,48.669,12,51.762,85,3,81.832,92.929,82,37.8,6.717
5.301,48.0,40,37,0.147,1.009,515.66,28,43.646,11,45.654,75,2,72.661,82.07,72,38.9,7.162
5.33,57.0,45,42,0.152,1.021,605.74,30,47.931,12,49.694,79,3,77.578,86.539,76,39.5,7.97
5.839,58.0,46,43,0.143,1.013,617.8,32,50.27,12,52.762,84,3,82.018,92.16,81,39.5,7.627
6.105,57.0,45,42,0.155,1.007,598.81,31,49.712,13,52.586,84,3,81.538,91.774,81,38.3,7.393
7.347,58.0,47,44,0.156,1.002,607.81,35,52.753,14,55.699,90,2,87.196,98.731,87,40.2,6.986
5.252,56.0,45,41,0.139,1.012,564.69,31,47.14,11,48.898,79,2,75.879,85.153,75,41.3,7.529
4.104,50.0,41,38,0.136,0.995,520.74,30,46.427,11,49.546,81,3,77.621,88.304,78,38.5,6.676
4.0,47.0,38,36,0.145,0.996,494.7,28,43.9,11,46.785,76,3,73.738,83.889,74,37.8,6.685
5.77,56.0,45,41,0.138,1.009,563.7,32,47.646,11,49.654,80,2,76.661,86.07,76,42.1,7.417
4.678,52.0,42,39,0.134,1.0,556.8,29,47.329,11,50.648,82,4,79.025,89.434,79,36.7,7.048
5.084,54.0,45,42,0.154,0.995,578.83,33,51.722,14,55.285,91,3,87.599,99.759,88,37.5,6.578
6.301,58.0,50,50,0.195,0.996,722.12,37,63.575,22,68.938,113,5,112.501,128.918,113,32.7,6.39
6.114,30.0,22,20,0.054,0.998,265.34,16,22.94,2,24.04,37,2,34.934,39.196,35,45.7,7.581
8.347,62.0,53,52,0.122,1.0,731.06,38,64.597,14,68.989,115,6,113.97,130.291,114,33.3,6.413
6.585,56.0,43,41,0.163,1.008,584.78,30,48.186,13,50.824,80,4,78.654,88.358,78,38.5,7.497
6.959,59.0,46,43,0.161,1.002,607.85,32,51.35,14,54.654,87,4,84.127,94.932,84,38.1,7.236
6.255,61.5,50,49,0.163,1.005,707.01,34,59.677,17,63.591,104,6,103.512,117.55,103,33.0,6.864
7.161,58.0,45,42,0.159,1.008,596.79,31,49.186,13,51.824,82,4,79.654,89.358,79,39.2,7.554
6.75,57.0,44,41,0.159,1.002,578.8,31,48.802,13,51.887,82,4,79.141,89.019,79,39.2,7.327
7.509,62.0,50,49,0.162,1.0,702.03,36,60.468,17,64.893,105,6,103.967,118.257,104,34.6,6.75
6.401,63.0,51,50,0.17,1.003,718.03,36,61.182,18,65.347,106,6,105.294,119.467,105,34.3,6.838
6.389,62.5,51,50,0.159,1.004,721.04,35,61.204,17,65.353,107,6,106.396,120.965,106,33.0,6.802
4.571,55.0,44,41,0.154,1.016,569.68,31,47.029,12,48.591,78,2,76.174,85.41,75,41.3,7.596
5.16,54.5,43,40,0.157,1.0,568.82,29,48.13,13,51.444,83,3,80.018,90.806,80,36.3,7.11
4.0,54.5,43,40,0.16,1.006,570.79,28,47.318,13,50.137,81,3,78.461,88.6,78,35.9,7.318
4.268,56.0,43,40,0.063,1.001,563.78,31,47.781,5,50.881,80,4,77.04,86.52,77,40.3,7.322
5.384,57.0,45,42,0.15,1.012,580.7,33,48.534,12,50.347,80,3,77.956,87.327,77,42.9,7.542
5.511,61.0,47,44,0.159,1.012,604.72,35,50.534,13,52.347,82,2,79.956,89.327,79,44.3,7.655
4.387,60.0,44,40,0.027,0.995,529.68,34,46.584,2,49.04,75,2,70.658,78.936,71,47.9,7.46
5.845,58.0,46,43,0.145,1.015,618.79,31,49.764,12,52.006,83,3,81.236,91.244,80,38.8,7.735
5.78,59.0,47,44,0.14,1.013,632.82,32,51.291,12,53.768,86,3,84.119,94.659,83,38.6,7.624
5.53,59.0,47,43,0.135,0.999,606.86,33,51.856,12,55.41,89,3,84.909,95.849,85,38.8,7.14
6.469,45.5,35,33,0.188,1.003,469.03,25,38.906,12,41.142,64,2,62.2,69.963,62,40.3,7.565
5.921,50.0,42,39,0.165,1.011,545.69,29,45.887,13,47.87,79,2,76.872,86.695,76,38.2,7.18
6.1,50.0,42,38,0.143,1.009,527.67,29,44.646,11,46.654,77,2,73.661,83.07,73,39.7,7.228
4.378,48.0,38,36,0.147,1.001,515.74,27,43.781,11,46.881,75,4,73.04,82.52,73,37.0,7.065
4.38,46.0,38,35,0.145,0.992,478.7,28,43.186,11,46.33,76,2,72.41,82.68,73,38.4,6.558
4.48,51.5,41,38,0.165,0.996,518.73,29,45.702,13,48.58,79,2,75.73,86.261,76,38.2,6.825
5.444,52.0,42,40,0.172,0.995,571.86,31,49.888,15,53.927,87,4,84.574,96.181,85,36.5,6.728
5.668,57.0,46,42,0.133,1.007,577.73,33,49.172,11,51.415,83,2,79.545,89.486,79,41.8,7.313
4.889,39.5,32,28,0.083,0.988,376.55,23,34.122,5,36.614,60,2,55.338,63.185,56,41.1,6.724
5.699,56.0,45,42,0.163,1.017,584.7,31,48.05,13,49.597,80,2,78.276,87.908,77,40.3,7.594
5.672,57.0,46,42,0.138,1.015,581.69,32,48.029,11,49.591,80,2,77.174,86.41,76,42.1,7.654
5.87,54.5,44,40,0.143,1.012,569.73,30,46.306,11,48.54,77,2,73.854,82.575,73,41.1,7.805
5.62,54.0,46,42,0.157,1.002,583.79,33,50.753,14,53.699,89,2,85.196,96.731,85,38.8,6.868
6.585,53.0,45,42,0.156,1.001,585.81,33,51.28,14,54.461,90,2,87.079,99.146,87,37.9,6.733
5.921,60.0,49,45,0.152,1.002,619.82,36,53.753,14,56.699,92,2,88.196,99.731,88,40.9,7.043
7.699,59.0,48,44,0.126,1.009,607.76,34,51.414,11,53.631,87,2,83.756,94.11,83,41.0,7.322
6.222,57.0,46,43,0.141,1.009,596.76,33,50.389,12,52.665,85,2,82.716,93.529,82,40.2,7.278
5.288,57.0,46,42,0.138,1.015,581.69,32,48.029,11,49.591,80,2,77.174,86.41,76,42.1,7.654
5.372,56.0,48,44,0.147,1.0,611.85,35,53.806,14,57.222,95,2,90.963,103.562,91,38.5,6.724
6.432,59.0,48,44,0.138,0.992,598.86,36,54.008,13,57.83,94,2,89.272,101.55,90,40.0,6.654
5.369,55.0,44,41,0.152,1.012,568.7,31,47.335,12,49.143,79,2,76.948,86.699,76,40.8,7.483
4.89,51.0,43,40,0.146,0.992,550.82,32,50.008,13,53.83,89,2,85.272,97.55,86,37.2,6.405
6.235,51.0,43,40,0.167,1.004,557.75,31,48.226,14,50.938,84,2,81.312,92.316,81,38.3,6.886
7.268,57.0,46,43,0.149,1.004,593.78,34,51.226,13,53.938,87,2,84.312,95.316,84,40.5,7.069
5.456,43.5,36,32,0.129,0.99,434.64,26,39.417,9,42.353,70,2,65.316,74.64,66,39.4,6.585
5.16,55.0,44,41,0.167,0.999,560.76,32,49.142,14,52.0,84,2,80.949,91.514,81,39.5,6.923
5.824,51.0,43,40,0.171,1.01,559.72,30,47.414,14,49.631,82,2,79.756,90.11,79,38.0,7.085
6.481,52.0,44,41,0.161,1.002,571.78,32,49.753,14,52.699,87,2,84.196,95.731,84,38.1,6.807
8.0,53.0,42,39,0.163,0.997,530.73,31,46.9,13,49.785,80,2,76.738,86.889,77,40.3,6.893
5.47,52.0,41,38,0.165,0.992,514.73,31,46.186,13,49.33,79,2,75.41,85.68,76,40.8,6.773
5.971,54.5,44,40,0.143,1.015,553.66,30,45.834,11,47.347,77,2,74.105,82.865,73,41.1,7.584
5.444,56.0,45,41,0.139,1.012,564.69,31,47.14,11,48.898,79,2,75.879,85.153,75,41.3,7.529
6.119,59.0,47,44,0.157,1.022,635.77,31,50.172,13,51.909,83,3,81.789,91.164,80,38.8,7.947
6.222,59.0,47,44,0.155,1.019,634.79,31,50.479,13,52.461,84,3,82.563,92.453,81,38.3,7.837
6.201,58.0,46,43,0.155,1.013,616.8,31,50.096,13,52.523,84,3,82.05,92.113,81,38.3,7.615
5.37,56.0,44,41,0.155,1.0,580.82,31,49.329,13,52.648,84,3,81.025,91.434,81,38.3,7.171
5.442,47.0,39,37,0.181,0.988,508.78,30,46.766,15,50.614,83,2,80.061,91.925,81,37.0,6.281
6.215,50.0,42,39,0.16,1.005,543.72,30,46.699,13,49.177,81,2,78.428,88.901,78,38.5,6.971
5.699,51.0,43,40,0.171,1.01,559.72,30,47.414,14,49.631,82,2,79.756,90.11,79,38.0,7.085
5.638,49.0,41,38,0.154,1.007,529.69,29,45.172,12,47.415,78,2,75.545,85.486,75,38.7,7.063
4.35,53.0,42,39,0.163,0.997,530.73,31,46.9,13,49.785,80,2,76.738,86.889,77,40.3,6.893
5.208,54.5,44,40,0.145,1.015,570.72,29,45.8,11,47.784,76,2,73.072,81.658,72,40.3,7.927
4.92,48.0,40,37,0.134,0.99,506.76,30,46.239,11,49.853,82,2,78.178,89.51,79,38.0,6.415
6.851,59.0,46,42,0.143,1.002,590.81,32,49.802,12,52.887,84,4,80.141,90.019,80,40.0,7.385
4.0,60.0,46,42,0.146,0.995,582.19,35,49.992,12,53.182,82,2,77.632,87.126,78,44.9,7.464
5.09,57.0,46,43,0.157,1.014,598.73,32,49.577,13,51.358,83,2,81.159,91.324,80,40.0,7.484
5.71,56.0,45,41,0.133,1.0,559.74,33,48.789,11,51.478,83,2,79.032,89.146,79,41.8,7.085
7.229,62.0,48,44,0.12,1.017,628.78,32,50.237,10,52.245,83,3,80.352,89.828,79,40.5,7.959
4.9,60.0,47,43,0.136,1.015,593.7,33,49.029,11,50.591,81,2,78.174,87.41,77,42.9,7.71
5.24,60.0,47,43,0.134,1.012,592.72,33,49.335,11,51.143,82,2,78.948,88.699,78,42.3,7.599
6.449,53.5,45,45,0.192,1.005,658.97,30,55.677,19,59.591,99,6,99.512,113.55,99,30.3,6.656
5.2,60.0,47,43,0.136,1.015,593.71,32,48.83,11,50.387,81,2,78.167,87.782,77,41.6,7.711
4.63,58.0,46,42,0.145,1.004,571.74,32,49.11,12,51.483,83,3,79.283,89.182,79,40.5,7.237
5.52,58.0,44,40,0.125,0.999,560.78,31,47.561,10,50.671,80,3,75.93,85.394,76,40.8,7.379
6.339,53.5,45,45,0.194,1.008,659.95,30,55.37,19,59.04,98,6,98.738,112.261,98,30.6,6.734
4.0,68.5,52,47,0.152,0.996,628.84,38,55.228,14,58.341,92,2,86.614,97.676,87,43.7,7.228
5.05,60.0,47,43,0.138,1.018,594.7,31,48.325,11,49.631,80,2,77.385,86.865,76,40.8,7.825
4.0,63.0,47,43,0.131,0.991,571.77,37,51.164,11,54.324,84,2,79.309,89.182,80,46.3,7.147
5.04,56.0,45,42,0.146,1.011,582.73,32,48.862,12,50.904,82,2,79.832,90.114,79,40.5,7.376
5.1,50.0,41,38,0.133,0.995,542.82,29,47.141,11,50.955,83,3,79.581,90.64,80,36.3,6.785
5.68,55.0,44,40,0.138,1.002,545.71,32,47.262,11,49.716,80,2,76.149,85.731,76,42.1,7.18
4.0,56.0,43,39,0.141,0.997,525.7,32,46.352,11,49.017,78,2,73.752,82.976,74,43.2,7.104
4.0,55.0,44,40,0.133,0.994,541.75,33,48.406,11,51.54,83,2,78.519,88.806,79,41.8,6.858
4.0,57.5,44,40,0.152,0.993,553.78,33,47.824,12,51.211,79,2,74.501,83.686,75,44.0,7.384
4.0,54.0,43,39,0.138,0.995,527.72,32,46.879,11,49.779,80,2,75.636,85.391,76,42.1,6.944
4.0,55.0,44,40,0.133,0.994,541.75,33,48.406,11,51.54,83,2,78.519,88.806,79,41.8,6.858
4.0,51.0,40,37,0.16,0.997,501.68,30,44.352,12,47.017,75,2,71.752,80.976,72,41.7,6.968
4.0,50.0,39,36,0.153,0.998,487.65,29,42.825,11,45.256,72,2,68.869,77.561,69,42.0,7.067
4.71,47.0,38,35,0.149,0.999,500.73,26,42.561,11,45.671,74,3,70.93,80.394,71,36.6,7.053
4.32,44.0,35,33,0.145,1.001,474.69,24,40.034,10,42.909,69,3,67.047,75.979,67,35.8,7.085
5.9,48.0,37,34,0.116,1.002,484.68,25,40.507,8,43.148,69,3,66.163,74.564,66,37.9,7.344
5.824,49.0,40,36,0.081,0.999,491.67,28,42.822,6,45.296,74,3,69.93,79.478,70,40.0,7.024
6.6,60.0,47,43,0.138,1.0,604.84,33,51.329,12,54.648,87,4,83.025,93.434,83,39.8,7.287
6.678,56.0,45,42,0.14,0.991,596.92,33,52.721,13,57.239,93,3,89.232,101.885,90,36.7,6.632
5.24,60.0,47,43,0.136,1.015,593.71,32,48.83,11,50.387,81,2,78.167,87.782,77,41.6,7.711
5.36,52.0,43,41,0.161,0.99,586.93,32,52.248,15,57.001,93,3,90.116,103.3,91,35.2,6.45
5.08,60.0,47,43,0.134,1.012,592.72,33,49.335,11,51.143,82,2,78.948,88.699,78,42.3,7.599
5.38,60.0,48,45,0.149,1.017,648.82,32,52.006,13,54.222,87,3,85.447,95.868,84,38.1,7.724
4.88,61.5,48,44,0.133,1.012,604.73,34,50.335,11,52.143,83,2,79.948,89.699,79,43.0,7.655
5.11,58.0,44,41,0.15,1.003,576.79,30,48.077,12,50.921,80,3,77.25,86.975,77,39.0,7.491
6.943,54.0,43,39,0.108,0.996,552.81,30,47.614,9,51.194,83,3,78.698,89.224,79,38.0,6.998
5.845,58.0,46,43,0.145,1.015,618.79,31,49.764,12,52.006,83,3,81.236,91.244,80,38.8,7.735
7.292,59.0,47,44,0.149,1.006,606.78,34,51.721,13,54.182,87,3,84.53,95.399,84,40.5,7.224
5.29,61.0,48,44,0.129,1.01,606.75,34,50.862,11,52.904,85,2,81.832,92.114,81,42.0,7.491
5.15,59.0,47,44,0.14,1.013,632.82,32,51.291,12,53.768,86,3,84.119,94.659,83,38.6,7.624
7.658,60.0,48,45,0.144,1.005,620.81,35,53.247,13,55.944,90,3,87.414,98.814,87,40.2,7.136
6.456,60.0,48,45,0.135,1.012,646.85,33,52.818,12,55.529,89,3,87.003,98.074,86,38.4,7.522
4.49,54.0,42,39,0.15,0.998,550.79,30,47.087,12,50.432,80,3,76.814,86.809,77,39.0,7.153
4.0,56.0,43,39,0.141,0.997,525.7,32,46.352,11,49.017,78,2,73.752,82.976,74,43.2,7.104
4.0,54.0,43,39,0.138,0.995,527.72,32,46.879,11,49.779,80,2,75.636,85.391,76,42.1,6.944
4.0,53.0,40,37,0.151,0.993,495.67,31,44.111,11,46.802,73,2,69.541,78.351,70,44.3,7.081
6.58,51.0,40,36,0.122,1.001,510.72,27,43.034,9,45.909,74,3,70.047,78.979,70,38.6,7.296
6.48,52.0,41,37,0.13,0.999,524.75,28,44.561,10,47.671,77,3,72.93,82.394,73,38.4,7.188
5.943,49.0,38,35,0.125,1.001,498.71,26,42.034,9,44.909,72,3,69.047,77.979,69,37.7,7.228
6.409,55.0,44,41,0.144,0.993,582.89,32,51.195,13,55.478,90,3,86.348,98.47,87,36.8,6.7
6.167,58.0,47,43,0.119,1.02,622.78,30,49.479,10,51.461,84,3,81.563,91.453,80,37.5,7.785
6.208,53.0,42,38,0.113,0.998,538.78,29,46.087,9,49.432,80,3,75.814,85.809,76,38.2,7.089
7.018,60.0,46,42,0.131,1.002,590.81,32,49.802,11,52.887,84,3,80.141,90.019,80,40.0,7.385
5.98,59.0,45,41,0.136,1.003,576.78,31,48.275,11,51.125,81,3,77.258,86.603,77,40.3,7.491
6.959,56.0,45,42,0.14,0.991,596.92,33,52.721,13,57.239,93,3,89.232,101.885,90,36.7,6.632
5.664,49.0,38,35,0.125,1.001,498.71,26,42.034,9,44.909,72,3,69.047,77.979,69,37.7,7.228
6.432,51.0,40,36,0.122,1.001,510.72,27,43.034,9,45.909,74,3,70.047,78.979,70,38.6,7.296
6.027,56.0,45,41,0.115,0.999,582.84,31,49.856,10,53.41,87,3,82.909,93.849,83,37.3,7.022
5.445,58.0,46,43,0.133,1.015,618.79,31,49.764,11,52.006,83,3,81.236,91.244,80,38.8,7.735
5.73,59.0,45,41,0.123,1.003,576.78,31,48.275,10,51.125,81,3,77.258,86.603,77,40.3,7.491
6.585,61.0,47,43,0.127,1.023,615.73,31,48.404,10,49.932,79,3,76.694,85.124,75,41.3,8.21
5.827,52.0,39,36,0.127,1.002,508.7,27,42.507,9,45.148,71,3,68.163,76.564,68,39.7,7.481
7.229,62.0,48,44,0.12,1.017,628.78,32,50.237,10,52.245,83,3,80.352,89.828,79,40.5,7.959
5.42,60.0,49,45,0.112,1.014,647.84,32,52.312,10,54.773,89,5,86.221,97.157,85,37.6,7.622
5.939,50.0,39,35,0.129,1.006,497.67,26,41.2,9,43.597,70,3,66.389,74.275,66,39.4,7.54
6.377,51.0,40,37,0.128,0.998,526.77,28,45.087,10,48.432,78,3,74.814,84.809,75,37.3,7.024
6.367,51.0,40,37,0.128,0.998,526.77,28,45.087,10,48.432,78,3,74.814,84.809,75,37.3,7.024
6.456,59.0,45,41,0.136,1.003,576.78,31,48.275,11,51.125,81,3,77.258,86.603,77,40.3,7.491
5.495,51.0,38,35,0.134,1.008,495.65,26,40.674,9,42.835,67,3,64.505,71.86,64,40.6,7.745
7.051,55.0,44,40,0.116,0.995,566.84,31,49.141,10,52.955,86,3,81.581,92.64,82,37.8,6.913
6.229,54.0,43,39,0.111,1.002,554.78,29,46.802,9,49.887,81,3,77.141,87.019,77,37.7,7.205
6.347,54.0,43,39,0.125,1.005,555.76,29,46.496,10,49.336,80,3,76.367,85.73,76,38.2,7.313
4.06,29.0,21,19,0.059,1.002,251.31,15,21.413,2,22.279,34,2,32.051,35.78,32,46.9,7.853
7.553,53.0,42,39,0.133,1.02,566.71,27,44.711,10,46.483,75,3,73.469,82.413,72,37.5,7.871
4.951,50.0,41,38,0.136,1.0,544.79,28,46.329,11,49.648,81,3,78.025,88.434,78,35.9,6.984
6.494,54.0,43,39,0.111,1.002,554.78,29,46.802,9,49.887,81,3,77.141,87.019,77,37.7,7.205
5.91,49.0,40,38,0.147,1.019,556.72,26,44.237,11,46.245,75,3,74.352,83.828,73,35.6,7.626
4.71,47.0,38,35,0.149,0.999,500.73,26,42.561,11,45.671,74,3,70.93,80.394,71,36.6,7.053
4.79,49.0,41,37,0.113,0.999,529.78,27,45.109,9,48.438,80,5,75.916,86.308,76,35.5,6.971
4.868,46.0,38,35,0.132,0.997,502.75,26,43.087,10,46.432,76,5,72.814,82.809,73,35.6,6.887
5.263,51.0,40,36,0.122,1.001,510.72,27,43.034,9,45.909,74,3,70.047,78.979,70,38.6,7.296
5.932,47.0,36,33,0.121,1.004,470.65,24,38.98,8,41.387,66,3,63.28,71.148,63,38.1,7.471
6.678,54.0,43,39,0.108,0.996,552.81,30,47.614,9,51.194,83,3,78.698,89.224,79,38.0,6.998
5.509,52.0,39,36,0.127,1.002,508.7,27,42.507,9,45.148,71,3,68.163,76.564,68,39.7,7.481
5.9,48.0,37,34,0.116,1.002,484.68,25,40.507,8,43.148,69,3,66.163,74.564,66,37.9,7.344
6.824,55.0,44,40,0.119,1.0,568.81,30,48.329,10,51.648,84,3,80.025,90.434,80,37.5,7.11
7.125,53.0,42,39,0.133,1.02,566.71,27,44.711,10,46.483,75,3,73.469,82.413,72,37.5,7.871
4.728,50.0,41,38,0.123,1.0,544.79,28,46.329,10,49.648,81,3,78.025,88.434,78,35.9,6.984
4.521,37.0,29,26,0.043,1.024,358.4,19,28.45,2,28.927,46,2,44.014,49.334,43,44.2,8.335
4.613,35.0,27,24,0.064,0.996,320.43,19,28.015,3,29.569,47,2,43.803,49.524,44,43.2,7.282
5.635,47.0,34,31,0.073,1.004,411.5,24,34.751,4,36.029,55,2,52.232,58.232,52,46.2,7.913
6.018,48.0,37,33,0.077,0.995,440.59,27,38.837,5,41.069,65,2,60.665,68.394,61,44.3,7.223
5.137,50.0,39,35,0.067,1.031,483.51,25,37.623,4,37.847,60,2,57.723,64.212,56,44.6,8.634
6.018,44.0,33,30,0.07,0.998,400.52,24,34.783,4,36.546,57,2,53.898,60.564,54,44.4,7.417
6.252,43.0,32,29,0.078,1.009,406.9,22,32.557,4,33.881,51,2,48.454,53.678,48,45.8,8.477
5.735,31.0,23,21,0.054,1.007,299.78,16,23.767,2,24.898,37,2,35.258,39.14,35,45.7,8.565
6.108,44.0,33,30,0.074,1.01,404.48,23,33.64,4,34.722,54,2,51.527,57.489,51,45.1,7.931
5.799,43.0,32,29,0.075,1.005,387.48,22,32.751,4,34.029,53,2,50.232,56.232,50,44.0,7.75
4.914,48.0,37,33,0.074,1.039,455.45,23,34.569,4,34.324,54,2,51.956,57.381,50,46.0,9.109
5.597,36.0,31,27,0.067,0.99,367.54,22,33.342,4,35.824,60,2,55.447,63.311,56,39.3,6.563
6.105,43.0,32,29,0.074,1.0,386.49,23,33.256,4,34.784,54,2,51.014,57.149,51,45.1,7.578
5.6,47.0,36,33,0.091,1.036,456.46,23,35.121,5,35.051,55,2,53.88,59.377,52,44.2,8.778
6.284,43.0,32,29,0.078,1.013,390.45,22,32.113,4,32.961,51,2,48.643,54.073,48,45.8,8.134
5.38,44.0,33,30,0.091,1.007,402.49,23,33.971,5,35.239,55,2,52.342,58.358,52,44.2,7.74
5.298,46.0,35,32,0.08,1.051,445.41,21,32.757,4,32.017,50,2,49.4,54.176,47,44.7,9.477
6.222,45.0,34,31,0.103,1.004,416.52,24,35.498,6,37.0,58,2,55.225,61.773,55,43.6,7.573
6.699,46.0,35,32,0.115,1.002,430.55,25,37.025,7,38.762,61,2,58.109,65.189,58,43.1,7.423
5.947,44.0,33,29,0.057,1.003,384.47,23,32.73,3,34.023,53,2,49.131,54.734,49,46.9,7.846
6.268,44.0,33,29,0.059,1.012,386.44,22,31.918,3,32.716,51,2,47.574,52.528,47,46.8,8.222
4.762,50.0,39,35,0.067,1.031,483.51,25,37.623,4,37.847,60,2,57.723,64.212,56,44.6,8.634
5.001,46.0,35,32,0.08,1.051,445.41,21,32.757,4,32.017,50,2,49.4,54.176,47,44.7,9.477
5.9,46.0,35,32,0.08,1.051,445.41,21,32.757,4,32.017,50,2,49.4,54.176,47,44.7,9.477
6.523,49.0,38,34,0.091,1.0,456.59,27,39.552,6,41.523,66,2,61.992,69.604,62,43.5,7.364
4.979,49.0,38,33,0.05,1.011,443.52,25,36.661,3,37.728,60,2,55.629,61.987,55,45.5,8.064
4.963,44.0,33,29,0.07,0.986,380.53,25,34.354,4,36.637,57,2,52.243,59.145,53,47.2,7.18
5.004,50.0,39,35,0.104,1.004,473.6,27,40.241,7,42.012,67,2,63.28,71.232,63,42.9,7.517
5.287,31.0,23,21,0.075,0.995,279.37,17,24.467,3,25.801,40,2,37.818,42.611,38,44.7,7.352
6.77,47.0,36,33,0.125,1.0,444.58,26,38.552,8,40.523,64,2,60.992,68.604,61,42.6,7.288
5.606,46.0,35,32,0.078,1.045,444.42,22,33.263,4,32.773,51,2,50.181,55.092,48,45.8,9.259
5.223,47.0,36,33,0.091,1.036,456.46,23,35.121,5,35.051,55,2,53.88,59.377,52,44.2,8.778
5.699,49.0,38,34,0.073,1.045,471.45,23,35.284,4,34.779,55,2,53.283,58.591,51,45.1,9.244
6.092,45.0,34,31,0.074,1.02,422.47,23,34.023,4,34.659,54,2,52.04,57.828,51,45.1,8.284
5.018,37.0,32,28,0.066,0.996,383.54,22,34.057,4,36.279,61,2,56.774,64.521,57,38.6,6.729
5.155,45.0,34,30,0.07,0.995,398.52,25,34.737,4,36.574,57,2,52.756,59.485,53,47.2,7.519
5.735,46.0,35,32,0.098,1.002,430.55,25,37.025,6,38.762,61,2,58.109,65.189,58,43.1,7.423
5.553,44.0,33,30,0.075,1.015,405.47,22,33.134,4,33.966,53,2,50.745,56.572,50,44.0,8.109
6.26,46.0,33,30,0.077,1.007,397.47,23,33.224,4,34.267,52,2,49.349,54.817,49,46.9,8.112
5.123,46.0,35,32,0.08,1.051,445.41,21,32.757,4,32.017,50,2,49.4,54.176,47,44.7,9.477
4.65,46.0,35,31,0.082,0.99,410.56,26,36.595,5,38.853,61,2,56.454,63.77,57,45.6,7.203
4.967,51.0,40,36,0.063,1.027,497.54,26,39.15,4,39.608,63,2,60.607,67.627,59,44.1,8.433
5.396,36.0,31,27,0.05,0.99,367.54,22,33.342,3,35.824,60,2,55.447,63.311,56,39.3,6.563
5.444,49.0,38,34,0.07,1.035,469.48,24,36.096,4,36.086,57,2,54.84,60.797,53,45.3,8.858
5.924,32.0,24,22,0.073,1.004,295.37,17,25.181,3,26.256,41,2,39.145,43.82,39,43.6,7.574
5.764,32.0,24,22,0.073,1.004,295.37,17,25.181,3,26.256,41,2,39.145,43.82,39,43.6,7.574
6.377,31.0,23,21,0.054,1.007,299.78,16,23.767,2,24.898,37,2,35.258,39.14,35,45.7,8.565
4.419,33.0,25,22,0.047,0.99,290.4,18,25.773,2,27.353,43,2,39.592,44.9,40,45.0,7.26
4.971,48.0,37,33,0.071,1.03,452.48,23,35.207,4,35.392,56,2,53.545,59.54,52,44.2,8.702
4.791,45.0,34,30,0.071,1.0,398.51,23,34.058,4,35.58,56,2,52.007,58.521,52,44.2,7.664
5.357,48.0,37,32,0.053,1.014,429.49,24,35.134,3,35.966,57,2,52.745,58.572,52,46.2,8.259
5.423,44.0,36,32,0.098,1.015,442.53,24,36.272,6,37.427,61,2,57.876,65.204,57,42.1,7.764
5.412,38.0,33,29,0.053,1.021,407.48,21,32.965,3,33.875,57,2,54.101,60.915,53,39.6,7.688
5.364,37.0,32,28,0.063,0.989,381.57,23,34.869,4,37.586,63,2,58.33,66.727,59,39.0,6.467
5.18,46.0,35,31,0.07,1.006,415.51,24,34.946,4,36.273,57,2,53.301,59.777,53,45.3,7.84
5.201,36.0,31,27,0.05,0.99,367.54,22,33.342,3,35.824,60,2,55.447,63.311,56,39.3,6.563
4.943,49.0,38,34,0.07,1.035,469.48,24,36.096,4,36.086,57,2,54.84,60.797,53,45.3,8.858
4.777,48.0,37,33,0.071,1.03,452.48,23,35.207,4,35.392,56,2,53.545,59.54,52,44.2,8.702
6.167,35.0,30,26,0.053,0.992,353.51,21,31.815,3,34.063,57,2,52.563,59.896,53,39.6,6.67
5.785,45.0,34,31,0.074,1.02,422.47,23,34.023,4,34.659,54,2,52.04,57.828,51,45.1,8.284
6.301,45.0,34,30,0.056,1.009,400.47,23,33.444,3,34.478,54,2,50.458,55.943,50,46.0,8.009
5.735,45.0,34,31,0.074,1.02,422.47,23,34.023,4,34.659,54,2,52.04,57.828,51,45.1,8.284
4.133,36.0,31,27,0.05,0.99,367.54,22,33.342,3,35.824,60,2,55.447,63.311,56,39.3,6.563
6.638,35.0,30,26,0.053,0.992,353.51,21,31.815,3,34.063,57,2,52.563,59.896,53,39.6,6.67
