pXC50,Me,nCsp3,C.,nBO,nBT,Sv,O.,nF,X.,MW,nBM,Si,Se,nAT,nSK,nH,nS
6.263,1.036,4,42.1,41,61,39.131,3.5,3,5.3,527.58,24,65.168,59.051,57,37,20,1
6.987,1.024,4,37.8,29,47,29.954,6.7,0,2.2,407.92,17,50.89,46.076,45,27,18,1
6.479,1.028,4,37.8,29,47,29.509,6.7,1,2.2,391.47,17,51.286,46.265,45,27,18,1
5.812,1.034,5,39.7,42,66,41.899,4.8,3,4.8,559.63,24,72.207,65.145,63,39,24,1
6.485,1.045,1,43.8,36,51,34.056,4.2,3,6.3,472.49,24,54.839,50.182,48,33,15,1
5.6,1.022,4,36.4,28,46,28.621,6.8,0,0.0,374.47,17,50.029,44.971,44,26,18,1
5.996,1.018,5,36.2,29,49,30.148,6.4,0,0.0,388.5,17,53.444,47.854,47,27,20,1
5.027,1.033,0,42.9,21,30,19.59,7.1,0,0.0,255.26,17,31.741,28.931,28,19,9,0
5.237,1.025,0,39.3,20,30,18.897,3.6,0,0.0,242.27,16,32.03,28.705,28,18,10,0
5.658,1.022,0,40.7,20,29,19.207,0.0,0,3.7,305.16,16,30.662,27.607,27,18,9,0
5.553,1.014,2,40.0,23,37,22.95,2.9,0,0.0,282.34,17,39.86,35.473,35,21,14,0
5.292,1.023,2,37.1,23,37,22.665,5.7,0,0.0,286.33,16,40.069,35.8,35,21,14,0
5.319,1.033,0,40.7,20,29,18.565,0.0,1,3.7,244.26,16,31.16,27.891,27,18,9,0
5.495,1.045,0,40.7,21,29,19.393,0.0,1,7.4,278.7,16,31.104,28.214,27,19,8,0
5.387,1.026,3,35.9,25,41,24.907,7.7,0,0.0,316.36,16,44.694,40.011,39,23,16,0
5.444,1.038,0,40.7,21,29,19.837,0.0,0,7.4,295.15,16,30.708,28.025,27,19,8,0
5.523,1.026,0,40.7,20,29,19.01,0.0,0,3.7,260.71,16,30.764,27.702,27,18,9,0
5.77,1.06,1,40.0,23,32,20.859,0.0,3,10.0,294.27,16,35.255,31.8,30,21,9,0
5.284,1.025,4,42.9,36,54,33.148,8.2,0,0.0,418.45,22,55.319,50.222,49,31,18,0
5.509,1.023,2,37.1,23,37,22.665,5.7,0,0.0,286.33,16,40.069,35.8,35,21,14,0
5.699,1.025,0,39.3,20,30,18.897,3.6,0,0.0,242.27,16,32.03,28.705,28,18,10,0
6.102,1.018,1,40.6,22,34,21.424,3.1,0,0.0,268.31,17,36.445,32.589,32,20,12,0
5.328,0.996,1,50.0,28,45,28.467,2.4,0,0.0,327.41,23,46.611,41.818,42,25,17,0
5.602,1.012,1,46.8,32,50,31.918,6.4,0,0.0,386.44,24,52.528,47.574,47,29,18,0
5.432,1.003,1,48.8,29,46,29.181,4.7,0,0.0,343.41,23,47.82,43.145,43,26,17,0
5.292,1.007,0,50.0,28,43,27.655,5.0,0,0.0,329.38,23,44.405,40.262,40,25,15,0
5.328,1.017,0,45.5,31,47,30.578,6.8,0,0.0,392.47,25,49.033,44.767,44,28,16,1
5.097,1.005,1,47.8,31,49,31.203,4.3,0,0.0,370.44,24,51.318,46.247,46,28,18,0
5.018,1.0,3,46.2,33,55,34.256,3.8,0,0.0,398.5,24,58.149,52.014,52,30,22,0
7.553,1.059,2,43.8,35,50,33.805,6.3,4,10.4,482.85,20,55.246,50.832,48,33,15,0
8.523,1.058,3,45.3,41,57,37.357,1.9,6,11.3,518.46,27,61.559,56.083,53,37,16,0
4.456,0.995,6,47.4,24,41,24.665,5.3,0,0.0,279.36,13,42.239,37.825,38,21,17,0
9.046,0.998,6,45.9,38,65,39.53,4.9,0,0.0,453.58,24,68.106,60.891,61,34,27,0
8.62,0.995,6,45.2,38,66,39.837,3.2,0,0.0,452.6,24,69.394,61.665,62,34,28,0
7.47,1.007,4,44.4,41,67,41.541,4.8,0,0.0,494.6,29,70.77,63.429,63,37,26,0
7.34,1.012,2,45.6,39,61,38.487,5.3,0,0.0,466.54,29,63.94,57.662,57,35,22,0
5.2,1.002,11,38.1,37,67,38.569,1.6,1,1.6,451.61,14,72.02,63.156,63,33,30,0
4.347,1.01,1,46.7,31,48,30.697,4.4,0,0.0,371.43,24,50.402,45.465,45,28,17,0
4.0,1.022,1,46.2,27,41,27.172,2.6,1,5.1,356.81,19,43.978,39.873,39,25,14,0
4.329,1.007,4,42.0,30,52,31.971,6.0,0,0.0,378.47,19,56.358,50.342,50,28,22,0
5.414,1.01,4,43.8,31,51,31.444,6.3,0,0.0,376.45,19,53.943,48.458,48,28,20,0
5.352,1.005,3,41.7,29,50,30.751,4.2,0,0.0,363.46,19,54.232,48.232,48,27,21,0
4.854,1.009,1,45.0,26,42,26.676,5.0,0,0.0,320.38,19,44.903,40.363,40,24,16,0
4.481,1.009,2,43.6,25,41,25.676,5.1,0,0.0,308.37,18,43.903,39.363,39,23,16,0
4.0,1.058,3,44.4,34,48,31.451,6.7,4,8.9,434.38,19,51.887,47.625,45,31,14,0
4.585,1.006,2,44.2,27,45,28.203,4.7,0,0.0,334.41,19,48.318,43.247,43,25,18,0
4.745,0.998,2,45.2,26,44,27.488,2.4,0,0.0,318.41,19,47.109,41.92,42,24,18,0
4.153,1.0,2,43.2,27,46,28.509,2.3,0,0.0,333.43,19,49.607,44.022,44,25,19,0
6.221,1.016,2,46.5,30,46,29.391,7.0,0,0.0,360.4,20,48.113,43.691,43,27,16,0
5.396,1.013,3,44.4,30,48,29.918,6.7,0,0.0,362.42,19,50.528,45.574,45,27,18,0
4.216,1.01,5,40.7,32,56,34.213,7.4,0,0.0,408.5,19,60.983,54.552,54,30,24,0
5.1,1.007,2,47.9,32,51,32.423,6.3,0,0.0,385.45,21,53.445,48.356,48,29,19,0
6.022,1.024,1,44.7,27,40,27.111,2.6,0,5.3,374.25,19,42.665,38.902,38,25,13,0
4.432,1.041,2,45.2,31,45,29.157,7.1,2,4.8,384.37,19,47.792,43.716,42,28,14,0
5.069,1.015,5,40.0,35,58,35.894,7.3,0,0.0,453.57,21,61.986,55.847,55,32,23,1
5.45,1.013,4,41.2,31,53,32.686,7.8,0,0.0,394.47,19,57.568,51.669,51,29,22,0
7.445,1.017,0,48.3,21,31,20.714,3.4,0,3.4,271.72,17,32.309,29.491,29,19,10,0
4.241,0.993,4,43.8,28,50,30.542,2.1,0,0.0,346.47,19,53.939,47.687,48,26,22,0
6.699,1.007,0,51.3,28,42,27.767,2.6,0,2.6,347.82,23,43.14,39.258,39,25,14,0
7.77,0.996,3,49.0,33,53,33.015,2.0,0,0.0,380.48,24,54.524,48.803,49,29,20,0
7.921,1.001,4,43.9,25,43,26.821,2.4,0,2.4,327.84,17,45.97,41.025,41,23,18,0
7.149,0.996,1,50.0,28,45,28.467,2.4,0,0.0,327.41,23,46.611,41.818,42,25,17,0
8.244,1.014,0,47.5,29,43,28.283,2.5,0,2.5,363.83,23,44.721,40.578,40,26,14,0
5.8,0.996,1,50.0,28,45,28.467,2.4,0,0.0,327.41,23,46.611,41.818,42,25,17,0
8.187,1.006,1,47.7,30,47,30.316,2.3,0,2.3,376.87,23,49.053,44.243,44,27,17,0
8.222,1.009,0,50.0,30,45,29.789,2.4,0,2.4,374.85,24,46.638,42.36,42,27,15,0
7.276,1.003,0,47.7,30,47,29.983,2.3,0,0.0,355.43,24,49.192,44.138,44,27,17,0
9.66,0.998,6,44.3,38,65,39.331,3.3,0,0.0,453.59,24,68.478,60.883,61,34,27,0
7.959,0.998,1,48.9,30,48,30.488,2.2,0,0.0,354.44,24,50.109,44.92,45,27,18,0
6.699,0.994,3,50.0,31,50,30.993,2.2,0,0.0,353.45,23,51.026,45.702,46,27,19,0
8.301,1.001,0,50.0,29,45,28.961,2.4,0,0.0,340.41,24,46.694,42.036,42,26,16,0
6.699,1.001,0,52.5,28,43,28.273,2.5,0,2.5,346.83,23,44.056,40.04,40,25,15,0
7.782,1.011,4,43.9,37,60,38.46,3.5,0,3.5,496.43,24,63.95,57.647,57,34,23,0
8.271,1.003,4,41.9,26,45,27.842,2.3,0,2.3,342.86,17,48.468,43.127,43,24,19,0
7.569,1.008,0,48.8,30,46,29.676,4.7,0,0.0,356.41,24,47.903,43.363,43,27,16,0
4.334,1.003,3,43.5,28,48,29.73,4.3,0,0.0,348.44,19,51.734,46.131,46,26,20,0
4.131,1.006,2,44.2,27,45,28.203,4.7,0,0.0,334.41,19,48.318,43.247,43,25,18,0
6.569,1.03,0,50.0,31,43,30.112,0.0,1,10.0,433.71,23,44.656,41.193,40,28,12,0
4.678,1.01,3,42.6,29,49,30.444,6.4,0,0.0,364.44,19,52.943,47.458,47,27,20,0
5.455,1.009,1,46.2,26,41,26.789,2.6,0,2.6,338.82,19,43.638,39.36,39,24,15,0
5.42,1.013,3,44.4,30,48,29.918,6.7,0,0.0,362.42,19,50.528,45.574,45,27,18,0
4.42,1.011,3,41.5,26,43,26.697,4.9,0,0.0,323.39,18,46.402,41.465,41,24,17,0
7.444,1.043,6,40.7,40,62,39.099,8.5,3,5.1,517.51,23,67.71,61.52,59,37,22,0
6.495,1.031,1,40.0,30,43,28.92,7.5,0,0.0,419.55,23,44.541,41.255,40,27,13,3
6.585,1.03,0,42.1,29,41,27.899,7.9,0,0.0,404.53,23,42.042,39.153,38,26,12,3
6.658,1.014,0,47.1,37,55,36.292,5.9,0,0.0,474.6,30,56.368,51.727,51,33,18,2
6.398,1.018,0,46.8,35,51,33.765,6.4,0,0.0,448.56,29,51.953,47.844,47,31,16,2
6.347,1.032,0,45.2,23,33,23.002,9.7,0,3.2,339.84,18,33.987,31.978,31,21,10,2
6.469,1.029,0,45.2,23,33,23.199,9.7,0,3.2,384.29,18,33.884,31.884,31,21,10,2
5.54,1.01,3,42.6,29,49,30.444,6.4,0,0.0,364.44,19,52.943,47.458,47,27,20,0
4.545,1.02,3,38.5,25,41,25.578,7.7,0,0.0,332.42,18,44.033,39.767,39,23,16,1
5.551,1.008,7,35.8,30,55,32.707,5.7,0,0.0,403.56,18,60.192,53.403,53,28,25,1
4.688,1.027,3,37.5,26,42,26.293,10.0,0,0.0,348.42,18,45.242,41.094,40,24,16,1
4.658,1.027,3,37.5,26,42,26.293,10.0,0,0.0,348.42,18,45.242,41.094,40,24,16,1
5.79,1.014,5,36.2,28,49,29.653,6.4,0,0.0,375.5,18,53.361,47.636,47,26,21,1
4.038,1.03,4,36.4,28,46,28.534,11.4,0,0.0,378.45,18,49.867,45.305,44,26,18,1
4.346,1.035,3,36.6,27,43,27.008,12.2,0,0.0,364.42,18,46.451,42.422,41,25,16,1
4.625,1.033,2,37.8,25,39,24.766,10.8,0,0.0,334.39,18,41.827,38.211,37,23,14,1
4.645,1.023,4,37.2,27,45,27.82,9.3,0,0.0,362.45,18,48.657,43.978,43,25,18,1
5.042,1.024,3,40.5,26,40,25.051,8.1,0,0.0,330.4,18,41.617,37.884,37,23,14,1
5.562,1.022,0,45.0,29,43,28.051,7.5,0,0.0,366.43,24,44.617,40.884,40,26,14,1
4.868,1.018,1,44.2,30,46,29.578,7.0,0,0.0,380.46,24,48.033,43.767,43,27,16,1
5.051,1.035,0,45.0,30,43,28.434,7.5,1,2.5,384.42,24,44.957,41.396,40,27,13,1
5.425,1.028,0,43.6,29,42,27.546,7.7,0,0.0,367.42,24,43.701,40.102,39,26,13,1
5.126,1.036,0,41.7,28,39,26.206,8.3,0,0.0,373.45,23,40.205,37.295,36,25,11,2
5.674,1.037,0,40.0,22,32,20.998,10.0,0,0.0,290.33,18,33.787,31.116,30,20,10,1
5.604,1.026,0,42.3,19,28,18.261,7.7,0,0.0,247.3,17,29.079,26.687,26,17,9,1
4.228,1.029,1,41.9,22,33,21.503,9.7,0,0.0,289.34,18,34.704,31.898,31,20,11,1
7.658,1.053,3,37.2,31,45,30.381,7.0,2,7.0,461.94,19,49.074,45.294,43,29,14,2
5.0,1.012,5,41.7,40,64,40.335,3.3,0,1.7,522.08,27,67.508,60.72,60,36,24,1
5.523,1.019,2,46.8,33,50,33.276,6.4,0,4.3,486.77,23,52.23,47.909,47,30,17,0
6.046,1.039,0,48.4,22,32,22.703,9.7,1,6.5,324.77,16,34.323,32.196,31,21,10,1
6.398,1.019,2,44.8,21,31,20.954,6.9,0,0.0,290.39,13,31.916,29.545,29,19,10,2
5.398,1.0,6,43.8,29,51,30.455,6.3,0,0.0,350.45,17,53.777,48.022,48,26,22,0
5.699,1.0,1,48.7,27,42,27.127,2.6,0,0.0,333.44,22,43.116,39.011,39,24,15,1
6.638,1.035,0,44.4,29,39,27.372,8.3,0,0.0,402.51,21,39.627,37.269,36,26,10,3
6.77,1.024,0,43.6,29,42,28.404,7.7,0,0.0,403.54,23,42.959,39.935,39,26,13,3
6.456,1.017,0,46.3,30,44,29.909,7.3,0,0.0,414.56,24,44.876,41.716,41,27,14,3
6.244,1.012,0,47.6,30,45,30.415,7.1,0,0.0,413.57,24,45.793,42.498,42,27,15,3
5.833,1.03,0,42.1,29,41,27.899,7.9,0,0.0,404.53,23,42.042,39.153,38,26,12,3
6.569,1.022,3,42.3,37,56,36.028,7.7,0,0.0,481.6,25,58.076,53.156,52,33,19,2
6.721,1.054,1,43.2,34,47,31.915,6.8,3,6.8,466.5,24,49.972,46.382,44,31,13,2
5.678,1.0,10,36.1,33,63,37.453,4.9,0,0.0,462.7,18,68.859,61.029,61,31,30,2
5.78,1.005,8,36.4,31,57,34.399,5.5,0,0.0,434.64,18,62.029,55.262,55,29,26,2
5.237,1.02,2,46.4,49,74,48.187,4.3,2,2.9,629.76,36,77.206,70.389,69,44,25,2
6.229,1.086,0,43.9,35,44,31.155,7.3,5,12.2,488.45,24,47.236,44.523,41,32,9,2
6.167,1.051,2,43.1,40,55,36.983,9.8,2,3.9,531.56,26,57.549,53.625,51,36,15,2
7.569,1.024,3,47.1,35,54,34.691,2.0,3,5.9,436.47,24,57.959,52.225,51,32,19,0
5.578,1.0,5,45.8,37,62,38.805,3.4,0,0.0,451.57,22,66.062,59.0,59,34,25,0
5.0,1.02,6,40.3,40,65,41.603,6.5,0,3.2,562.52,25,69.704,63.262,62,37,25,1
5.0,1.012,8,38.8,40,70,41.999,4.5,1,1.5,507.63,23,76.438,67.81,67,37,30,0
7.161,1.021,7,43.8,44,68,43.939,4.7,1,3.1,579.1,25,71.974,65.342,64,40,24,1
5.0,0.998,4,43.8,30,51,31.036,2.1,0,0.0,359.47,22,54.023,47.905,48,27,21,0
5.0,1.015,4,35.7,26,44,26.906,4.8,0,0.0,346.46,18,47.82,42.643,42,24,18,1
6.538,1.045,1,47.6,32,45,29.826,4.8,3,7.1,398.37,23,47.922,43.902,42,29,13,0
5.0,1.003,8,37.2,25,45,26.531,2.3,0,0.0,312.42,12,49.106,43.123,43,23,20,0
5.0,1.012,1,45.7,31,49,30.893,2.2,1,2.2,375.44,23,51.947,46.534,46,28,18,0
5.689,1.02,0,45.0,29,43,27.665,5.0,0,0.0,346.38,23,45.069,40.8,40,26,14,0
5.0,1.011,7,48.1,40,61,36.665,7.4,0,0.0,439.5,25,60.069,54.567,54,33,21,0
5.0,1.003,9,47.9,51,81,48.793,5.5,0,0.0,570.69,32,81.228,73.203,73,43,30,0
6.523,1.028,1,48.1,40,58,38.373,1.9,3,5.6,505.56,29,60.962,55.52,54,36,18,1
6.523,1.038,1,48.1,41,58,38.756,1.9,4,7.4,523.55,29,61.301,56.032,54,37,17,1
6.699,1.034,1,48.1,41,58,39.201,1.9,3,7.4,540.0,29,60.906,55.843,54,37,17,1
5.0,0.997,0,48.6,26,40,25.907,0.0,0,0.0,318.43,22,40.989,36.902,37,23,14,1
5.0,1.008,0,48.0,36,54,35.577,4.0,0,0.0,458.6,30,55.158,50.4,50,32,18,2
5.38,1.002,1,48.0,35,54,34.696,2.0,0,0.0,425.55,28,55.527,50.098,50,31,19,1
5.405,0.994,6,45.5,35,59,36.255,1.8,0,0.0,428.6,23,61.275,54.647,55,31,24,1
5.347,1.0,0,51.0,35,53,34.675,2.0,0,0.0,422.54,29,54.029,48.996,49,31,18,1
5.959,1.021,0,51.0,37,53,35.442,2.0,2,4.1,458.52,29,54.708,50.022,49,33,16,1
6.699,1.027,1,50.0,39,56,37.352,1.9,3,5.8,490.54,29,58.463,53.418,52,35,17,1
5.824,0.998,1,50.0,36,56,36.202,1.9,0,0.0,436.57,29,57.444,51.88,52,32,20,1
5.602,1.001,1,49.0,35,53,34.862,2.0,0,0.0,442.6,28,53.949,49.073,49,31,18,2
5.1,0.997,4,43.4,33,56,34.75,1.9,0,0.0,417.58,23,59.358,52.865,53,30,23,1
5.0,1.01,2,45.3,37,57,36.433,3.8,0,0.0,456.57,28,59.235,53.527,53,33,20,1
5.387,0.996,6,43.9,36,61,37.277,1.8,0,0.0,443.62,23,63.773,56.749,57,32,25,1
6.0,1.0,1,48.1,37,58,37.223,1.9,0,0.0,451.59,29,59.943,53.982,54,33,21,1
6.0,1.002,0,49.0,36,55,35.696,2.0,0,0.0,437.56,29,56.527,51.098,51,32,19,1
6.155,1.006,1,47.3,38,59,37.938,3.6,0,0.0,467.59,29,61.152,55.309,55,34,21,1
5.77,1.022,0,49.0,38,55,36.463,2.0,2,3.9,473.54,29,57.207,52.123,51,34,17,1
5.0,1.001,1,49.2,45,70,44.992,3.1,0,0.0,543.69,35,71.982,65.076,65,40,25,1
4.523,1.005,3,45.1,33,54,33.751,3.9,0,0.0,399.49,24,57.232,51.232,51,30,21,0
6.638,1.015,4,43.9,39,61,39.007,5.3,0,1.8,508.04,24,63.721,57.843,57,35,22,1
5.0,1.017,5,41.5,36,57,34.982,5.7,0,0.0,431.5,23,60.023,53.88,53,32,21,0
6.187,1.024,3,46.0,36,54,34.322,6.0,1,2.0,431.46,24,56.366,51.189,50,32,18,0
6.656,1.039,5,40.7,40,62,39.596,10.2,2,3.4,532.57,22,67.001,61.309,59,37,22,1
6.304,1.033,5,42.1,38,60,37.694,8.8,2,3.5,484.5,20,64.872,58.905,57,35,22,0
6.226,1.043,3,41.2,36,54,34.828,9.8,2,3.9,476.5,21,57.961,53.214,51,33,18,1
7.585,1.036,3,42.6,33,50,31.706,6.4,2,4.3,413.42,19,53.706,48.702,47,30,17,0
6.401,1.037,4,42.6,37,57,36.167,9.3,2,3.7,470.47,20,61.456,56.022,54,34,20,0
5.987,1.03,6,41.7,39,63,39.221,8.3,2,3.3,498.53,20,68.287,61.789,60,36,24,0
5.907,1.048,3,41.3,34,49,32.081,8.7,2,4.3,447.46,19,52.42,48.222,46,31,15,1
7.161,1.048,3,39.6,35,51,33.102,8.3,2,4.2,462.48,19,54.918,50.323,48,32,16,1
6.783,1.03,6,40.7,38,62,38.221,8.5,2,3.4,486.52,19,67.287,60.789,59,35,24,0
6.996,1.024,5,42.6,41,65,40.307,4.9,2,3.3,506.56,24,69.449,62.454,61,37,24,0
6.717,1.064,4,40.8,37,52,34.374,8.2,4,8.2,497.47,19,56.514,52.131,49,34,15,1
6.701,1.043,4,40.0,35,53,33.442,8.0,2,4.0,444.44,19,57.413,52.131,50,32,18,0
7.347,1.036,3,44.0,35,53,33.926,8.0,2,4.0,440.44,20,56.832,51.811,50,32,18,0
6.807,1.025,6,41.4,37,61,37.506,6.9,2,3.4,470.52,19,66.077,59.461,58,34,24,0
7.215,1.043,3,42.6,34,50,32.586,8.5,2,4.3,446.47,19,53.337,49.003,47,31,16,1
6.719,1.057,5,38.2,39,58,36.757,7.3,4,7.3,509.47,19,64.006,58.141,55,36,19,0
6.836,1.027,4,43.1,40,62,38.781,5.2,2,3.4,492.53,24,66.034,59.571,58,36,22,0
7.046,1.033,4,41.8,37,58,36.474,7.3,2,3.6,469.49,20,62.745,56.796,55,34,21,0
6.812,1.039,4,37.7,35,55,35.131,3.8,3,5.7,479.54,19,61.168,55.051,53,33,20,1
6.914,1.043,4,39.2,36,54,34.629,7.8,2,3.9,476.51,19,58.333,53.207,51,33,18,1
7.469,1.041,2,44.7,34,50,32.399,8.5,2,4.3,426.41,20,53.417,48.927,47,31,16,0
6.478,1.032,4,43.4,36,56,35.453,7.5,2,3.8,454.47,20,60.247,54.694,53,33,20,0
6.86,1.02,8,40.3,41,70,42.581,6.0,2,3.0,525.61,20,76.406,68.33,67,38,29,0
8.301,1.036,3,44.0,35,53,33.926,8.0,2,4.0,440.44,20,56.832,51.811,50,32,18,0
6.959,1.039,2,47.7,33,47,31.157,6.8,2,4.5,408.39,20,49.792,45.716,44,30,14,0
7.0,1.036,2,44.7,34,50,32.871,6.4,2,4.3,442.48,20,53.127,48.676,47,31,16,1
5.0,1.01,8,40.7,33,57,34.718,3.7,1,3.7,475.4,17,61.161,54.523,54,30,24,0
6.757,1.017,9,40.0,42,73,44.108,5.7,2,2.9,539.64,20,79.821,71.214,70,39,31,0
6.717,1.031,5,44.4,38,58,36.453,7.4,2,3.7,466.48,20,61.247,55.694,54,34,20,0
6.983,1.029,5,41.8,36,58,35.979,7.3,2,3.6,456.49,19,62.662,56.578,55,33,22,0
5.0,0.995,4,38.9,21,38,22.268,0.0,0,0.0,255.36,15,40.983,35.811,36,19,17,0
7.268,1.033,6,41.5,45,69,43.846,3.1,3,6.2,585.04,25,74.52,67.167,65,41,24,0
8.398,1.008,4,46.3,46,72,45.675,3.0,0,1.5,564.09,31,75.003,67.527,67,41,26,0
7.456,1.031,4,44.9,50,74,47.846,2.9,3,5.8,633.08,31,78.52,71.167,69,45,24,0
6.465,1.018,8,40.0,47,75,46.952,4.3,0,2.9,627.61,26,78.99,71.24,70,42,28,1
5.77,1.025,3,45.9,43,65,41.756,1.6,3,4.9,529.57,30,69.453,62.53,61,39,22,0
6.967,1.035,2,46.0,46,67,44.298,3.2,3,6.3,592.02,31,71.607,65.181,63,42,21,0
7.18,1.03,8,40.8,49,76,47.394,2.8,3,5.6,626.1,25,81.434,73.152,71,44,27,0
7.081,1.001,9,38.3,35,63,37.487,1.7,0,1.7,454.03,18,68.209,60.083,60,32,28,0
7.523,1.036,3,44.2,37,55,36.035,1.9,3,7.7,486.92,24,59.484,53.869,52,34,18,0
5.0,1.033,1,51.0,38,53,35.797,4.1,2,6.1,476.89,26,54.942,50.596,49,34,15,0
5.0,1.007,4,40.8,29,51,30.971,6.1,0,0.0,366.46,18,55.358,49.342,49,27,22,0
4.287,1.018,2,45.2,28,44,28.699,2.4,1,4.8,370.84,19,47.393,42.756,42,26,16,0
5.319,1.011,0,51.3,28,42,27.323,2.6,1,2.6,331.37,23,43.535,39.447,39,25,14,0
5.0,1.01,10,40.0,39,68,41.755,4.6,0,3.1,530.5,18,73.405,65.625,65,36,29,0
5.398,1.001,10,34.7,27,51,30.157,4.1,0,0.0,380.59,11,55.404,49.051,49,25,24,2
5.0,0.997,7,47.1,45,74,44.858,2.9,0,0.0,515.66,29,75.893,67.767,68,39,29,0
8.097,0.998,0,51.3,27,42,26.94,2.6,0,0.0,313.38,23,43.196,38.934,39,24,15,0
6.708,0.996,1,50.0,28,45,28.467,2.4,0,0.0,327.41,23,46.611,41.818,42,25,17,0
5.0,1.018,7,40.7,37,62,38.257,5.1,1,3.4,485.99,19,66.971,60.047,59,34,25,0
4.469,1.01,4,43.8,31,51,31.444,6.3,0,0.0,376.45,19,53.943,48.458,48,28,20,0
7.854,1.013,0,50.0,28,41,27.262,2.6,0,2.6,348.81,23,42.223,38.476,38,25,13,0
6.046,0.997,4,45.0,24,42,25.662,0.0,1,2.5,295.39,17,45.156,39.887,40,22,18,0
7.886,1.019,0,50.0,27,39,25.955,5.6,0,2.8,337.78,22,39.934,36.702,36,24,12,0
5.0,1.016,2,45.2,29,45,28.391,7.1,0,0.0,348.39,19,47.113,42.691,42,26,16,0
4.347,0.996,3,44.4,27,47,29.015,2.2,0,0.0,332.44,19,50.524,44.803,45,25,20,0
8.886,0.998,2,50.0,32,50,31.488,2.2,0,0.0,366.45,24,51.109,45.92,46,28,18,0
5.359,1.006,2,44.2,27,45,28.203,4.7,0,0.0,334.41,19,48.318,43.247,43,25,18,0
8.31,1.007,0,51.3,28,42,27.767,2.6,0,2.6,347.82,23,43.14,39.258,39,25,14,0
4.409,1.058,3,44.4,34,48,31.451,6.7,4,8.9,434.38,19,51.887,47.625,45,31,14,0
5.0,1.021,5,41.3,30,49,29.828,6.5,1,2.2,370.42,20,52.283,46.971,46,27,19,0
4.076,1.042,2,44.2,30,45,29.353,4.7,3,7.0,388.38,19,49.338,44.785,43,28,15,0
5.0,0.994,4,44.9,30,52,31.542,2.0,0,0.0,358.48,22,54.939,48.687,49,27,22,0
8.222,1.013,0,50.0,28,41,27.262,2.6,0,2.6,348.81,23,42.223,38.476,38,25,13,0
4.699,1.0,5,40.4,28,49,30.223,2.1,0,0.0,367.52,18,52.943,46.982,47,26,21,1
7.06,1.013,0,50.0,28,41,27.262,2.6,0,2.6,348.81,23,42.223,38.476,38,25,13,0
7.854,1.015,5,38.8,30,51,31.986,6.1,0,2.0,420.96,19,55.222,49.742,49,28,21,1
4.8,1.006,3,40.5,26,44,27.004,2.4,0,0.0,322.41,18,47.69,42.24,42,24,18,0
5.319,1.002,5,42.3,32,55,33.278,3.8,0,0.0,389.5,19,58.647,52.116,52,29,23,0
5.0,1.037,7,35.3,32,53,32.661,7.8,2,3.9,441.51,15,58.665,52.872,51,30,21,1
7.824,1.028,2,47.1,36,54,35.186,2.0,3,5.9,449.47,25,58.042,52.443,51,33,18,0
8.301,1.014,2,46.7,32,48,32.33,2.2,0,4.4,443.38,20,49.917,45.644,45,29,16,1
7.398,1.052,3,45.7,34,49,31.956,6.5,4,8.7,433.39,19,52.804,48.407,46,31,15,0
5.592,1.067,3,42.9,33,45,30.111,7.1,4,9.5,440.41,18,48.391,44.818,42,30,12,1
7.62,1.037,3,42.3,36,55,34.947,7.7,2,3.8,455.46,20,59.33,53.912,52,33,19,0
6.848,1.029,5,41.8,36,58,35.979,7.3,2,3.6,456.49,19,62.662,56.578,55,33,22,0
6.635,1.027,3,45.2,43,66,42.001,6.5,2,3.2,531.56,26,70.161,63.68,62,39,23,0
7.409,1.03,2,45.8,42,63,40.474,6.8,2,3.4,517.53,26,66.745,60.796,59,38,21,0
6.951,1.033,4,42.3,35,55,34.453,7.7,2,3.8,442.46,19,59.247,53.694,52,32,20,0
5.166,1.024,9,40.6,44,73,44.296,7.2,2,2.9,553.62,20,78.616,70.658,69,40,29,0
7.0,1.031,3,43.8,33,51,32.211,6.3,2,4.2,412.43,19,54.622,49.483,48,30,18,0
7.194,1.024,5,45.5,46,71,44.528,6.1,2,3.0,557.6,26,74.576,67.563,66,41,25,0
6.457,1.032,4,42.0,34,53,33.232,6.0,2,4.0,427.45,19,57.121,51.585,50,31,19,0
6.38,1.036,2,44.4,32,48,30.684,6.7,2,4.4,398.4,19,51.207,46.6,45,29,16,0
6.815,1.03,4,44.2,37,56,35.232,5.8,2,3.8,451.47,20,59.121,53.585,52,33,19,0
8.0,1.015,7,40.4,35,56,34.734,1.9,0,3.8,458.39,18,58.907,52.756,52,31,21,0
6.329,1.017,5,42.1,39,61,39.141,3.5,0,3.5,529.49,25,63.953,57.942,57,35,22,1
6.052,1.018,4,44.1,48,73,47.404,4.4,0,2.9,634.59,32,76.076,69.254,68,43,25,1
8.046,1.004,5,44.6,37,60,37.412,1.8,0,1.8,458.99,24,62.88,56.214,56,33,23,0
4.699,1.019,6,40.4,30,50,30.492,8.5,0,2.1,389.87,16,53.013,47.891,47,27,20,0
6.268,0.998,7,44.3,46,76,45.681,1.4,0,0.0,530.69,29,78.763,69.861,70,40,30,0
4.921,1.001,1,46.2,25,41,25.961,2.6,0,0.0,304.38,19,43.694,39.036,39,23,16,0
5.546,1.01,3,42.6,29,49,30.444,6.4,0,0.0,364.44,19,52.943,47.458,47,27,20,0
7.509,1.009,5,40.0,30,52,32.105,4.0,0,2.0,399.92,18,56.591,50.44,50,28,22,0
