pXC50,AMW,C.,H.,Me,Mi,Mp
5.367,8.232,51.9,37.0,1.002,1.106,0.723
4.467,9.974,41.9,41.9,1.013,1.121,0.705
4.398,7.577,48.6,43.2,1.001,1.107,0.688
4.511,9.01,43.2,36.4,1.025,1.119,0.706
5.312,8.368,44.2,41.9,1.016,1.117,0.687
5.113,7.471,48.7,43.6,0.996,1.109,0.692
5.659,7.756,39.0,45.8,1.011,1.126,0.662
4.552,8.626,35.9,41.0,1.028,1.134,0.668
6.796,8.714,45.9,37.8,1.006,1.113,0.728
6.796,8.222,44.7,42.1,1.003,1.112,0.708
5.09,8.077,45.5,40.9,1.02,1.123,0.673
4.808,8.107,43.9,39.0,1.009,1.129,0.69
5.286,9.44,38.9,38.9,1.027,1.124,0.707
4.766,8.966,41.4,39.7,1.027,1.126,0.692
4.84,7.795,42.9,42.9,1.016,1.122,0.663
5.244,14.362,44.4,27.8,1.035,1.117,0.819
4.796,7.838,40.0,42.9,1.016,1.144,0.657
6.796,7.702,48.7,41.0,0.993,1.115,0.707
4.41,8.461,40.5,47.6,0.994,1.118,0.714
4.639,10.661,43.8,31.3,1.049,1.119,0.73
5.465,8.575,46.7,36.7,1.028,1.114,0.688
4.377,7.668,45.5,43.2,1.008,1.115,0.674
4.397,7.596,55.2,41.4,0.987,1.093,0.725
4.999,8.511,42.5,40.0,1.011,1.121,0.704
6.796,7.24,46.2,46.2,0.998,1.112,0.672
4.971,9.453,47.1,32.4,1.017,1.114,0.747
4.809,8.81,52.0,32.0,1.007,1.113,0.742
5.664,7.682,41.0,45.9,1.007,1.121,0.669
6.796,7.695,42.9,42.9,1.007,1.126,0.671
4.385,6.241,41.0,53.8,0.981,1.125,0.643
4.356,8.356,40.0,45.7,0.996,1.113,0.717
5.131,7.373,38.6,45.5,1.003,1.139,0.655
5.023,7.066,35.8,49.1,1.008,1.14,0.627
4.657,10.197,36.4,36.4,1.015,1.121,0.766
6.066,8.32,37.8,40.0,1.035,1.137,0.646
4.855,6.677,38.3,53.3,0.986,1.126,0.65
6.361,7.276,40.0,46.7,1.005,1.13,0.65
5.249,9.195,47.5,35.0,1.023,1.114,0.72
5.497,7.429,42.9,47.6,1.0,1.119,0.668
5.576,6.913,36.2,53.2,0.995,1.135,0.636
5.408,9.513,43.8,37.5,1.013,1.104,0.751
4.521,10.493,41.4,27.6,1.054,1.123,0.725
6.335,7.719,41.7,45.8,1.002,1.119,0.68
4.145,9.036,43.2,35.1,1.043,1.154,0.672
6.796,7.996,41.5,43.9,1.0,1.13,0.688
4.852,8.481,47.1,39.2,1.011,1.108,0.712
5.143,7.684,45.0,42.5,1.004,1.121,0.681
5.588,11.082,46.3,31.7,1.034,1.097,0.785
4.225,8.822,44.7,42.1,1.007,1.116,0.718
6.796,7.009,42.2,48.9,1.0,1.129,0.65
4.216,7.569,42.0,44.0,1.007,1.127,0.665
4.728,7.219,42.1,47.4,1.007,1.12,0.649
4.159,7.209,40.0,48.0,1.011,1.125,0.637
6.006,8.743,50.0,33.3,1.013,1.115,0.725
6.04,8.313,46.3,41.5,1.006,1.114,0.704
4.649,9.682,48.6,35.1,1.016,1.11,0.75
4.028,7.735,43.1,43.1,1.013,1.121,0.665
5.306,8.259,50.0,37.5,1.009,1.109,0.71
5.186,8.941,38.1,40.5,1.015,1.125,0.71
6.382,7.32,38.1,50.0,1.0,1.124,0.658
4.558,7.474,46.5,44.2,1.001,1.113,0.68
4.954,8.181,40.0,40.0,1.023,1.134,0.663
4.932,7.986,51.2,39.5,1.004,1.103,0.708
5.053,10.424,41.4,31.0,1.065,1.153,0.696
5.179,7.584,50.0,42.5,0.996,1.106,0.7
4.742,8.81,52.0,32.0,1.007,1.113,0.742
5.051,9.186,40.0,33.3,1.049,1.134,0.667
5.344,6.16,37.5,55.0,0.984,1.134,0.627
4.91,8.976,38.7,35.5,1.046,1.149,0.657
5.269,11.083,48.6,28.6,1.028,1.096,0.804
4.883,9.323,40.6,37.5,1.039,1.141,0.688
4.731,11.45,40.7,33.3,1.035,1.13,0.725
4.491,8.764,37.8,48.6,0.998,1.132,0.673
6.796,10.571,47.1,29.4,1.034,1.11,0.771
4.682,11.152,41.7,25.0,1.071,1.129,0.717
6.796,8.649,44.7,38.3,1.014,1.116,0.71
6.796,7.99,40.0,46.7,0.994,1.117,0.703
4.996,9.032,41.3,37.0,1.033,1.121,0.69
4.405,7.649,40.0,44.0,1.013,1.131,0.654
4.435,6.848,32.3,51.6,1.012,1.146,0.603
5.037,9.597,37.9,34.5,1.038,1.131,0.701
5.652,8.762,50.0,37.5,1.001,1.1,0.748
4.373,9.957,50.0,32.5,1.023,1.107,0.755
6.298,9.494,42.6,37.0,1.019,1.109,0.738
5.566,9.673,48.5,36.4,1.015,1.109,0.75
4.969,7.114,38.8,47.8,1.001,1.135,0.646
5.081,9.306,42.6,31.9,1.047,1.128,0.681
6.545,8.588,42.5,42.5,0.999,1.111,0.727
5.731,8.594,36.1,41.7,1.028,1.132,0.668
5.111,9.19,43.6,35.9,1.031,1.114,0.705
5.756,8.362,58.8,35.3,0.999,1.086,0.749
5.318,10.022,39.5,34.2,1.04,1.126,0.715
5.366,10.376,43.5,30.4,1.05,1.122,0.718
4.461,7.05,46.9,46.9,0.989,1.112,0.679
4.577,8.857,34.9,39.5,1.036,1.146,0.658
6.796,8.678,43.3,40.0,1.012,1.114,0.713
5.474,10.761,33.3,36.7,1.047,1.123,0.726
6.796,9.663,45.7,37.1,1.026,1.112,0.726
5.233,9.456,51.9,33.3,1.014,1.093,0.763
5.16,9.161,47.2,36.1,1.021,1.124,0.718
4.26,8.028,44.2,42.3,1.024,1.137,0.66
5.05,8.172,51.4,37.8,1.004,1.106,0.716
6.206,7.944,43.5,41.3,1.015,1.123,0.672
5.251,8.48,52.9,35.3,1.008,1.103,0.727
4.745,7.384,47.5,45.0,0.997,1.12,0.681
4.697,8.584,37.7,43.4,1.024,1.126,0.672
6.551,8.759,45.0,35.0,1.028,1.123,0.691
4.799,11.916,44.4,25.9,1.078,1.144,0.742
6.796,8.098,40.0,42.2,1.027,1.155,0.648
5.914,8.041,41.2,44.1,1.0,1.121,0.697
4.143,8.606,43.5,39.1,1.015,1.125,0.698
4.52,8.169,42.0,40.0,1.022,1.127,0.668
5.102,7.401,52.2,43.5,0.989,1.099,0.707
4.846,9.627,36.0,36.0,1.041,1.144,0.683
4.733,8.378,37.7,44.3,1.023,1.127,0.666
4.77,9.171,46.5,32.6,1.042,1.115,0.692
6.796,8.988,43.9,39.0,1.005,1.111,0.74
4.869,10.258,46.9,25.0,1.067,1.116,0.702
5.03,5.852,36.8,57.9,0.984,1.131,0.613
6.796,8.588,42.2,40.0,1.022,1.117,0.689
4.753,8.867,41.9,41.9,1.018,1.122,0.696
4.102,7.358,39.5,46.5,1.011,1.13,0.644
4.642,8.733,41.7,38.9,1.015,1.122,0.705
4.219,8.832,41.2,35.3,1.037,1.132,0.673
5.262,13.07,45.5,22.7,1.052,1.121,0.824
4.749,11.175,37.0,29.6,1.062,1.127,0.727
4.702,8.109,45.0,40.0,1.017,1.119,0.679
4.17,7.264,43.6,45.5,0.994,1.125,0.674
4.257,8.631,48.9,35.6,1.023,1.11,0.703
5.204,8.611,38.2,41.8,1.017,1.126,0.691
5.751,8.144,43.2,40.5,1.025,1.12,0.665
5.803,8.768,46.7,40.0,1.002,1.102,0.74
4.733,6.294,43.2,52.7,0.976,1.121,0.658
5.071,9.444,39.1,30.4,1.046,1.145,0.683
4.608,7.433,42.4,45.5,1.008,1.122,0.658
5.172,8.474,46.4,39.3,1.013,1.109,0.706
4.936,7.416,42.4,45.8,1.009,1.121,0.655
4.303,6.923,45.7,47.8,0.986,1.116,0.676
4.603,7.696,38.9,46.3,1.008,1.126,0.664
4.156,7.726,43.4,43.4,1.015,1.119,0.662
6.796,10.564,41.7,38.9,1.016,1.116,0.736
6.572,7.897,40.0,45.7,1.003,1.121,0.683
5.427,8.755,44.1,35.6,1.031,1.13,0.684
4.865,10.408,48.6,22.9,1.061,1.117,0.722
5.266,9.811,51.5,30.3,1.025,1.107,0.752
4.153,7.198,42.0,46.4,0.996,1.128,0.664
4.502,9.213,40.0,40.0,1.018,1.113,0.721
4.923,10.165,42.3,30.8,1.048,1.115,0.722
4.196,9.158,37.8,40.5,1.021,1.129,0.703
4.502,8.3,47.2,41.7,1.001,1.113,0.713
5.249,10.165,42.3,30.8,1.048,1.115,0.722
4.664,9.439,43.3,40.0,1.016,1.12,0.725
4.692,11.141,44.4,33.3,1.032,1.092,0.79
6.111,6.47,38.1,52.4,0.987,1.135,0.637
4.61,6.343,38.5,53.8,0.99,1.13,0.629
5.148,9.731,47.2,27.8,1.047,1.119,0.711
4.824,7.343,50.0,44.4,0.992,1.104,0.694
5.041,9.393,46.2,30.8,1.045,1.118,0.697
4.132,8.35,40.9,38.6,1.025,1.132,0.669
4.561,8.685,45.0,35.0,1.019,1.137,0.701
5.277,7.049,38.5,50.0,0.995,1.129,0.654
6.796,6.81,42.2,48.9,0.986,1.127,0.664
4.826,7.554,38.6,45.5,1.018,1.131,0.639
4.24,8.168,47.7,38.6,1.011,1.114,0.698
4.537,7.821,47.2,41.5,1.007,1.113,0.688
6.796,7.821,48.6,40.5,0.998,1.113,0.704
4.353,7.909,50.0,40.0,1.001,1.108,0.706
5.113,8.049,48.6,43.2,0.995,1.107,0.714
4.352,10.366,45.7,31.4,1.038,1.108,0.747
4.559,11.12,53.8,34.6,1.012,1.09,0.772
5.022,7.891,44.0,44.0,1.002,1.114,0.693
4.643,8.301,50.0,37.5,1.012,1.107,0.707
5.806,8.991,46.8,38.3,1.009,1.102,0.74
4.526,7.793,37.8,43.2,1.019,1.138,0.647
4.221,5.969,36.7,57.1,0.987,1.131,0.613
5.2,9.105,41.9,39.5,1.022,1.109,0.713
5.222,7.964,45.5,40.9,1.013,1.117,0.68
4.828,10.169,41.9,38.7,1.018,1.113,0.755
6.796,7.24,43.6,46.2,0.998,1.121,0.667
4.049,8.182,38.8,42.9,1.013,1.136,0.671
4.35,7.876,37.8,45.9,1.006,1.128,0.673
4.126,7.475,44.2,44.2,1.001,1.122,0.675
4.609,7.477,44.7,44.7,1.005,1.117,0.669
4.449,7.947,50.0,39.6,1.001,1.109,0.709
6.424,8.35,43.2,38.6,1.026,1.124,0.673
5.539,8.903,35.4,41.7,1.027,1.142,0.671
5.183,8.531,56.5,34.8,1.008,1.09,0.737
4.286,7.199,43.1,46.6,0.998,1.123,0.664
5.862,10.821,46.9,37.5,1.001,1.104,0.776
5.278,7.893,42.3,42.3,1.019,1.123,0.661
4.556,9.568,45.5,33.3,1.027,1.134,0.723
5.17,7.572,43.8,43.8,1.005,1.122,0.672
4.555,9.295,40.0,35.0,1.031,1.138,0.696
6.081,8.733,41.7,38.9,1.015,1.122,0.705
4.445,9.877,43.5,30.4,1.071,1.151,0.665
5.245,9.196,42.1,39.5,1.02,1.107,0.722
5.961,9.622,48.8,34.1,1.016,1.096,0.762
5.36,8.907,40.9,40.9,1.017,1.121,0.704
4.476,7.358,39.5,46.5,1.011,1.13,0.644
4.217,6.155,40.0,54.5,0.98,1.128,0.639
4.308,8.144,43.2,40.5,1.025,1.12,0.665
4.8,7.565,41.5,47.2,1.002,1.124,0.667
4.491,8.724,54.8,33.3,1.012,1.098,0.737
4.544,8.636,47.9,37.5,1.007,1.109,0.727
4.74,11.032,41.5,34.1,1.038,1.117,0.728
6.796,7.35,41.5,46.3,1.009,1.124,0.651
4.482,6.732,41.7,50.0,0.989,1.126,0.654
4.819,8.008,37.8,43.2,1.037,1.129,0.629
4.97,10.065,46.2,30.8,1.036,1.119,0.733
6.742,7.641,50.0,42.1,0.997,1.106,0.701
5.431,9.824,40.8,36.7,1.031,1.122,0.72
4.494,7.57,39.4,45.5,1.017,1.135,0.642
4.919,8.159,46.3,38.8,1.011,1.119,0.694
4.416,10.252,42.2,28.9,1.084,1.171,0.657
5.374,10.102,48.5,30.3,1.041,1.137,0.736
5.085,8.777,48.1,37.0,1.016,1.111,0.714
5.518,9.18,41.7,38.9,1.008,1.114,0.738
4.519,7.128,42.4,47.5,1.0,1.123,0.656
5.215,8.648,44.4,36.1,1.029,1.122,0.685
4.51,8.49,44.0,40.0,1.017,1.114,0.696
5.336,8.384,46.9,37.5,1.019,1.116,0.693
5.013,12.376,46.7,26.7,1.04,1.093,0.833
5.306,8.21,51.4,37.1,1.001,1.108,0.722
5.7,12.354,44.4,25.9,1.063,1.115,0.778
5.254,14.334,45.8,33.3,1.022,1.106,0.801
4.487,8.313,43.5,39.1,1.027,1.121,0.67
5.072,8.711,42.6,44.4,1.004,1.121,0.687
5.078,7.501,45.9,44.3,1.004,1.114,0.675
5.457,8.971,46.3,35.2,1.041,1.134,0.68
4.448,9.845,41.2,32.4,1.046,1.13,0.698
6.133,8.587,48.5,39.4,1.004,1.101,0.731
4.528,7.795,38.1,42.9,1.013,1.15,0.656
5.068,10.091,43.2,29.7,1.051,1.117,0.715
4.321,8.177,45.8,41.7,1.004,1.11,0.706
6.322,7.457,44.7,44.7,1.004,1.117,0.67
6.122,7.422,39.7,46.0,1.012,1.129,0.645
4.906,13.328,40.9,27.3,1.045,1.099,0.853
4.986,8.05,43.1,43.1,1.008,1.116,0.688
4.922,8.687,48.7,38.5,1.009,1.109,0.721
5.014,8.496,44.4,44.4,0.997,1.108,0.724
4.873,7.655,43.8,43.8,1.012,1.119,0.664
4.085,9.081,35.3,38.2,1.033,1.147,0.672
4.678,8.117,44.7,42.1,0.994,1.116,0.717
4.403,9.499,35.9,38.5,1.035,1.136,0.697
5.034,8.967,50.0,34.8,1.01,1.105,0.742
4.684,8.183,47.8,39.1,1.011,1.13,0.695
4.094,8.489,43.2,43.2,1.004,1.107,0.716
5.039,9.042,43.5,39.1,1.016,1.115,0.717
4.653,9.15,43.8,40.6,1.007,1.111,0.736
5.073,8.917,36.4,36.4,1.053,1.14,0.642
4.778,8.801,50.0,36.8,1.006,1.101,0.74
4.774,13.312,48.3,34.5,1.026,1.097,0.781
5.201,9.826,43.3,36.7,1.023,1.112,0.741
4.411,10.247,44.8,34.5,1.032,1.117,0.739
5.07,8.803,43.1,37.9,1.03,1.116,0.688
6.429,7.209,38.0,48.0,1.011,1.132,0.633
4.336,8.999,48.9,37.8,1.0,1.106,0.752
4.416,8.739,39.3,44.6,1.012,1.129,0.671
5.97,8.935,41.2,41.2,1.003,1.113,0.736
4.492,7.253,43.9,46.3,1.001,1.119,0.664
6.317,8.742,42.9,44.9,1.001,1.121,0.692
5.48,8.541,38.2,41.2,1.016,1.13,0.688
5.073,8.622,44.4,38.9,1.006,1.117,0.72
4.014,8.084,41.5,43.9,1.007,1.129,0.687
4.954,9.095,43.5,34.8,1.049,1.136,0.667
4.359,7.211,37.8,51.4,0.995,1.132,0.653
4.182,8.349,46.0,38.0,1.02,1.117,0.688
4.234,8.177,38.9,38.9,1.013,1.145,0.676
4.777,13.004,41.7,25.0,1.067,1.125,0.738
4.493,10.917,48.1,29.6,1.036,1.114,0.776
4.871,6.456,38.3,53.2,0.993,1.13,0.628
4.618,8.368,42.6,45.9,1.0,1.121,0.682
6.06,8.182,43.9,41.5,0.997,1.12,0.713
5.978,9.012,43.5,39.1,1.016,1.109,0.722
6.336,7.84,52.8,39.6,0.992,1.103,0.723
4.824,9.506,47.4,36.8,1.018,1.111,0.736
4.469,6.162,30.5,55.9,0.992,1.154,0.6
6.796,9.108,43.9,36.6,1.032,1.112,0.7
4.279,8.791,39.0,39.0,1.027,1.128,0.684
4.503,11.027,40.7,29.6,1.05,1.12,0.747
5.639,7.967,46.8,40.4,1.007,1.125,0.692
5.517,7.362,30.0,55.0,1.005,1.131,0.637
4.7,9.611,44.7,36.8,1.027,1.116,0.722
4.913,10.165,34.6,30.8,1.047,1.144,0.706
5.697,7.534,38.6,47.7,1.0,1.127,0.669
5.994,7.692,36.8,45.6,1.031,1.131,0.622
4.652,7.882,40.0,41.8,1.014,1.135,0.664
4.035,9.799,37.8,37.8,1.031,1.123,0.718
4.171,10.283,42.5,30.0,1.091,1.181,0.645
6.796,7.057,42.9,47.6,0.995,1.123,0.661
5.112,8.137,41.9,46.5,1.0,1.115,0.698
5.382,8.414,48.9,36.2,1.01,1.115,0.713
5.126,8.677,47.6,38.1,1.011,1.106,0.723
6.009,7.502,41.8,45.6,1.015,1.121,0.649
4.273,8.807,33.3,43.6,1.024,1.13,0.678
5.068,8.928,40.0,36.0,1.051,1.128,0.653
5.56,10.665,41.9,41.9,1.016,1.116,0.724
6.672,9.222,45.5,36.4,1.031,1.105,0.712
4.889,8.874,44.8,37.9,1.008,1.113,0.73
5.517,8.584,42.6,38.9,1.018,1.122,0.696
6.796,6.867,40.8,49.0,0.991,1.13,0.655
6.796,7.057,42.9,47.6,0.995,1.123,0.661
4.44,7.147,43.1,47.1,0.998,1.121,0.662
4.177,8.365,41.2,43.1,1.003,1.117,0.707
5.37,7.083,40.7,48.1,1.002,1.126,0.648
5.976,9.059,48.3,37.9,1.021,1.106,0.717
4.089,9.868,50.0,33.3,1.013,1.11,0.765
5.347,9.127,34.9,37.2,1.041,1.14,0.669
5.612,7.384,41.7,45.8,1.007,1.125,0.655
6.072,9.105,46.8,38.3,1.016,1.105,0.727
4.85,7.41,48.0,44.0,0.994,1.111,0.691
4.805,8.736,50.0,37.5,1.009,1.099,0.734
4.85,7.833,47.1,41.2,1.005,1.115,0.691
6.796,10.672,50.0,36.7,1.016,1.113,0.744
5.774,7.695,42.9,42.9,1.007,1.126,0.671
5.501,7.492,41.4,44.8,1.008,1.128,0.659
4.721,7.891,42.0,44.0,1.002,1.121,0.689
4.903,9.558,42.5,32.5,1.064,1.149,0.661
6.796,7.088,35.9,51.3,0.989,1.134,0.661
4.253,7.374,36.4,49.1,1.005,1.132,0.648
4.446,7.795,41.2,45.1,1.004,1.121,0.679
4.629,7.565,40.0,44.4,1.01,1.132,0.655
4.52,8.168,50.0,38.6,1.011,1.106,0.703
6.796,8.178,42.9,42.9,1.007,1.126,0.694
4.286,9.34,40.0,42.9,1.006,1.111,0.741
4.508,8.036,45.9,40.5,1.016,1.115,0.68
4.238,12.501,46.4,28.6,1.044,1.109,0.811
5.906,7.343,43.9,45.6,1.002,1.12,0.666
4.155,8.183,39.1,41.3,1.026,1.159,0.651
5.477,8.144,43.2,40.5,1.025,1.12,0.665
4.556,7.942,40.0,42.2,1.022,1.13,0.653
5.227,9.701,47.1,35.3,1.013,1.107,0.758
5.536,9.913,40.0,36.7,1.033,1.108,0.731
5.827,9.158,43.2,40.5,1.021,1.109,0.714
5.205,9.931,51.5,30.3,1.035,1.102,0.742
6.796,7.837,39.1,45.7,1.006,1.135,0.672
4.242,9.774,45.2,33.3,1.023,1.108,0.75
4.512,8.269,50.0,38.0,1.014,1.106,0.703
4.361,10.235,47.4,34.2,1.017,1.097,0.78
6.026,9.584,42.9,37.1,1.025,1.105,0.734
4.221,6.957,40.4,49.1,1.0,1.127,0.644
4.862,9.835,42.5,32.5,1.05,1.136,0.698
4.668,8.174,43.6,41.8,1.01,1.116,0.693
4.829,9.69,40.9,38.6,1.025,1.119,0.724
4.143,7.829,46.0,42.0,1.011,1.114,0.678
5.177,7.389,42.0,46.0,1.009,1.122,0.653
5.134,7.4,42.4,47.5,0.996,1.118,0.677
4.153,12.717,46.2,34.6,1.018,1.096,0.813
4.569,9.718,38.5,34.6,1.04,1.139,0.695
4.225,6.705,37.0,52.2,1.005,1.131,0.618
4.498,8.875,40.9,40.9,1.017,1.114,0.709
4.766,7.822,45.7,45.7,0.995,1.114,0.697
6.796,7.464,41.5,47.2,0.995,1.121,0.678
6.796,9.667,43.9,31.7,1.061,1.166,0.671
5.465,8.889,43.5,37.0,1.019,1.127,0.704
4.174,7.234,40.0,47.5,1.009,1.127,0.642
5.508,9.197,41.4,37.9,1.032,1.126,0.691
4.347,7.479,40.4,48.1,1.002,1.126,0.661
4.153,7.911,45.1,41.2,1.011,1.119,0.68
4.876,8.688,37.8,42.2,1.012,1.133,0.696
5.448,7.99,50.9,39.6,1.005,1.104,0.706
6.796,7.564,44.4,44.4,1.011,1.116,0.664
4.484,7.337,34.8,50.0,1.004,1.135,0.644
4.241,8.913,46.3,36.6,1.016,1.111,0.722
5.178,8.163,37.7,45.3,1.007,1.125,0.685
5.037,7.749,46.0,42.0,1.005,1.117,0.685
4.001,8.799,48.1,36.5,1.015,1.107,0.723
4.793,10.008,40.4,36.2,1.037,1.121,0.718
4.505,10.038,45.7,39.1,1.015,1.112,0.727
4.745,9.739,53.6,32.1,1.026,1.095,0.751
4.834,7.928,46.9,40.8,1.009,1.114,0.687
5.165,11.131,40.0,24.0,1.067,1.127,0.73
4.894,9.675,51.5,27.3,1.038,1.108,0.731
4.902,7.48,40.9,47.0,1.001,1.122,0.669
4.817,8.226,45.7,39.1,1.02,1.117,0.682
6.796,7.22,36.8,47.4,1.007,1.14,0.638
4.885,9.455,44.4,33.3,1.028,1.117,0.724
4.638,7.49,44.2,44.2,1.002,1.121,0.673
4.043,10.024,50.0,30.0,1.035,1.108,0.743
4.224,8.289,43.8,41.7,1.012,1.121,0.689
5.762,8.1,48.5,39.4,1.012,1.11,0.695
4.834,9.8,42.9,35.7,1.008,1.11,0.772
6.796,8.757,41.7,45.8,1.007,1.12,0.678
4.042,8.24,43.6,38.5,1.015,1.128,0.686
4.23,9.012,43.5,39.1,1.016,1.109,0.722
4.275,7.367,42.9,45.2,1.001,1.125,0.667
5.124,8.32,52.4,35.7,0.998,1.109,0.734
5.217,8.722,44.2,38.5,1.022,1.122,0.698
5.691,7.989,43.1,41.2,1.018,1.123,0.669
5.052,7.754,43.1,43.1,1.012,1.13,0.665
4.076,7.04,36.4,48.5,1.001,1.142,0.638
4.342,8.383,39.2,41.2,1.019,1.129,0.678
4.205,7.271,36.0,50.0,1.002,1.132,0.648
4.371,11.607,43.6,28.2,1.068,1.145,0.734
4.262,7.575,45.3,43.4,1.002,1.118,0.679
4.834,8.203,40.4,42.3,1.014,1.125,0.68
4.594,8.049,44.4,44.4,1.004,1.116,0.691
6.796,8.385,37.5,42.5,1.022,1.129,0.67
6.796,8.542,44.4,37.8,1.032,1.127,0.674
6.777,9.111,43.3,36.7,1.019,1.116,0.721
5.514,9.485,38.5,41.0,1.016,1.118,0.728
6.777,9.182,48.8,34.9,1.024,1.109,0.721
5.308,8.567,41.9,37.2,1.031,1.129,0.671
6.379,9.457,44.7,34.2,1.038,1.11,0.709
4.934,7.825,47.4,42.1,1.009,1.12,0.683
6.593,8.643,43.5,41.3,1.004,1.11,0.724
5.297,7.706,45.5,42.4,1.005,1.118,0.681
4.866,8.772,45.2,38.1,1.018,1.111,0.71
4.483,6.114,35.4,56.3,0.991,1.136,0.61
6.16,7.784,41.5,45.3,1.006,1.119,0.676
6.506,8.395,45.2,38.7,1.03,1.114,0.672
6.451,10.006,44.4,38.9,1.014,1.118,0.718
6.796,7.984,43.9,41.5,1.02,1.119,0.668
5.186,8.031,36.4,43.2,1.038,1.134,0.625
5.13,10.22,34.3,42.9,1.028,1.128,0.721
6.562,8.397,41.7,38.9,1.032,1.126,0.663
4.356,7.236,39.6,47.2,1.006,1.13,0.645
4.871,8.205,41.5,39.0,1.017,1.134,0.677
5.917,7.502,43.1,44.6,1.007,1.122,0.664
5.337,7.334,43.2,45.9,1.004,1.12,0.661
5.672,9.721,33.3,39.4,1.047,1.133,0.678
4.205,8.581,44.1,41.2,1.017,1.117,0.693
4.558,7.286,36.2,46.8,1.007,1.143,0.639
4.431,12.373,48.6,25.7,1.057,1.103,0.795
4.673,7.226,45.9,45.9,0.995,1.115,0.676
4.655,7.653,42.2,44.4,1.018,1.12,0.652
4.684,7.41,48.0,44.0,0.994,1.111,0.691
4.097,9.217,32.3,38.7,1.044,1.152,0.655
5.166,9.973,41.7,37.5,1.018,1.101,0.761
6.01,11.291,40.0,31.4,1.052,1.13,0.706
6.796,8.518,37.8,44.4,1.015,1.134,0.678
4.437,8.703,38.9,38.9,1.047,1.162,0.641
4.775,8.819,42.6,38.3,1.028,1.117,0.691
4.147,11.851,43.6,35.9,1.012,1.122,0.758
4.351,7.717,43.1,45.1,0.997,1.117,0.69
6.796,8.835,44.1,38.2,1.012,1.127,0.718
6.796,8.067,44.2,40.4,1.017,1.121,0.676
5.162,7.737,47.3,41.8,1.002,1.114,0.691
4.75,7.716,33.3,47.9,1.018,1.136,0.642
4.473,8.246,40.9,43.2,1.018,1.125,0.671
5.358,9.908,41.4,31.0,1.035,1.126,0.728
4.779,7.34,38.6,50.0,0.994,1.123,0.669
5.378,8.19,41.0,43.6,1.014,1.117,0.681
5.271,8.009,47.5,40.0,1.009,1.113,0.693
4.251,7.324,44.3,45.7,1.001,1.118,0.667
5.935,8.481,47.1,39.2,1.011,1.108,0.712
4.797,8.411,41.7,41.7,1.01,1.129,0.692
5.028,8.859,42.5,35.0,1.037,1.128,0.678
4.248,7.387,46.7,44.4,0.996,1.114,0.684
4.499,8.256,44.3,41.0,1.012,1.115,0.694
4.942,9.871,50.0,36.4,1.009,1.106,0.741
5.022,8.936,40.0,37.5,1.025,1.128,0.696
5.465,8.617,42.9,39.3,1.025,1.117,0.687
4.368,10.978,45.5,36.4,1.011,1.107,0.766
4.634,8.087,46.2,38.5,1.002,1.125,0.704
5.576,10.497,46.5,34.9,1.008,1.112,0.764
4.795,15.539,41.2,17.6,1.058,1.096,0.929
5.156,8.714,45.9,37.8,1.006,1.113,0.728
4.069,7.272,45.2,45.2,0.993,1.12,0.68
5.091,7.37,40.4,46.8,1.015,1.124,0.64
4.124,7.578,45.1,43.1,1.0,1.121,0.682
6.796,9.084,46.4,35.7,1.005,1.113,0.748
5.205,7.049,42.7,48.0,0.998,1.121,0.656
4.467,9.834,44.2,36.5,1.026,1.119,0.707
4.779,7.186,41.2,47.1,1.001,1.127,0.654
4.632,10.38,50.0,30.0,1.015,1.093,0.802
6.796,9.024,50.0,36.7,1.009,1.108,0.738
4.756,8.45,48.0,36.0,1.011,1.118,0.71
5.036,7.734,48.3,41.4,0.998,1.113,0.699
5.515,8.069,33.3,42.4,1.034,1.149,0.626
5.262,8.915,31.3,37.5,1.058,1.167,0.62
5.087,8.487,39.1,39.1,1.041,1.13,0.646
6.796,8.315,52.8,36.1,1.001,1.105,0.73
4.839,7.348,42.4,45.8,1.004,1.124,0.661
5.368,9.234,48.4,32.3,1.045,1.107,0.695
6.614,6.983,36.8,50.0,1.01,1.133,0.623
5.559,9.411,50.0,33.3,1.016,1.1,0.754
4.344,8.051,36.7,44.9,1.022,1.129,0.653
5.39,6.409,40.0,53.3,0.991,1.125,0.633
6.489,9.334,41.9,35.5,1.029,1.119,0.712
4.87,9.05,41.0,43.6,1.002,1.111,0.736
6.796,6.409,38.7,53.3,0.991,1.13,0.631
6.276,6.28,40.5,54.1,0.986,1.124,0.636
5.635,6.873,40.9,50.0,1.001,1.123,0.641
4.933,10.941,44.8,24.1,1.062,1.114,0.74
5.477,8.657,45.2,38.7,1.001,1.115,0.733
4.401,8.816,46.2,38.5,1.017,1.125,0.708
4.68,8.215,50.0,38.2,1.011,1.106,0.704
6.517,8.659,50.0,35.0,1.02,1.108,0.71
5.789,6.84,43.4,49.1,0.99,1.121,0.661
4.237,8.254,46.7,37.8,1.01,1.12,0.7
4.934,7.839,42.6,42.6,1.017,1.123,0.662
5.264,11.48,47.6,28.6,1.039,1.111,0.784
5.9,8.309,53.3,36.7,1.006,1.1,0.724
