pXC50,X.,nF,O.,nX,N.,nN,nO,Mv,nCsp3,AMW,C.,H.,Me
5.0,0.0,0,3.9,0,9.1,7,3,0.594,16,6.776,36.4,50.6,0.998
5.0,0.0,0,4.8,0,11.3,7,3,0.644,10,8.286,37.1,43.5,1.011
8.041,0.0,0,9.3,0,0.0,0,5,0.646,7,7.491,46.3,44.4,1.004
5.0,2.0,1,2.0,1,12.0,6,1,0.649,5,7.85,42.0,42.0,1.01
6.703,0.0,0,10.3,0,0.0,0,6,0.64,8,7.492,44.8,44.8,1.008
5.0,0.0,0,4.7,0,9.3,4,2,0.656,4,7.777,44.2,41.9,1.006
7.301,0.0,0,16.4,0,1.6,1,10,0.672,5,8.549,44.3,37.7,1.034
7.301,0.0,0,3.6,0,7.1,4,2,0.657,6,7.581,46.4,42.9,0.998
6.509,4.5,3,15.2,3,3.0,2,10,0.68,6,9.463,40.9,34.8,1.056
5.328,0.0,0,12.1,0,7.6,5,8,0.668,6,8.478,42.4,37.9,1.03
5.0,1.8,1,3.6,1,7.1,4,2,0.611,8,7.117,39.3,48.2,1.003
6.398,0.0,0,3.4,0,6.8,4,2,0.649,7,7.433,45.8,44.1,0.996
6.967,0.0,0,19.0,0,0.0,0,8,0.63,4,8.056,38.1,42.9,1.037
7.237,0.0,0,3.9,0,9.8,5,2,0.665,3,8.226,43.1,41.2,1.006
7.409,0.0,0,3.6,0,7.1,4,2,0.657,6,7.581,46.4,42.9,0.998
6.398,0.0,0,3.2,0,6.5,4,2,0.643,8,7.3,45.2,45.2,0.995
4.398,0.0,0,4.8,0,8.1,5,3,0.646,8,7.574,43.5,43.5,1.003
5.087,0.0,0,8.3,0,0.0,0,5,0.534,17,5.742,31.7,60.0,0.992
5.0,0.0,0,7.7,0,5.8,3,4,0.638,6,7.567,42.3,44.2,1.009
6.046,0.0,0,3.0,0,6.1,4,2,0.642,10,7.252,45.5,45.5,0.993
5.0,3.0,1,6.1,2,6.1,4,4,0.677,5,8.805,43.9,39.4,1.019
6.0,0.0,0,3.6,0,7.1,4,2,0.657,6,7.581,46.4,42.9,0.998
4.398,0.0,0,4.0,0,12.0,6,2,0.694,2,8.45,48.0,36.0,1.011
5.0,11.3,6,1.9,6,11.3,6,1,0.705,3,9.782,45.3,30.2,1.058
4.301,4.6,3,13.8,3,3.1,2,9,0.676,6,9.054,43.1,35.4,1.051
5.292,7.7,3,2.6,3,15.4,6,1,0.645,3,8.727,35.9,38.5,1.046
4.398,1.9,0,3.8,1,11.3,6,2,0.703,3,9.725,47.2,35.8,1.013
8.208,0.0,0,3.6,0,10.9,6,2,0.669,5,7.973,45.5,40.0,1.006
8.26,0.0,0,5.5,0,5.5,3,3,0.663,4,7.737,47.3,41.8,1.002
6.545,0.0,0,3.7,0,5.6,3,2,0.666,5,7.955,46.3,42.6,0.998
7.538,0.0,0,6.1,0,6.1,3,3,0.652,4,7.662,44.9,42.9,1.005
8.155,0.0,0,1.4,0,8.7,6,1,0.633,8,7.14,43.5,46.4,0.992
7.721,0.0,0,3.5,0,7.0,4,2,0.663,5,7.659,47.4,42.1,0.998
7.921,0.0,0,1.6,0,3.2,2,1,0.631,9,6.816,46.8,48.4,0.982
8.602,0.0,0,1.6,0,9.4,6,1,0.651,7,7.447,45.3,43.8,0.995
5.0,0.0,0,1.6,0,13.1,8,1,0.629,9,7.617,37.7,45.9,1.001
5.0,0.0,0,2.0,0,9.8,5,1,0.638,5,7.324,43.1,45.1,0.996
5.0,0.0,0,7.1,0,9.5,4,3,0.676,4,8.295,45.2,38.1,1.016
5.0,4.4,3,2.9,3,10.3,7,2,0.626,9,7.789,38.2,44.1,1.02
5.0,0.0,0,5.6,0,8.3,6,4,0.639,10,7.788,40.3,44.4,1.007
6.502,0.0,0,3.5,0,5.3,3,2,0.654,5,7.431,47.4,43.9,0.994
5.739,0.0,0,5.9,0,9.8,5,3,0.685,4,8.343,47.1,37.3,1.013
6.502,0.0,0,3.7,0,9.3,5,2,0.653,5,7.658,44.4,42.6,1.002
7.229,0.0,0,3.9,0,7.8,4,2,0.652,5,7.578,45.1,43.1,1.0
5.301,0.0,0,3.5,0,8.8,5,2,0.62,8,7.115,40.4,47.4,0.998
5.301,0.0,0,3.5,0,8.8,5,2,0.62,8,7.115,40.4,47.4,0.998
4.973,0.0,0,6.3,0,0.0,0,6,0.579,18,6.241,38.9,54.7,0.989
4.846,0.0,0,4.3,0,0.0,0,5,0.531,33,5.354,33.6,62.1,0.978
5.301,0.0,0,6.5,0,4.8,3,4,0.602,10,6.864,38.7,50.0,1.0
5.301,0.0,0,3.6,0,9.1,5,2,0.66,4,7.737,45.5,41.8,1.002
5.301,0.0,0,3.5,0,8.8,5,2,0.646,4,7.501,43.9,43.9,1.0
5.301,1.7,0,5.2,1,5.2,3,3,0.644,5,7.793,43.1,44.8,1.004
7.796,0.0,0,0.0,0,11.5,6,0,0.632,6,7.164,42.3,46.2,0.992
8.187,0.0,0,0.0,0,10.3,6,0,0.619,8,6.907,41.4,48.3,0.988
8.097,0.0,0,3.1,0,9.4,6,2,0.626,9,7.479,39.1,46.9,0.999
7.097,0.0,0,14.8,0,4.9,3,9,0.668,4,8.55,42.6,37.7,1.034
6.174,0.0,0,13.4,0,4.5,3,9,0.654,6,8.203,41.8,40.3,1.028
5.301,0.0,0,6.5,0,4.8,3,4,0.602,10,6.864,38.7,50.0,1.0
8.0,0.0,0,16.7,0,3.3,2,10,0.674,4,8.708,43.3,36.7,1.039
5.301,0.0,0,6.3,0,4.8,3,4,0.631,7,7.295,42.9,46.0,1.002
5.301,0.0,0,6.5,0,4.8,3,4,0.625,6,7.219,41.9,46.8,1.002
5.009,0.0,0,8.5,0,0.0,0,6,0.602,10,6.77,40.8,50.7,0.998
5.523,0.0,0,5.2,0,8.6,5,3,0.647,4,7.647,43.1,43.1,1.006
5.0,5.8,1,1.9,3,9.6,5,1,0.656,7,8.661,40.4,42.3,1.016
7.365,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
8.602,0.0,0,0.0,0,10.9,6,0,0.625,7,7.028,41.8,47.3,0.99
5.301,0.0,0,6.5,0,4.8,3,4,0.602,10,6.864,38.7,50.0,1.0
5.301,0.0,0,6.7,0,5.0,3,4,0.637,6,7.426,43.3,45.0,1.004
6.469,0.0,0,15.6,0,1.6,1,10,0.664,6,8.368,43.8,39.1,1.031
7.854,0.0,0,0.0,0,10.3,6,0,0.619,8,6.907,41.4,48.3,0.988
5.0,3.6,1,3.6,2,8.9,5,2,0.661,5,8.357,42.9,41.1,1.015
5.0,2.4,0,4.9,1,9.8,4,2,0.695,2,8.947,46.3,36.6,1.017
5.413,0.0,0,2.2,0,6.7,3,1,0.605,8,7.056,37.8,51.1,0.99
6.848,0.0,0,3.0,0,3.0,2,2,0.566,16,5.95,37.3,56.7,0.982
6.18,0.0,0,14.9,0,1.5,1,10,0.657,7,8.203,43.3,40.3,1.028
5.432,0.0,0,13.9,0,2.8,2,10,0.647,8,8.036,41.7,41.7,1.026
6.554,0.0,0,15.6,0,1.6,1,10,0.664,6,8.368,43.8,39.1,1.031
7.523,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
5.745,0.0,0,15.9,0,3.2,2,10,0.666,5,8.516,42.9,38.1,1.035
6.886,0.0,0,17.4,0,2.9,2,12,0.666,6,8.617,42.0,37.7,1.04
6.824,0.0,0,17.7,0,1.6,1,11,0.672,5,8.67,43.5,37.1,1.039
5.229,0.0,0,15.4,0,1.5,1,10,0.672,6,8.732,43.1,38.5,1.032
5.495,0.0,0,13.9,0,2.8,2,10,0.647,8,8.036,41.7,41.7,1.026
4.796,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
6.916,0.0,0,4.2,0,2.8,2,3,0.566,17,6.038,36.6,56.3,0.986
7.301,0.0,0,16.4,0,1.6,1,10,0.672,5,8.549,44.3,37.7,1.034
4.398,0.0,0,13.9,0,1.4,1,10,0.66,10,8.161,44.4,40.3,1.024
4.523,0.0,0,6.5,0,6.5,3,3,0.661,3,7.857,45.7,41.3,1.008
8.201,0.0,0,3.6,0,7.3,4,2,0.651,5,7.501,45.5,43.6,0.998
6.569,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
6.796,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
4.0,0.0,0,2.7,0,8.1,3,1,0.634,4,7.226,43.2,45.9,0.995
4.0,0.0,0,7.9,0,5.3,2,3,0.693,1,8.378,50.0,36.8,1.013
4.0,0.0,0,9.5,0,4.8,2,4,0.681,2,8.295,47.6,38.1,1.017
5.229,0.0,0,15.4,0,1.5,1,10,0.672,6,8.732,43.1,38.5,1.032
7.301,0.0,0,14.3,0,1.4,1,10,0.651,8,8.051,42.9,41.4,1.025
4.523,0.0,0,6.1,0,6.1,2,2,0.7,0,8.373,51.5,36.4,1.008
5.319,0.0,0,17.9,0,1.5,1,12,0.67,6,8.65,43.3,37.3,1.039
6.0,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
6.77,0.0,0,14.3,0,2.9,2,10,0.658,8,8.237,42.9,40.0,1.028
7.523,0.0,0,15.4,0,1.5,1,10,0.669,7,8.424,44.6,38.5,1.03
4.301,0.0,0,12.5,0,3.6,2,7,0.666,4,8.259,44.6,39.3,1.024
4.796,0.0,0,13.8,0,3.1,2,9,0.658,7,8.224,43.1,40.0,1.027
4.301,0.0,0,12.3,0,1.5,1,8,0.655,7,7.963,44.6,41.5,1.019
4.409,0.0,0,14.8,0,4.9,3,9,0.668,4,8.55,42.6,37.7,1.034
5.097,0.0,0,12.7,0,3.2,2,8,0.652,6,8.04,42.9,41.3,1.023
5.092,0.0,0,14.1,0,4.7,3,9,0.661,6,8.368,42.2,39.1,1.031
5.481,0.0,0,14.3,0,3.6,2,8,0.688,4,8.723,46.4,35.7,1.032
4.013,0.0,0,12.7,0,2.8,2,9,0.625,12,7.614,39.4,45.1,1.02
4.444,0.0,0,12.9,0,2.9,2,9,0.641,8,7.866,41.4,42.9,1.022
6.387,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
6.081,0.0,0,13.6,0,3.4,2,8,0.678,5,8.517,45.8,37.3,1.028
5.42,0.0,0,12.1,0,7.6,5,8,0.668,6,8.478,42.4,37.9,1.03
5.699,0.0,0,12.7,0,7.9,5,8,0.676,5,8.66,42.9,36.5,1.033
5.328,0.0,0,12.1,0,7.6,5,8,0.668,6,8.478,42.4,37.9,1.03
5.658,0.0,0,12.7,0,3.2,2,8,0.675,4,8.39,46.0,38.1,1.024
7.42,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
6.432,0.0,0,14.5,0,1.6,1,9,0.658,6,8.186,43.5,40.3,1.027
5.367,0.0,0,15.0,0,1.7,1,9,0.671,5,8.425,45.0,38.3,1.029
6.523,0.0,0,11.9,0,3.0,2,8,0.651,8,7.949,43.3,41.8,1.02
5.585,0.0,0,13.4,0,3.0,2,9,0.647,7,8.009,41.8,41.8,1.024
6.222,0.0,0,4.8,0,6.3,4,3,0.644,8,7.438,44.4,44.4,1.0
5.301,0.0,0,4.2,0,6.9,5,3,0.634,11,7.273,43.1,45.8,0.998
5.0,3.6,1,5.5,2,7.3,4,3,0.641,8,8.126,40.0,43.6,1.017
5.0,0.0,0,1.5,0,10.3,7,1,0.635,7,7.26,42.6,45.6,0.995
