pXC50,nHet,nN,Me,AMW,C.,H.,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHM,nI,nO,nP
7.854,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
8.06,10,3,1.004,7.16,40.7,47.7,1.126,0.647,0.617,615.79,3.5,16,86,0,20,50,0,91,35,0,0,18,17,4,0,41,0,0,7,0
7.848,7,3,0.994,6.583,38.7,52.0,1.131,0.634,0.592,493.71,4.0,10,75,0,12,41,0,80,29,0,0,10,19,2,0,39,0,0,4,0
6.481,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
6.4,10,4,1.002,7.009,39.5,48.8,1.13,0.642,0.609,602.8,4.7,16,86,0,20,48,0,90,34,0,0,18,16,4,0,42,0,0,6,0
7.222,8,3,1.001,7.223,42.7,46.7,1.122,0.66,0.628,541.7,4.0,16,75,0,20,45,0,80,32,0,0,19,13,4,0,35,0,0,5,0
9.523,8,3,1.001,7.223,42.7,46.7,1.122,0.66,0.628,541.7,4.0,16,75,0,20,45,0,80,32,0,0,19,13,4,0,35,0,0,5,0
9.523,29,10,1.031,8.495,35.2,42.2,1.135,0.656,0.639,1087.3,7.8,22,128,0,34,77,0,131,45,0,0,30,15,12,0,54,3,0,16,0
8.77,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
7.81,7,4,0.994,6.859,41.1,49.3,1.127,0.652,0.612,500.7,5.5,16,73,0,18,42,0,78,30,0,0,15,15,2,0,36,0,0,3,0
7.879,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.114,15,5,1.019,7.803,38.0,45.7,1.141,0.646,0.622,717.89,5.4,16,92,0,21,55,0,97,35,0,0,17,18,5,3,42,1,0,6,0
8.252,12,8,1.002,7.178,39.3,47.2,1.134,0.65,0.618,638.85,9.0,21,89,0,24,53,0,95,35,0,0,18,17,3,0,42,0,0,4,0
7.051,13,5,1.015,7.493,39.6,46.2,1.141,0.641,0.619,681.83,5.5,16,91,0,20,54,0,96,36,0,0,18,18,4,3,42,0,0,5,0
7.638,12,4,1.004,7.312,38.2,48.3,1.129,0.653,0.613,650.78,4.5,16,89,0,20,51,0,94,34,0,0,17,17,4,0,43,1,0,7,1
7.854,11,5,1.003,7.077,39.3,48.3,1.131,0.643,0.611,629.83,5.6,16,89,0,20,51,0,94,35,0,0,18,17,4,0,43,0,0,6,0
8.201,14,9,1.006,7.332,38.7,46.2,1.135,0.648,0.621,681.88,9.7,21,93,0,25,56,0,99,36,0,0,19,17,4,0,43,0,0,5,0
8.28,12,5,1.011,7.718,43.0,43.0,1.123,0.667,0.646,663.79,5.8,22,86,0,27,55,0,92,37,0,0,24,13,5,0,37,0,0,7,0
6.481,16,10,1.008,8.054,39.1,43.5,1.129,0.68,0.645,741.0,10.9,23,92,0,29,56,0,96,36,0,0,27,9,6,0,40,2,0,4,0
8.086,11,4,1.008,7.274,40.2,47.1,1.132,0.645,0.618,632.8,4.6,16,87,0,20,51,0,92,35,0,0,18,17,4,1,41,0,0,6,0
7.301,11,5,1.028,9.489,44.4,35.2,1.121,0.716,0.701,512.38,9.3,18,54,0,22,38,0,57,24,2,0,22,2,4,0,19,2,0,4,0
7.367,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
6.0,8,4,1.011,9.309,45.3,39.6,1.117,0.709,0.679,493.39,7.5,18,53,0,21,35,1,56,24,0,0,21,3,3,0,21,1,0,3,0
6.538,12,7,0.999,7.154,41.3,47.1,1.127,0.657,0.623,743.99,6.7,24,104,0,29,60,0,109,43,0,0,29,14,5,0,49,0,0,5,0
7.959,8,5,1.006,7.647,43.1,43.1,1.125,0.673,0.647,443.55,8.6,18,58,0,21,36,0,61,25,0,0,21,4,3,0,25,0,0,3,0
6.699,8,5,1.011,7.99,44.2,40.4,1.124,0.682,0.663,415.49,9.6,18,52,0,21,34,0,55,23,0,0,21,2,3,0,21,0,0,3,0
6.039,8,5,1.018,8.405,45.8,37.5,1.128,0.692,0.679,403.45,10.4,18,48,0,21,33,0,51,22,0,0,21,1,3,1,18,0,0,2,0
8.62,11,5,1.028,9.489,44.4,35.2,1.121,0.716,0.701,512.38,9.3,18,54,0,22,38,0,57,24,2,0,22,2,4,0,19,2,0,4,0
6.233,8,4,1.006,8.838,44.1,42.4,1.119,0.697,0.662,521.45,6.8,18,59,0,21,37,1,62,26,0,0,21,5,3,0,25,1,0,3,0
5.369,8,6,1.012,8.222,44.7,38.3,1.126,0.692,0.675,386.45,12.8,18,47,0,21,32,0,50,21,0,0,20,1,3,0,18,0,0,2,0
7.538,10,5,1.019,8.164,43.1,39.7,1.125,0.675,0.662,473.53,8.6,18,58,0,22,38,0,61,25,0,0,22,3,4,0,23,0,0,5,0
9.523,28,10,1.023,8.111,35.3,44.6,1.134,0.652,0.627,1127.42,7.2,22,139,0,33,80,0,142,49,0,0,30,19,11,0,62,3,0,15,0
9.523,29,10,1.025,8.167,35.0,44.3,1.135,0.65,0.628,1143.42,7.1,22,140,0,34,81,0,143,49,0,0,30,19,12,0,62,3,0,16,0
7.481,10,5,1.022,8.851,44.4,37.0,1.122,0.7,0.685,477.94,9.3,18,54,0,22,37,0,57,24,1,0,22,2,4,0,20,1,0,4,0
6.648,8,5,1.014,8.748,45.8,37.5,1.12,0.711,0.689,419.9,10.4,18,48,0,21,33,0,51,22,1,0,21,1,3,0,18,1,0,2,0
6.967,8,5,1.002,7.141,39.3,47.5,1.133,0.648,0.616,435.58,8.2,12,61,0,15,35,0,64,24,0,0,15,9,3,0,29,0,0,3,0
8.74,12,4,1.01,7.661,43.5,43.5,1.121,0.667,0.644,704.84,4.3,22,92,0,28,58,0,98,40,0,0,26,14,6,0,40,0,0,8,0
7.244,10,5,1.014,7.837,42.2,42.2,1.127,0.667,0.648,501.59,7.8,18,64,0,22,40,0,67,27,0,0,22,5,4,0,27,0,0,5,0
7.52,11,4,1.003,7.262,42.4,46.5,1.123,0.659,0.628,718.92,4.0,22,99,0,27,59,0,105,42,0,0,25,17,5,0,46,0,0,7,0
6.859,8,4,1.008,9.061,44.6,41.1,1.118,0.703,0.67,507.42,7.1,18,56,0,21,36,1,59,25,0,0,21,4,3,0,23,1,0,3,0
7.6,12,5,1.009,7.616,42.7,43.8,1.124,0.665,0.641,677.82,5.6,22,89,0,27,56,0,95,38,0,0,24,14,5,0,39,0,0,7,0
8.237,9,6,1.015,8.311,45.3,37.7,1.123,0.693,0.678,440.5,11.3,18,53,0,22,36,0,56,24,0,1,21,2,3,0,20,0,0,3,0
5.676,9,5,1.014,7.956,42.9,41.1,1.126,0.673,0.655,445.52,8.9,18,56,0,21,36,0,59,24,0,0,21,3,3,0,23,0,0,4,0
8.229,9,5,1.014,8.436,43.6,40.0,1.124,0.693,0.669,463.96,9.1,18,55,0,21,36,0,58,24,1,0,21,3,3,0,22,1,0,3,0
6.456,12,5,1.005,6.987,37.4,49.5,1.135,0.631,0.601,635.84,5.5,16,91,0,21,48,0,93,34,0,0,19,15,5,0,45,0,0,7,0
5.444,12,7,1.0,7.227,41.6,46.5,1.127,0.659,0.626,729.96,6.9,24,101,0,29,59,0,106,42,0,0,29,13,5,0,47,0,0,5,0
4.745,12,6,0.999,7.24,40.6,48.1,1.128,0.657,0.619,767.45,5.7,22,106,0,26,61,0,112,43,1,0,24,19,4,0,51,1,0,5,0
8.36,11,4,1.007,7.52,43.3,44.4,1.121,0.666,0.64,676.83,4.4,22,90,0,27,56,0,96,39,0,0,25,14,5,0,40,0,0,7,0
7.036,12,7,0.996,6.956,40.7,48.7,1.128,0.651,0.614,786.08,6.2,24,113,0,29,63,0,118,46,0,0,29,17,5,0,55,0,0,5,0
7.87,11,4,1.008,7.618,43.7,43.7,1.121,0.668,0.644,662.8,4.6,22,87,0,27,55,0,93,38,0,0,25,13,5,0,38,0,0,7,0
6.499,7,3,0.995,6.876,41.3,49.3,1.125,0.65,0.612,515.71,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,0,0,4,0
6.357,14,9,1.01,8.445,40.8,40.8,1.125,0.698,0.665,641.85,11.8,23,76,0,28,49,0,80,31,0,0,26,5,5,0,31,2,0,3,0
5.77,11,6,0.999,7.173,41.8,46.9,1.126,0.659,0.625,702.93,6.1,24,98,0,28,57,0,103,41,0,0,28,13,4,0,46,0,0,5,0
5.167,16,10,1.011,8.29,39.5,41.9,1.129,0.687,0.655,712.94,11.6,23,86,0,29,54,0,90,34,0,0,27,7,6,0,36,2,0,4,0
6.593,16,10,1.005,7.848,38.8,44.9,1.13,0.675,0.637,769.06,10.2,23,98,0,29,58,0,102,38,0,0,27,11,6,0,44,2,0,4,0
6.032,16,9,1.007,7.939,39.2,44.3,1.128,0.676,0.64,770.04,9.3,23,97,0,29,58,0,101,38,0,0,28,10,6,0,43,2,0,5,0
6.538,13,7,1.0,7.1,40.5,47.7,1.129,0.651,0.618,788.05,6.3,24,111,0,29,63,0,116,45,0,0,29,16,5,0,53,0,0,6,0
6.119,13,7,1.001,7.167,40.7,47.2,1.129,0.653,0.621,774.02,6.5,24,108,0,29,62,0,113,44,0,0,29,15,5,0,51,0,0,6,0
6.796,10,6,0.997,7.159,42.6,46.8,1.125,0.663,0.628,672.9,6.4,24,94,0,28,55,0,99,40,0,0,28,12,4,0,44,0,0,4,0
6.638,8,3,1.027,10.247,50.0,34.0,1.126,0.73,0.714,512.35,6.0,22,50,0,24,37,1,54,25,0,0,22,3,2,3,17,1,0,1,0
6.455,10,3,1.003,7.077,40.4,48.3,1.127,0.645,0.614,629.82,3.4,16,89,0,20,51,0,94,36,0,0,18,18,4,0,43,0,0,7,0
7.481,6,4,0.996,8.862,47.3,41.8,1.113,0.717,0.674,487.43,7.3,22,55,0,24,36,1,59,26,0,0,22,4,2,0,23,1,0,1,0
7.027,13,7,1.001,7.167,40.7,47.2,1.129,0.653,0.621,774.02,6.5,24,108,0,29,62,0,113,44,0,0,29,15,5,0,51,0,0,6,0
6.699,13,7,1.003,7.313,41.2,46.1,1.128,0.657,0.627,745.96,6.9,24,102,0,29,60,0,107,42,0,0,29,13,5,0,47,0,0,6,0
5.967,7,3,0.995,6.876,41.3,49.3,1.125,0.65,0.612,515.71,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,0,0,4,0
6.398,17,10,1.011,8.14,38.7,43.0,1.13,0.678,0.646,757.0,10.8,23,93,0,29,57,0,97,36,0,0,27,9,6,0,40,2,0,5,0
7.509,6,3,1.003,9.302,49.0,39.2,1.108,0.728,0.691,474.38,5.9,22,51,0,24,35,1,55,25,0,0,22,3,2,0,20,1,0,2,0
6.398,15,9,0.999,6.978,39.2,48.8,1.132,0.645,0.609,872.19,7.2,24,125,0,29,70,0,131,49,0,0,29,20,5,0,61,0,0,6,0
7.456,14,9,1.008,8.302,40.5,41.8,1.126,0.694,0.659,655.88,11.4,23,79,0,28,50,0,83,32,0,0,26,6,5,0,33,2,0,3,0
5.903,6,3,0.989,6.602,40.8,51.3,1.126,0.646,0.601,501.73,3.9,16,76,0,17,42,0,81,31,0,0,15,16,1,0,39,0,0,3,0
5.91,5,2,0.987,6.503,41.6,51.9,1.124,0.647,0.6,500.74,2.6,16,77,0,17,42,0,82,32,0,0,15,17,1,0,40,0,0,3,0
7.432,6,3,0.998,9.617,49.0,39.2,1.102,0.751,0.701,490.45,5.9,22,51,0,24,35,1,55,25,0,0,22,3,2,0,20,2,0,1,0
6.523,15,9,1.004,7.811,38.9,45.3,1.129,0.675,0.636,742.03,9.5,23,95,0,28,56,0,99,37,0,0,27,10,5,0,43,2,0,4,0
4.71,4,2,0.982,6.378,42.1,52.6,1.122,0.65,0.598,484.74,2.6,16,76,0,17,41,0,81,32,0,0,15,17,1,0,40,0,0,2,0
6.527,6,3,0.987,7.037,42.7,49.3,1.119,0.674,0.622,527.79,4.0,16,75,0,18,44,0,81,32,0,0,16,16,2,0,37,1,0,2,0
5.668,12,7,0.999,7.154,41.3,47.1,1.127,0.657,0.623,743.99,6.7,24,104,0,29,60,0,109,43,0,0,29,14,5,0,49,0,0,5,0
5.435,8,3,0.993,6.672,40.2,51.1,1.127,0.642,0.6,613.87,3.3,16,92,0,19,50,0,97,37,0,0,17,20,3,0,47,0,0,5,0
6.0,16,9,1.009,8.043,39.4,43.6,1.128,0.679,0.644,756.01,9.6,23,94,0,29,57,0,98,37,0,0,28,9,6,0,41,2,0,5,0
6.082,6,3,0.986,6.946,42.3,50.0,1.119,0.67,0.617,541.82,3.8,16,78,0,18,45,0,84,33,0,0,17,16,2,0,39,1,0,2,0
5.18,16,10,1.008,8.054,39.1,43.5,1.129,0.68,0.645,741.0,10.9,23,92,0,29,56,0,96,36,0,0,27,9,6,0,40,2,0,4,0
6.367,16,10,1.01,8.168,39.3,42.7,1.129,0.683,0.65,726.97,11.2,23,89,0,29,55,0,93,35,0,0,27,8,6,0,38,2,0,4,0
6.405,10,3,1.004,7.216,41.4,47.1,1.125,0.651,0.622,627.8,3.4,16,87,0,21,51,0,92,36,0,0,20,16,5,0,41,0,0,7,0
6.337,13,7,1.001,7.167,40.7,47.2,1.129,0.653,0.621,774.02,6.5,24,108,0,29,62,0,113,44,0,0,29,15,5,0,51,0,0,6,0
5.824,6,3,0.987,6.97,41.9,50.0,1.12,0.669,0.617,515.78,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,1,0,2,0
7.26,5,3,0.996,7.584,48.1,42.6,1.112,0.695,0.662,409.52,5.6,22,54,0,24,35,0,58,26,0,0,22,4,2,0,23,0,0,2,0
7.174,6,3,0.997,8.664,47.5,42.6,1.11,0.712,0.67,528.48,4.9,22,61,0,24,40,1,66,29,0,0,22,7,2,0,26,1,0,2,0
6.721,6,3,1.007,8.189,50.0,38.0,1.109,0.709,0.688,409.47,6.0,22,50,0,24,36,0,55,25,0,0,22,3,2,0,19,0,0,3,0
6.959,6,3,1.008,8.107,49.0,39.2,1.117,0.7,0.679,413.48,5.9,22,51,0,24,35,0,55,25,0,0,22,3,2,1,20,0,0,2,0
5.883,6,3,0.988,6.597,41.3,51.3,1.125,0.648,0.603,527.77,3.8,16,80,0,18,44,0,85,33,0,0,16,17,2,0,41,0,0,3,0
5.924,6,2,0.99,7.079,42.5,49.3,1.118,0.671,0.621,516.76,2.7,16,73,0,18,42,0,78,31,0,0,16,15,2,0,36,1,0,3,0
4.16,8,2,1.014,8.202,42.3,42.3,1.118,0.684,0.655,426.53,3.8,17,52,0,21,32,0,54,22,0,0,18,4,4,0,22,1,0,5,0
6.824,4,3,0.992,7.59,50.0,42.0,1.109,0.706,0.67,379.49,6.0,22,50,0,24,33,0,54,25,0,0,22,3,2,0,21,0,0,1,0
6.9,6,3,0.989,6.602,40.8,51.3,1.126,0.646,0.601,501.73,3.9,16,76,0,18,41,0,80,31,0,0,16,15,2,0,39,0,0,3,0
5.452,8,3,0.99,6.495,39.6,52.5,1.128,0.637,0.592,655.96,3.0,16,101,0,19,53,0,106,40,0,0,17,23,3,0,53,0,0,5,0
6.86,8,3,1.0,7.061,41.6,48.1,1.125,0.652,0.618,543.72,3.9,16,77,0,19,45,0,82,32,0,0,17,15,3,0,37,0,0,5,0
6.745,13,7,1.0,7.1,40.5,47.7,1.129,0.651,0.618,788.05,6.3,24,111,0,29,63,0,116,45,0,0,29,16,5,0,53,0,0,6,0
8.41,10,4,1.005,7.184,40.0,47.5,1.129,0.646,0.617,574.74,5.0,16,80,0,21,45,0,83,32,0,0,20,12,5,0,38,0,0,6,0
7.09,10,4,1.003,7.152,40.5,47.6,1.128,0.648,0.617,600.78,4.8,16,84,0,21,48,0,88,34,0,0,20,14,5,0,40,0,0,6,0
6.61,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.91,10,4,1.002,6.95,38.8,49.4,1.131,0.638,0.605,590.79,4.7,16,85,0,20,46,0,88,33,0,0,18,15,4,0,42,0,0,6,0
5.68,7,3,0.995,6.876,41.3,49.3,1.125,0.65,0.612,515.71,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,0,0,4,0
7.553,5,3,0.994,8.913,49.1,41.5,1.108,0.725,0.681,472.41,5.7,22,53,0,24,35,1,57,26,0,0,22,4,2,0,22,1,0,1,0
8.22,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
6.194,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
7.237,11,4,1.008,7.274,40.2,47.1,1.132,0.645,0.618,632.8,4.6,16,87,0,20,51,0,92,35,0,0,18,17,4,1,41,0,0,6,0
6.057,9,4,0.999,7.188,38.4,49.3,1.129,0.653,0.61,524.75,5.5,11,73,0,14,41,0,77,28,0,0,12,16,3,0,36,1,0,4,0
5.169,5,2,0.987,6.775,44.4,49.4,1.117,0.665,0.62,548.78,2.5,17,81,0,19,48,0,88,36,0,0,18,18,2,0,40,0,0,3,0
6.767,7,3,0.992,6.64,40.5,51.2,1.127,0.644,0.601,557.8,3.6,16,84,0,18,46,0,89,34,0,0,16,18,2,0,43,0,0,4,0
5.812,10,4,1.002,7.385,40.0,47.5,1.125,0.661,0.623,590.81,5.0,17,80,0,19,47,0,85,32,0,0,16,16,2,0,38,1,0,5,0
6.097,12,7,0.996,6.956,40.7,48.7,1.128,0.651,0.614,786.08,6.2,24,113,0,29,63,0,118,46,0,0,29,17,5,0,55,0,0,5,0
5.664,8,5,0.996,6.968,40.3,48.6,1.13,0.65,0.613,501.69,6.9,16,72,0,18,42,0,77,29,0,0,14,15,2,0,35,0,0,3,0
8.8,10,3,1.0,7.365,45.2,45.2,1.116,0.673,0.641,765.97,2.9,24,104,0,29,65,0,112,47,0,0,29,18,5,0,47,0,0,7,0
8.27,11,3,1.011,7.718,44.2,43.0,1.119,0.67,0.648,663.78,3.5,22,86,0,27,55,0,92,38,0,0,25,13,5,0,37,0,0,8,0
8.91,11,3,1.008,7.905,44.2,43.0,1.116,0.684,0.654,679.85,3.5,22,86,0,27,55,0,92,38,0,0,25,13,5,0,37,1,0,7,0
8.35,13,5,1.017,7.928,43.0,41.9,1.127,0.667,0.65,681.78,5.8,22,86,0,27,56,0,92,37,0,0,24,13,5,1,36,0,0,7,0
7.82,11,4,1.01,7.619,42.7,43.9,1.123,0.663,0.64,624.75,4.9,22,82,0,27,50,0,86,35,0,0,25,10,5,0,36,0,0,7,0
6.456,15,9,1.01,8.264,39.8,42.2,1.127,0.688,0.654,685.91,10.8,23,83,0,28,52,0,87,33,0,0,26,7,5,0,35,2,0,4,0
8.41,17,13,1.018,8.139,40.0,40.0,1.141,0.668,0.654,691.81,15.3,32,85,0,35,57,0,91,34,0,0,24,10,3,1,34,0,0,3,0
8.92,15,12,1.008,7.812,41.8,41.8,1.132,0.674,0.651,710.88,13.2,32,91,0,35,61,0,99,38,0,0,25,13,3,0,38,0,0,3,0
7.8,13,5,1.015,7.814,42.5,42.5,1.124,0.665,0.647,679.79,5.7,22,87,0,27,56,0,93,37,0,0,24,13,5,0,37,0,0,8,0
6.27,4,1,0.99,6.9,45.3,48.4,1.115,0.669,0.626,441.61,1.6,12,64,0,14,39,0,70,29,0,0,14,15,2,0,31,0,0,3,0
6.05,6,2,0.993,6.907,43.6,48.7,1.119,0.661,0.62,538.74,2.6,12,78,0,15,47,0,85,34,0,0,15,19,3,0,38,0,0,4,0
8.12,13,5,1.019,7.947,42.0,42.0,1.13,0.661,0.647,643.73,6.2,22,81,0,27,51,0,85,34,0,0,24,10,5,1,34,0,0,7,0
7.88,10,3,1.006,7.571,44.9,43.8,1.117,0.673,0.647,673.82,3.4,23,89,0,28,56,0,95,40,0,0,27,13,5,0,39,0,0,7,0
6.268,10,6,0.997,7.159,42.6,46.8,1.125,0.663,0.628,672.9,6.4,24,94,0,28,55,0,99,40,0,0,28,12,4,0,44,0,0,4,0
6.903,8,3,0.997,6.889,41.0,49.4,1.126,0.648,0.61,571.78,3.6,16,83,0,19,47,0,88,34,0,0,17,17,3,0,41,0,0,5,0
6.159,11,4,1.009,7.366,40.5,46.4,1.132,0.648,0.622,618.77,4.8,16,84,0,20,50,0,89,34,0,0,18,16,4,1,39,0,0,6,0
6.319,14,9,1.008,8.302,40.5,41.8,1.126,0.694,0.659,655.88,11.4,23,79,0,28,50,0,83,32,0,0,26,6,5,0,33,2,0,3,0
8.31,12,6,1.009,7.293,38.3,46.9,1.134,0.641,0.615,590.75,7.4,16,81,0,22,45,0,83,31,0,0,21,10,6,0,38,0,0,6,0
6.509,17,10,1.013,8.255,38.9,42.2,1.13,0.681,0.65,742.97,11.1,23,90,0,29,56,0,94,35,0,0,27,8,6,0,38,2,0,5,0
6.495,13,7,0.998,6.975,40.2,48.7,1.129,0.648,0.612,816.11,6.0,24,117,0,29,65,0,122,47,0,0,29,18,5,0,57,0,0,6,0
6.699,16,10,1.01,8.168,39.3,42.7,1.129,0.683,0.65,726.97,11.2,23,89,0,29,55,0,93,35,0,0,27,8,6,0,38,2,0,4,0
6.688,12,7,0.998,7.084,41.1,47.7,1.128,0.655,0.62,758.02,6.5,24,107,0,29,61,0,112,44,0,0,29,15,5,0,51,0,0,5,0
5.301,12,7,0.998,7.084,41.1,47.7,1.128,0.655,0.62,758.02,6.5,24,107,0,29,61,0,112,44,0,0,29,15,5,0,51,0,0,5,0
8.548,12,6,1.007,7.142,37.3,48.2,1.136,0.635,0.607,592.77,7.2,16,83,0,21,45,0,85,31,0,0,19,12,5,0,40,0,0,6,0
9.056,12,6,1.006,8.837,40.2,45.1,1.127,0.685,0.64,724.66,7.3,16,82,0,21,50,0,87,33,0,0,17,16,5,0,37,1,1,5,0
5.721,18,8,1.014,7.635,37.8,45.9,1.135,0.646,0.622,847.46,7.2,22,111,0,29,63,0,114,42,1,0,27,15,7,0,51,1,0,9,0
7.678,11,5,1.002,6.998,39.1,48.9,1.131,0.641,0.608,643.86,5.4,16,92,0,20,52,0,97,36,0,0,18,18,4,0,45,0,0,6,0
7.854,11,5,1.003,7.077,39.3,48.3,1.131,0.643,0.611,629.83,5.6,16,89,0,20,51,0,94,35,0,0,18,17,4,0,43,0,0,6,0
6.959,13,5,1.015,7.493,39.6,46.2,1.141,0.641,0.619,681.83,5.5,16,91,0,20,54,0,96,36,0,0,18,18,4,3,42,0,0,5,0
7.155,12,5,1.001,7.333,40.4,47.5,1.125,0.661,0.623,725.99,5.1,22,99,0,27,58,0,105,40,0,0,23,17,5,0,47,1,0,6,0
7.638,12,4,1.004,7.312,38.2,48.3,1.129,0.653,0.613,650.78,4.5,16,89,0,20,51,0,94,34,0,0,17,17,4,0,43,1,0,7,1
7.569,12,4,1.005,7.404,38.4,47.7,1.129,0.655,0.617,636.75,4.7,16,86,0,20,50,0,91,33,0,0,17,16,4,0,41,1,0,7,1
6.222,10,6,0.998,7.24,42.9,46.2,1.124,0.665,0.632,658.87,6.6,24,91,0,28,54,0,96,39,0,0,28,11,4,0,42,0,0,4,0
6.458,8,3,0.992,6.609,40.0,51.6,1.127,0.64,0.597,627.9,3.2,16,95,0,19,51,0,100,38,0,0,17,21,3,0,49,0,0,5,0
6.668,17,10,1.01,8.032,38.5,43.8,1.13,0.675,0.642,771.03,10.4,23,96,0,29,58,0,100,37,0,0,27,10,6,0,42,2,0,5,0
7.434,8,3,0.997,6.889,41.0,49.4,1.126,0.648,0.61,571.78,3.6,16,83,0,19,47,0,88,34,0,0,17,17,3,0,41,0,0,5,0
7.096,8,3,0.996,6.812,40.7,50.0,1.126,0.646,0.607,585.81,3.5,16,86,0,19,48,0,91,35,0,0,17,18,3,0,43,0,0,5,0
8.032,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.14,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.854,9,2,1.005,7.841,42.3,46.2,1.121,0.676,0.638,611.61,2.6,16,78,0,19,47,0,83,33,2,0,17,16,3,0,36,2,0,5,0
7.59,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.407,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
6.99,10,3,1.006,7.563,41.5,46.3,1.124,0.662,0.63,620.2,3.7,12,82,0,17,49,0,87,34,1,0,17,17,5,0,38,1,0,6,0
5.29,9,3,1.002,7.143,41.5,47.6,1.125,0.652,0.62,585.76,3.7,12,82,0,17,48,0,87,34,0,0,17,17,5,0,39,0,0,6,0
6.03,7,2,0.998,7.049,42.7,48.0,1.121,0.656,0.621,528.7,2.7,12,75,0,16,44,0,80,32,0,0,16,16,4,0,36,0,0,5,0
5.0,9,3,1.006,7.079,38.9,48.6,1.13,0.638,0.608,509.66,4.2,6,72,0,11,41,0,76,28,0,0,11,17,5,0,35,0,0,6,0
7.01,12,7,1.006,7.67,40.5,45.2,1.13,0.665,0.634,644.24,8.3,12,84,0,18,52,0,90,34,1,0,16,18,6,0,38,1,0,4,0
6.274,8,3,0.997,6.889,41.0,49.4,1.126,0.648,0.61,571.78,3.6,16,83,0,19,47,0,88,34,0,0,17,17,3,0,41,0,0,5,0
5.6,15,6,1.01,7.481,40.6,45.3,1.128,0.652,0.629,792.97,5.7,27,106,0,33,62,0,110,43,0,0,30,13,6,0,48,0,0,9,0
5.81,6,2,0.994,6.928,43.2,48.6,1.12,0.659,0.62,512.7,2.7,12,74,0,15,44,0,80,32,0,0,15,17,3,0,36,0,0,4,0
5.2,13,5,1.007,7.352,41.2,46.1,1.126,0.653,0.626,749.94,4.9,27,102,0,32,59,0,106,42,0,0,29,13,5,0,47,0,0,8,0
5.6,4,1,0.996,7.742,51.8,41.1,1.102,0.71,0.678,433.53,1.8,23,56,0,25,38,0,61,29,0,0,24,5,2,0,23,0,0,3,0
5.0,10,4,1.01,7.743,44.0,42.7,1.121,0.672,0.65,580.69,5.3,22,75,0,26,48,0,80,33,0,0,24,9,4,0,32,0,0,6,0
5.58,9,2,1.006,7.262,42.2,47.0,1.126,0.652,0.623,602.76,2.4,12,83,0,17,49,0,88,35,0,0,17,18,5,1,39,0,0,6,0
7.01,10,3,1.008,7.363,41.5,46.3,1.129,0.651,0.625,603.75,3.7,12,82,0,17,49,0,87,34,0,0,17,17,5,1,38,0,0,6,0
6.3,14,6,1.009,7.48,41.2,45.1,1.127,0.656,0.631,762.94,5.9,27,102,0,33,60,0,106,42,0,0,30,12,6,0,46,0,0,8,0
5.05,4,1,0.994,7.349,48.2,44.6,1.109,0.688,0.652,411.53,1.8,18,56,0,20,35,0,60,27,0,0,20,7,2,0,25,0,0,3,0
5.9,13,6,1.006,7.349,41.0,46.0,1.128,0.654,0.627,734.93,6.0,27,100,0,32,58,0,104,41,0,0,29,12,5,0,46,0,0,7,0
