pXC50,nH,nN,Se,nBT,nAT,nCsp3,Sp,Sv,MW,Si,X.,nC,nF,nX,Mv,SCBO,nSK
7.429,15,3,46.545,45,44,4,29.597,30.115,429.81,50.617,9.1,18,3,4,0.684,39.0,29
8.06,17,3,49.429,48,47,5,31.358,31.642,443.84,54.032,8.5,19,3,4,0.673,40.0,30
7.889,19,5,56.632,56,54,5,36.37,36.685,509.91,62.029,7.4,22,3,4,0.679,48.5,35
7.68,21,5,59.516,59,57,6,38.131,38.212,523.94,65.444,7.0,23,3,4,0.67,49.5,36
7.939,23,5,62.4,62,60,7,39.892,39.738,537.97,68.859,6.7,24,3,4,0.662,50.5,37
7.32,25,5,65.283,65,63,8,41.654,41.265,552.0,72.275,6.3,25,3,4,0.655,51.5,38
7.33,17,3,49.429,48,47,5,31.358,31.642,443.84,54.032,8.5,19,3,4,0.673,40.0,30
5.0,19,3,52.312,51,50,6,33.12,33.169,457.87,57.448,8.0,20,3,4,0.663,41.0,31
8.469,36,6,77.156,77,76,10,47.637,46.034,556.69,86.684,0.0,27,0,0,0.606,52.0,40
4.523,18,6,41.316,42,41,5,27.705,26.191,330.46,46.61,0.0,15,0,0,0.639,32.0,23
4.523,17,3,36.567,38,37,2,25.995,23.939,283.43,41.321,0.0,16,0,0,0.647,29.0,20
7.215,36,4,65.509,64,65,15,37.932,35.803,416.59,74.893,0.0,19,0,0,0.551,32.0,29
6.398,18,6,43.912,47,44,4,30.603,29.289,342.44,49.481,0.0,20,0,0,0.666,40.0,26
5.367,20,6,46.433,45,45,8,27.637,27.39,352.4,51.943,0.0,14,0,0,0.609,32.0,25
4.523,15,5,36.254,37,36,3,24.29,23.456,281.35,40.777,0.0,15,0,0,0.652,31.0,21
5.538,47,7,100.098,103,100,11,66.188,62.447,738.01,112.759,0.0,40,0,0,0.624,73.0,53
4.523,19,1,39.709,43,40,7,26.767,25.192,281.38,44.654,0.0,18,0,0,0.63,30.5,21
6.0,48,8,102.872,107,103,11,68.739,64.753,761.05,116.048,0.0,42,0,0,0.629,78.0,55
7.495,32,4,59.087,59,59,13,35.5,33.32,380.55,67.644,0.0,19,0,0,0.565,32.5,27
7.569,30,2,59.96,61,60,10,39.137,36.464,430.62,67.567,0.0,23,0,0,0.608,39.5,30
4.523,23,7,42.781,43,43,9,26.131,24.364,277.43,49.81,0.0,13,0,0,0.567,25.0,20
6.602,33,3,63.869,65,64,12,40.256,37.825,427.6,72.561,0.0,24,0,0,0.591,40.5,31
7.284,30,4,57.203,57,57,12,34.739,32.793,378.53,65.228,0.0,19,0,0,0.575,33.0,27
9.678,34,4,65.97,67,66,12,41.262,38.847,442.62,75.059,0.0,24,0,0,0.589,41.5,32
7.495,31,3,57.985,58,58,12,35.495,33.299,377.54,66.145,0.0,20,0,0,0.574,33.0,27
9.149,32,4,59.087,59,59,13,35.5,33.32,380.55,67.644,0.0,19,0,0,0.565,32.5,27
9.114,30,4,56.203,56,56,12,33.739,31.793,366.52,64.228,0.0,18,0,0,0.568,31.5,26
9.328,32,4,59.087,59,59,13,35.5,33.32,380.55,67.644,0.0,19,0,0,0.565,32.5,27
7.699,38,4,68.738,70,69,17,41.785,38.9,434.65,78.889,0.0,23,0,0,0.564,37.5,31
7.824,36,4,65.854,67,66,16,40.023,37.374,420.62,75.474,0.0,22,0,0,0.566,36.5,30
7.208,42,4,73.505,74,74,18,44.307,40.954,450.7,84.72,0.0,24,0,0,0.553,37.5,32
7.208,33,5,65.189,66,65,12,40.506,38.341,443.61,74.142,0.0,23,0,0,0.59,41.5,32
7.569,36,4,65.854,67,66,16,40.023,37.374,420.62,75.474,0.0,22,0,0,0.566,36.5,30
8.77,34,4,65.625,65,65,14,39.171,37.276,438.59,74.478,0.0,21,0,0,0.573,37.5,31
4.921,24,2,47.309,47,47,9,29.853,27.884,340.49,53.321,0.0,16,0,0,0.593,28.5,23
7.081,28,4,54.396,54,54,12,33.625,31.454,384.56,61.733,0.0,17,0,0,0.582,31.5,26
7.398,29,3,55.178,55,55,12,34.381,31.959,383.57,62.65,0.0,18,0,0,0.581,31.5,26
7.022,31,3,57.985,58,58,12,35.495,33.299,377.54,66.145,0.0,20,0,0,0.574,33.0,27
9.387,32,4,59.087,59,59,13,35.5,33.32,380.55,67.644,0.0,19,0,0,0.565,32.5,27
7.328,30,2,55.96,56,56,12,35.137,32.464,382.58,63.567,0.0,19,0,0,0.58,31.5,26
9.62,29,4,56.432,56,56,12,35.091,32.818,445.41,64.07,1.8,18,0,1,0.586,32.5,27
7.77,36,4,64.854,65,65,15,39.023,36.374,408.61,74.474,0.0,21,0,0,0.56,34.5,29
7.62,32,2,58.843,59,59,13,36.898,33.991,396.61,66.982,0.0,20,0,0,0.576,32.5,27
7.602,33,5,65.189,66,65,12,40.506,38.341,443.61,74.142,0.0,23,0,0,0.59,41.5,32
5.301,30,2,55.883,56,56,11,34.489,32.277,362.52,63.647,0.0,20,0,0,0.576,32.0,26
5.041,28,2,49.0,48,49,12,28.728,26.75,300.45,56.232,0.0,15,0,0,0.546,23.0,21
5.23,22,2,40.349,39,40,9,23.443,22.17,258.36,45.986,0.0,12,0,0,0.554,20.0,18
7.097,34,2,62.978,63,63,13,38.466,36.046,406.58,71.687,0.0,22,0,0,0.572,35.0,29
4.0,30,2,51.883,51,52,13,30.489,28.277,314.48,59.647,0.0,16,0,0,0.544,24.0,22
4.679,24,2,43.232,42,43,10,25.205,23.697,272.39,49.401,0.0,13,0,0,0.551,21.0,19
6.0,28,2,54.327,55,54,11,33.182,31.465,364.49,61.441,0.0,19,0,0,0.583,32.0,26
7.493,36,2,64.534,65,65,14,39.773,36.858,404.61,73.893,0.0,23,0,0,0.567,35.0,29
5.469,25,1,50.687,54,51,9,33.506,31.487,351.48,57.109,0.0,22,0,0,0.617,36.0,26
8.721,46,4,91.254,93,91,17,57.194,54.152,622.84,103.178,0.0,34,0,0,0.595,58.0,45
5.0,26,2,51.116,52,51,10,31.966,30.224,346.47,57.817,0.0,19,0,0,0.593,32.0,25
6.824,26,2,52.443,53,52,10,32.421,30.938,362.47,59.026,0.0,19,0,0,0.595,33.0,26
5.539,28,2,53.0,53,53,10,32.728,30.75,348.49,60.232,0.0,19,0,0,0.58,31.0,25
5.921,30,2,55.883,56,56,11,34.489,32.277,362.52,63.647,0.0,20,0,0,0.576,32.0,26
7.47,32,2,58.767,59,59,12,36.25,33.804,376.55,67.062,0.0,21,0,0,0.573,33.0,27
5.854,42,2,77.185,79,78,15,49.057,45.438,494.74,88.138,0.0,30,0,0,0.583,46.0,36
9.102,42,2,77.185,79,78,15,49.057,45.438,494.74,88.138,0.0,30,0,0,0.583,46.0,36
5.379,30,2,55.883,56,56,11,34.489,32.277,362.52,63.647,0.0,20,0,0,0.576,32.0,26
6.638,29,3,58.429,59,58,11,36.188,34.487,403.53,65.94,0.0,21,0,0,0.595,37.0,29
7.161,40,2,70.301,71,71,16,43.296,39.911,432.67,80.723,0.0,25,0,0,0.562,37.0,31
7.114,38,4,72.065,73,72,15,44.239,41.615,474.67,82.099,0.0,25,0,0,0.578,42.0,34
7.7,34,2,61.65,62,62,13,38.012,35.331,390.58,70.477,0.0,22,0,0,0.57,34.0,28
5.201,26,2,50.116,50,50,9,30.966,29.224,334.46,56.817,0.0,18,0,0,0.584,30.0,24
6.585,16,4,36.691,36,36,4,22.955,22.391,276.33,41.113,0.0,13,0,0,0.622,27.0,20
7.481,18,4,39.574,39,39,5,24.716,23.918,290.36,44.528,0.0,14,0,0,0.613,28.0,21
9.06,22,4,45.342,45,45,7,28.239,26.971,318.42,51.358,0.0,16,0,0,0.599,30.0,23
10.347,25,7,54.647,55,54,8,34.256,33.035,399.51,61.853,0.0,19,0,0,0.612,39.5,29
10.658,25,7,58.723,60,58,7,38.904,37.222,467.61,65.773,0.0,22,0,0,0.642,47.0,33
9.337,24,4,48.225,48,48,8,30.0,28.498,332.45,54.773,0.0,17,0,0,0.594,31.0,24
10.149,28,4,54.992,56,55,11,34.523,32.552,372.52,62.604,0.0,20,0,0,0.592,35.0,27
9.796,22,4,50.669,51,50,5,32.693,31.686,382.46,56.568,0.0,20,0,0,0.634,39.0,28
10.959,25,5,49.0,49,49,8,30.552,28.805,331.47,56.062,0.0,17,0,0,0.588,31.0,24
10.77,23,5,46.116,46,46,7,28.79,27.278,317.44,52.647,0.0,16,0,0,0.593,30.0,23
9.959,27,7,57.531,58,57,9,36.017,34.562,413.54,65.268,0.0,20,0,0,0.606,40.5,30
10.143,27,7,61.607,63,61,8,40.665,38.749,481.64,69.188,0.0,23,0,0,0.635,48.0,34
7.469,22,6,53.738,55,53,6,36.137,34.674,438.56,59.86,0.0,21,0,0,0.654,45.0,31
8.538,21,5,51.636,53,51,6,35.131,33.653,423.54,57.361,0.0,21,0,0,0.66,44.0,30
6.569,23,5,54.52,56,54,7,36.892,35.18,437.57,60.777,0.0,22,0,0,0.651,45.0,31
10.495,24,6,56.622,58,56,7,37.898,36.201,452.59,63.275,0.0,22,0,0,0.646,46.0,32
9.201,26,6,59.505,61,59,8,39.659,37.728,466.62,66.69,0.0,23,0,0,0.639,47.0,33
4.0,32,2,58.767,59,59,12,36.25,33.804,376.55,67.062,0.0,21,0,0,0.573,33.0,27
4.051,56,6,110.319,114,110,23,68.705,65.017,749.02,125.045,0.0,40,0,0,0.591,69.0,54
6.39,29,6,67.29,69,66,12,42.654,41.556,514.61,75.825,4.5,26,3,3,0.63,51.0,37
6.541,29,6,69.29,72,68,12,44.654,43.556,538.63,77.825,4.4,28,3,3,0.641,55.5,39
6.15,25,6,63.523,66,62,10,41.131,40.503,510.57,70.995,4.8,26,3,3,0.653,53.5,37
6.09,26,7,65.625,68,64,11,42.137,41.524,525.59,73.493,4.7,26,3,3,0.649,54.5,38
5.94,26,7,65.625,68,64,11,42.137,41.524,525.59,73.493,4.7,26,3,3,0.649,54.5,38
5.72,24,5,59.421,61,58,10,38.125,37.481,471.53,66.497,5.2,24,3,3,0.646,48.0,34
5.63,24,5,60.825,62,59,10,39.228,38.383,507.59,67.626,5.1,23,3,3,0.651,50.0,35
9.097,29,3,63.76,65,63,11,41.563,39.537,489.64,71.535,3.2,25,2,2,0.628,47.0,34
9.0,28,3,64.272,65,63,11,41.5,39.921,507.63,71.875,4.8,25,3,3,0.634,48.0,35
9.523,27,3,59.876,60,59,9,38.801,37.011,463.6,67.12,3.4,23,2,2,0.627,44.0,32
8.721,28,3,65.778,66,64,12,41.035,40.312,509.57,73.84,7.8,26,5,5,0.63,47.0,36
8.796,27,3,66.29,66,64,12,40.972,40.696,527.56,74.18,9.4,26,6,6,0.636,48.0,37
9.523,30,4,69.367,71,68,13,44.103,42.95,530.62,77.999,5.9,28,4,4,0.632,51.0,38
9.523,29,4,69.879,71,68,13,44.04,43.334,548.61,78.339,7.4,28,5,5,0.637,52.0,39
5.9,16,2,30.389,32,31,6,20.341,18.73,200.31,34.903,0.0,13,0,0,0.604,21.0,15
5.0,18,2,33.272,35,34,7,22.103,20.257,214.34,38.318,0.0,14,0,0,0.596,22.0,16
7.5,13,3,30.454,31,30,4,20.381,19.315,251.34,33.91,0.0,11,0,0,0.644,25.0,17
6.7,13,3,30.454,31,30,4,20.381,19.315,251.34,33.91,0.0,11,0,0,0.644,25.0,17
7.2,12,3,29.563,30,29,4,19.216,18.796,233.27,33.12,3.4,12,1,1,0.648,24.0,17
8.1,12,3,30.684,31,30,4,21.733,20.34,330.23,33.751,3.3,11,0,1,0.678,26.0,18
7.1,17,3,38.876,39,38,6,24.813,23.798,311.4,43.159,0.0,13,0,0,0.626,29.0,21
8.699,11,3,30.913,31,30,4,23.085,21.365,409.12,33.593,6.7,11,0,2,0.712,27.0,19
5.3,13,2,31.793,32,31,4,21.943,20.56,333.23,34.878,3.2,11,0,1,0.663,25.0,18
4.6,21,2,44.654,45,44,8,29.443,27.382,405.35,49.748,2.3,15,0,1,0.622,30.0,23
6.0,14,3,33.567,34,33,5,23.495,21.867,344.26,37.167,3.0,12,0,1,0.663,27.0,19
4.6,19,3,41.76,42,41,7,26.574,25.325,325.43,46.574,0.0,14,0,0,0.618,30.0,22
6.6,14,3,33.567,34,33,5,23.495,21.867,344.26,37.167,3.0,12,0,1,0.663,27.0,19
6.2,19,3,41.76,42,41,7,26.574,25.325,325.43,46.574,0.0,14,0,0,0.618,30.0,22
7.4,13,3,33.796,34,33,5,24.847,22.892,423.15,37.008,6.1,12,0,2,0.694,28.0,20
8.523,44,4,88.061,93,89,12,58.614,54.766,604.86,99.925,0.0,38,0,0,0.615,63.0,45
8.097,44,4,89.388,94,90,12,59.069,55.481,620.86,101.135,0.0,38,0,0,0.616,64.0,46
7.854,46,4,90.945,96,92,13,60.376,56.293,618.89,103.341,0.0,39,0,0,0.612,64.0,46
7.824,42,4,82.505,86,83,13,53.307,49.954,558.79,93.72,0.0,33,0,0,0.602,55.0,41
5.0,38,4,75.41,79,76,11,49.33,46.186,514.73,85.68,0.0,31,0,0,0.608,52.0,38
7.921,42,4,82.178,87,83,14,53.853,50.239,554.8,93.51,0.0,34,0,0,0.605,56.0,41
8.398,44,4,84.061,88,85,14,54.614,50.766,556.82,95.925,0.0,34,0,0,0.597,55.0,41
6.151,39,3,79.192,83,80,9,53.086,49.691,549.77,89.597,0.0,35,0,0,0.621,58.0,41
8.523,44,4,85.138,89,86,14,56.262,51.953,588.89,96.845,0.0,34,0,0,0.604,56.0,42
9.131,26,2,59.443,61,59,5,39.421,37.938,446.54,66.026,0.0,26,0,0,0.643,47.0,33
7.886,43,4,87.556,90,87,17,54.915,52.294,610.8,98.893,1.1,33,1,1,0.601,57.0,44
8.046,30,4,66.934,69,66,11,43.296,41.41,514.66,74.567,0.0,25,0,0,0.627,50.5,36
7.558,32,4,68.818,71,68,13,44.057,41.937,516.68,76.982,0.0,25,0,0,0.617,49.5,36
7.393,34,4,71.701,74,71,14,45.818,43.463,530.71,80.398,0.0,26,0,0,0.612,50.5,37
7.55,36,4,74.585,77,74,15,47.58,44.99,544.74,83.813,0.0,27,0,0,0.608,51.5,38
9.0,30,4,64.934,66,64,11,41.296,39.41,490.64,72.567,0.0,23,0,0,0.616,46.5,34
8.328,32,4,67.818,69,67,12,43.057,40.937,504.67,75.982,0.0,24,0,0,0.611,47.5,35
7.951,34,4,71.701,74,71,14,45.818,43.463,530.71,80.398,0.0,26,0,0,0.612,50.5,37
7.352,36,4,74.585,77,74,15,47.58,44.99,544.74,83.813,0.0,27,0,0,0.608,51.5,38
5.721,34,4,71.701,74,71,14,45.818,43.463,530.71,80.398,0.0,26,0,0,0.612,50.5,37
5.638,36,4,74.585,77,74,15,47.58,44.99,544.74,83.813,0.0,27,0,0,0.608,51.5,38
6.076,34,4,71.701,74,71,14,45.818,43.463,530.71,80.398,0.0,26,0,0,0.612,50.5,37
6.347,36,4,74.585,77,74,15,47.58,44.99,544.74,83.813,0.0,27,0,0,0.608,51.5,38
5.208,38,4,77.469,80,77,16,49.341,46.517,558.77,87.228,0.0,28,0,0,0.604,52.5,39
5.959,39,5,77.57,80,77,18,48.347,45.538,549.77,87.726,0.0,26,0,0,0.591,49.0,38
6.866,41,5,80.454,83,80,19,50.108,47.065,563.8,91.142,0.0,27,0,0,0.588,50.0,39
6.759,43,5,84.338,88,84,21,52.87,49.592,589.84,95.557,0.0,29,0,0,0.59,53.0,41
6.58,36,4,73.181,76,73,15,46.478,44.088,508.68,82.683,0.0,28,0,0,0.604,49.5,37
8.0,30,4,63.531,65,63,11,40.193,38.508,454.58,71.438,0.0,24,0,0,0.611,44.5,33
8.745,24,2,42.578,44,43,13,26.296,24.267,264.41,48.983,0.0,15,0,0,0.564,23.0,19
5.149,34,2,64.4,67,65,14,42.205,38.803,442.68,73.188,0.0,25,0,0,0.597,40.5,31
5.092,17,3,30.818,31,31,8,18.801,17.467,195.3,35.611,0.0,10,0,0,0.563,17.0,14
8.0,30,4,62.531,64,62,11,39.193,37.508,442.57,70.438,0.0,23,0,0,0.605,42.5,32
4.886,29,2,59.054,59,58,15,36.256,34.426,434.58,66.792,5.2,20,3,3,0.594,34.5,29
6.699,27,3,47.563,49,48,14,29.063,26.815,293.46,54.896,0.0,16,0,0,0.559,25.0,21
7.888,36,2,68.534,70,69,12,43.773,40.858,452.65,77.893,0.0,27,0,0,0.592,43.0,33
6.523,16,2,30.043,30,30,8,18.25,17.16,196.28,34.322,0.0,10,0,0,0.572,17.0,14
9.35,29,5,57.516,60,58,10,38.267,35.33,411.63,65.603,0.0,22,0,0,0.609,39.5,29
7.201,32,4,64.087,66,64,12,40.5,38.32,440.6,72.644,0.0,24,0,0,0.599,42.5,32
6.367,24,2,49.232,51,49,11,31.205,29.697,344.45,55.401,0.0,19,0,0,0.606,33.0,25
7.77,32,4,64.087,66,64,12,40.5,38.32,440.6,72.644,0.0,24,0,0,0.599,42.5,32
4.886,20,2,46.869,47,46,6,30.784,29.545,376.47,51.7,0.0,18,0,0,0.642,35.5,26
7.721,32,4,57.76,59,58,16,35.046,32.605,364.55,66.434,0.0,19,0,0,0.562,31.0,26
7.921,25,3,44.68,46,45,13,27.302,25.289,279.43,51.481,0.0,15,0,0,0.562,24.0,20
7.222,16,2,30.043,30,30,8,18.25,17.16,196.28,34.322,0.0,10,0,0,0.572,17.0,14
7.167,36,2,65.534,67,66,15,40.773,37.858,416.62,74.893,0.0,24,0,0,0.574,37.0,30
8.796,33,4,66.294,68,66,14,42.12,39.674,477.06,75.003,1.5,24,0,1,0.601,43.0,33
5.721,29,1,51.531,52,52,12,32.677,29.728,339.55,58.859,0.0,18,0,0,0.572,27.5,23
10.319,22,2,39.694,41,40,12,24.534,22.74,250.38,45.567,0.0,14,0,0,0.569,22.0,18
7.187,34,4,66.97,69,67,13,42.262,39.847,454.63,76.059,0.0,25,0,0,0.595,43.5,33
4.921,34,4,62.97,64,63,15,38.262,35.847,406.59,72.059,0.0,21,0,0,0.569,35.5,29
7.62,38,4,79.974,81,79,14,49.875,47.909,572.72,90.193,2.5,30,2,2,0.606,53.0,41
4.921,38,4,73.814,76,74,15,47.432,44.087,514.76,83.809,0.0,27,0,0,0.596,46.5,36
7.081,36,4,66.854,69,67,17,41.023,38.374,432.63,76.474,0.0,23,0,0,0.573,38.5,31
7.62,38,2,72.418,75,73,14,46.535,43.384,478.69,82.308,0.0,29,0,0,0.594,46.0,35
6.854,38,2,68.418,70,69,16,42.535,39.384,430.65,78.308,0.0,25,0,0,0.571,38.0,31
7.215,36,4,70.93,73,71,14,45.671,42.561,500.73,80.394,0.0,26,0,0,0.599,45.5,35
7.585,38,2,72.418,75,73,14,46.535,43.384,478.69,82.308,0.0,29,0,0,0.594,46.0,35
8.108,30,4,58.221,61,59,10,38.375,35.649,390.58,66.6,0.0,24,0,0,0.604,40.0,29
7.699,27,3,53.545,54,53,12,32.426,30.96,365.48,60.524,0.0,18,0,0,0.584,32.5,26
7.658,34,4,66.97,69,67,13,42.262,39.847,454.63,76.059,0.0,25,0,0,0.595,43.5,33
6.456,25,3,51.989,52,51,11,31.12,30.148,367.45,58.319,0.0,17,0,0,0.591,32.5,26
7.149,34,2,62.65,64,63,14,39.012,36.331,402.59,71.477,0.0,23,0,0,0.577,36.0,29
8.469,30,4,57.203,58,57,13,34.739,32.793,378.53,65.228,0.0,19,0,0,0.575,33.5,27
9.081,29,4,61.716,63,61,11,38.676,37.176,444.56,69.568,1.6,23,1,1,0.609,42.5,32
7.602,27,3,52.545,52,52,11,31.426,29.96,353.47,59.524,0.0,17,0,0,0.576,30.5,25
7.444,34,2,61.65,62,62,13,38.012,35.331,390.58,70.477,0.0,22,0,0,0.57,34.0,28
7.119,36,4,65.854,67,66,16,40.023,37.374,420.62,75.474,0.0,22,0,0,0.566,36.5,30
8.796,28,4,53.32,53,53,11,31.978,30.266,352.49,60.813,0.0,17,0,0,0.571,30.5,25
7.244,40,4,81.949,85,82,14,53.0,50.142,572.77,92.514,0.0,33,0,0,0.611,57.0,42
8.0,27,7,52.876,55,53,12,33.108,31.133,357.52,60.85,0.0,18,0,0,0.587,35.0,26
5.31,31,6,69.247,70,68,11,43.142,41.934,514.62,77.774,1.5,25,1,1,0.617,50.0,37
7.208,30,4,57.203,58,57,13,34.739,32.793,378.53,65.228,0.0,19,0,0,0.575,33.5,27
7.347,34,4,63.97,66,64,16,39.262,36.847,418.6,73.059,0.0,22,0,0,0.576,37.5,30
4.523,17,7,35.458,35,35,6,21.301,20.499,251.34,40.774,0.0,10,0,0,0.586,23.0,18
7.959,34,4,69.047,71,69,13,44.909,42.034,498.71,77.979,0.0,26,0,0,0.609,46.0,35
7.398,38,5,80.083,81,79,14,50.284,47.922,591.78,90.066,1.3,28,1,1,0.607,54.0,41
6.62,38,4,77.065,79,77,13,49.239,46.615,534.72,87.099,0.0,30,0,0,0.605,52.5,39
7.009,34,4,72.374,75,72,13,47.364,44.749,538.73,81.188,0.0,28,0,0,0.622,52.0,38
4.523,17,3,39.222,41,39,7,26.904,25.369,315.43,43.74,0.0,16,0,0,0.65,32.0,22
7.509,46,6,92.919,97,93,17,59.535,56.238,642.88,105.341,0.0,36,0,0,0.605,63.0,47
7.77,40,2,75.301,78,76,15,48.296,44.911,492.72,85.723,0.0,30,0,0,0.591,47.0,36
6.201,34,2,65.65,67,66,11,42.012,39.331,438.62,74.477,0.0,26,0,0,0.596,42.0,32
5.237,32,5,73.687,74,72,12,46.728,45.205,579.71,82.496,4.2,27,3,3,0.628,53.0,40
8.26,37,3,77.04,80,77,13,50.881,47.781,563.78,86.52,0.0,31,0,0,0.621,54.5,40
6.822,38,2,71.418,73,72,13,45.535,42.384,466.68,81.308,0.0,28,0,0,0.589,44.0,34
5.721,40,4,76.698,79,77,16,49.194,45.614,528.79,87.224,0.0,28,0,0,0.592,47.5,37
8.155,32,8,65.745,70,66,13,42.637,40.208,460.65,75.178,0.0,25,0,0,0.609,48.0,34
6.585,34,4,69.298,71,69,13,43.716,41.562,482.64,78.268,0.0,26,0,0,0.602,46.0,35
7.538,31,6,73.156,73,71,12,44.779,44.227,564.63,81.869,4.2,26,3,3,0.623,53.0,40
6.432,37,4,77.578,79,77,13,49.177,46.998,552.71,87.438,1.3,30,1,1,0.61,53.5,40
4.921,37,4,75.389,77,75,15,48.097,45.443,545.14,85.043,1.3,28,0,1,0.606,49.0,38
5.824,40,4,79.949,82,80,14,51.0,48.142,548.75,90.514,0.0,31,0,0,0.602,53.5,40
7.268,41,5,82.378,85,82,17,51.461,48.878,567.76,93.222,0.0,30,0,0,0.596,53.0,41
7.071,33,4,69.621,71,69,13,44.574,42.389,517.08,78.212,1.4,26,0,1,0.614,47.0,36
8.456,24,8,56.211,60,56,8,37.591,36.1,428.55,63.517,0.0,23,0,0,0.645,48.5,32
7.432,33,3,67.272,69,67,13,43.358,40.727,487.68,75.69,0.0,25,0,0,0.608,44.5,34
5.092,34,5,76.494,77,75,12,47.841,46.545,573.68,85.991,4.0,29,3,3,0.621,54.5,41
7.585,22,2,38.694,39,39,11,23.534,21.74,238.37,44.567,0.0,13,0,0,0.557,20.0,17
8.854,27,5,52.865,52,52,11,30.676,29.476,357.47,60.106,0.0,15,0,0,0.567,29.0,25
5.553,34,5,73.912,75,73,12,46.659,44.966,539.67,83.106,1.4,28,1,1,0.616,52.5,39
7.301,36,4,76.258,79,76,13,50.125,47.275,564.77,85.603,0.0,30,0,0,0.622,54.5,40
6.081,36,4,74.181,76,74,12,47.478,45.088,520.69,83.683,0.0,29,0,0,0.609,51.5,38
7.585,36,8,76.839,82,77,13,50.614,47.976,552.75,87.218,0.0,31,0,0,0.623,59.0,41
5.638,24,2,41.578,42,42,12,25.296,23.267,252.4,47.983,0.0,14,0,0,0.554,21.0,18
4.886,22,2,38.694,39,39,11,23.534,21.74,238.37,44.567,0.0,13,0,0,0.557,20.0,17
7.495,33,6,74.712,75,73,12,46.086,45.039,562.66,84.075,4.1,27,3,3,0.617,53.0,40
4.886,22,2,38.694,39,39,11,23.534,21.74,238.37,44.567,0.0,13,0,0,0.557,20.0,17
4.886,24,2,41.578,42,42,12,25.296,23.267,252.4,47.983,0.0,14,0,0,0.554,21.0,18
6.469,35,6,77.923,78,76,14,47.302,46.281,580.68,87.699,3.9,27,3,3,0.609,52.5,41
5.102,20,2,35.811,36,36,10,21.773,20.214,224.34,41.152,0.0,12,0,0,0.561,19.0,16
10.495,17,3,35.145,35,35,5,22.256,21.181,247.33,39.82,0.0,13,0,0,0.605,24.0,18
7.585,33,6,74.712,75,73,12,46.086,45.039,562.66,84.075,4.1,27,3,3,0.617,53.0,40
6.34,38,4,77.065,79,77,13,49.239,46.615,534.72,87.099,0.0,30,0,0,0.605,52.5,39
5.824,27,3,46.563,47,47,13,28.063,25.815,281.45,53.896,0.0,15,0,0,0.549,23.0,20
8.244,38,2,69.418,72,70,17,43.535,40.384,442.66,79.308,0.0,26,0,0,0.577,40.0,32
8.602,26,3,56.196,57,56,8,38.517,35.742,492.48,62.867,1.8,22,0,1,0.638,42.0,30
8.602,31,3,61.312,62,61,12,37.949,36.013,417.56,69.355,0.0,22,0,0,0.59,38.0,30
6.359,40,6,79.614,83,80,13,51.341,48.228,544.77,90.676,0.0,31,0,0,0.603,54.0,40
5.0,32,4,77.491,82,77,7,53.603,51.222,620.78,85.773,0.0,35,0,0,0.665,69.0,45
6.53,30,4,74.934,79,74,7,51.296,49.41,610.74,82.567,0.0,33,0,0,0.668,67.5,44
8.301,32,5,68.628,71,68,13,43.716,41.874,499.64,77.948,4.4,27,3,3,0.616,48.0,36
6.005,22,3,42.698,43,43,8,28.438,26.072,352.31,48.698,2.3,16,0,1,0.606,27.0,21
6.721,36,2,65.534,67,66,15,40.773,37.858,416.62,74.893,0.0,24,0,0,0.574,37.0,30
8.337,32,5,67.628,69,67,12,42.716,40.874,487.63,76.948,4.5,26,3,3,0.61,46.0,35
7.495,32,2,63.767,66,64,11,41.25,38.804,436.6,72.062,0.0,26,0,0,0.606,43.0,32
4.0,28,3,65.196,66,64,7,41.853,40.734,499.58,72.955,4.7,27,3,3,0.636,49.0,36
7.284,31,5,69.709,72,69,10,45.847,43.716,537.7,77.856,0.0,27,0,0,0.634,54.5,38
7.0,30,2,60.883,63,61,10,39.489,37.277,422.57,68.647,0.0,25,0,0,0.611,42.0,31
7.585,32,2,60.767,63,61,14,38.25,35.804,400.57,69.062,0.0,23,0,0,0.587,37.0,29
6.144,34,6,69.963,73,70,11,45.057,42.648,490.67,79.431,0.0,27,0,0,0.609,49.5,36
8.523,30,2,60.538,61,60,12,37.398,35.707,418.54,68.066,0.0,22,0,0,0.595,38.0,30
7.523,19,4,41.032,41,41,7,27.921,26.04,363.29,46.366,2.4,16,0,1,0.635,30.0,22
5.237,23,3,42.123,41,42,10,24.995,23.477,269.39,48.275,0.0,13,0,0,0.559,22.0,19
4.0,23,3,47.451,47,47,8,29.449,28.191,333.43,53.485,0.0,17,0,0,0.6,31.0,24
5.125,15,3,33.262,33,33,4,21.495,20.655,245.31,37.405,0.0,13,0,0,0.626,25.0,18
4.0,25,3,53.007,54,53,7,34.756,33.003,379.5,59.69,0.0,22,0,0,0.623,39.0,28
8.143,36,2,67.534,71,68,17,42.773,39.858,440.64,76.893,0.0,26,0,0,0.586,41.0,32
4.523,27,3,57.891,60,58,5,38.517,36.53,417.55,65.106,0.0,25,0,0,0.63,44.0,31
8.699,29,3,64.178,67,64,7,43.381,40.959,491.66,71.65,0.0,27,0,0,0.64,52.5,35
4.0,28,3,61.098,63,61,6,41.137,38.884,466.02,68.465,1.6,26,0,1,0.637,46.0,33
4.0,37,3,69.309,72,70,13,44.324,41.164,451.67,79.182,0.0,27,0,0,0.588,43.0,33
4.0,31,3,66.658,70,67,6,45.04,42.584,481.64,74.936,0.0,30,0,0,0.636,52.5,36
