pXC50,Sp,Sv,C.,nBT,nSK,N.,nN,MW,nHM,nBO,nAB,nO,nBM,Si,nH,RBN,nAT,Se,nX,X.,nS,O.,nF,nCsp2,RBF,Mp,nDB,SCBO,nC,Mi
7.36,41.182,39.07,35.5,63,34,6.5,4,508.68,2,35,12,6,19,70.072,28,10,62,63.127,0,0.0,2,9.7,0,16,0.159,0.664,7,48.0,22,1.13
7.472,40.421,38.543,36.7,61,34,6.7,4,506.66,2,35,12,6,19,67.657,26,8,60,61.243,0,0.0,2,10.0,0,14,0.131,0.674,6,49.0,22,1.128
7.675,42.898,40.725,35.5,64,36,6.5,4,577.56,4,38,12,6,18,69.96,26,8,62,63.774,2,3.2,2,9.7,0,14,0.125,0.692,6,50.0,22,1.128
5.56,36.614,35.145,34.6,53,32,7.7,4,523.46,4,33,12,6,18,58.714,20,9,52,54.124,2,3.8,2,11.5,0,14,0.17,0.704,6,45.0,18,1.129
7.511,38.375,36.672,34.5,56,33,7.3,4,537.49,4,34,12,6,18,62.13,22,10,55,57.007,2,3.6,2,10.9,0,14,0.179,0.698,6,46.0,19,1.13
7.401,40.182,38.07,34.4,62,33,6.6,4,496.67,2,34,12,6,18,69.072,28,10,61,62.127,0,0.0,2,9.8,0,14,0.161,0.659,6,46.0,21,1.132
6.452,38.875,37.258,33.9,60,33,6.8,4,498.64,2,34,12,7,18,66.866,26,10,59,60.571,0,0.0,2,11.9,0,14,0.167,0.659,6,46.0,20,1.133
7.559,43.659,41.252,34.4,65,36,6.3,4,579.58,4,37,12,6,18,72.375,28,13,64,65.658,2,3.1,2,9.4,0,14,0.2,0.682,6,49.0,22,1.131
7.626,39.375,37.672,35.7,57,34,7.1,4,549.5,4,35,12,6,19,63.13,22,10,56,58.007,2,3.6,2,10.7,0,16,0.175,0.703,7,48.0,20,1.127
7.77,40.136,38.198,34.5,59,34,6.9,4,551.52,4,35,12,6,18,65.545,24,11,58,59.891,2,3.4,2,10.3,0,14,0.186,0.692,6,47.0,20,1.13
7.771,41.943,39.597,34.4,65,34,6.3,4,510.7,2,35,12,6,18,72.487,30,11,64,65.011,0,0.0,2,9.4,0,14,0.169,0.655,6,47.0,22,1.133
8.222,41.898,39.725,34.4,62,35,6.6,4,565.55,4,36,12,6,18,68.96,26,12,61,62.774,2,3.3,2,9.8,0,14,0.194,0.687,6,48.0,21,1.13
7.921,43.705,41.124,34.3,68,35,6.0,4,524.73,2,36,12,6,18,75.902,32,12,67,67.894,0,0.0,2,9.0,0,14,0.176,0.652,6,48.0,23,1.133
4.61,41.142,39.22,33.3,61,35,8.3,5,566.54,4,36,12,6,18,68.043,25,12,60,61.993,2,3.3,2,10.0,0,14,0.197,0.686,6,48.0,20,1.134
4.0,39.426,37.565,33.3,61,33,8.3,5,497.66,2,34,12,6,18,68.155,27,10,60,61.345,0,0.0,2,10.0,0,14,0.164,0.657,6,46.0,20,1.136
7.73,41.716,38.918,33.3,61,34,6.7,4,546.78,4,35,12,6,18,67.497,26,11,60,61.396,0,0.0,4,10.0,0,14,0.18,0.695,6,47.0,20,1.125
6.903,40.591,38.913,33.9,60,35,6.8,4,567.52,4,36,12,7,18,66.754,24,12,59,61.218,2,3.4,2,11.9,0,14,0.2,0.688,6,48.0,20,1.131
4.062,23.114,21.589,33.3,36,18,5.6,2,270.39,1,18,6,3,9,40.866,18,5,36,36.331,0,0.0,1,8.3,0,7,0.139,0.642,3,24.0,12,1.135
4.832,21.239,19.722,32.3,31,17,6.5,2,274.4,2,17,6,3,9,34.956,14,4,31,31.64,0,0.0,2,9.7,0,7,0.129,0.685,3,23.0,10,1.128
8.31,40.614,39.145,39.3,58,36,7.1,4,571.5,4,38,18,6,24,62.714,20,8,56,58.124,2,3.6,2,10.7,0,20,0.138,0.725,6,53.0,22,1.12
8.611,42.421,40.543,38.7,64,36,6.5,4,530.68,2,38,18,6,24,69.657,26,8,62,63.243,0,0.0,2,9.7,0,20,0.125,0.684,6,53.0,24,1.123
7.921,42.421,40.543,38.7,64,36,6.5,4,530.68,2,38,18,6,24,69.657,26,8,62,63.243,0,0.0,2,9.7,0,20,0.125,0.684,6,53.0,24,1.123
4.155,37.619,36.104,43.4,57,33,9.4,5,461.45,1,37,27,4,28,59.374,20,6,53,53.862,0,0.0,0,7.5,0,21,0.105,0.71,1,51.5,23,1.12
5.481,33.097,32.051,43.5,50,30,10.9,5,421.38,1,34,26,4,27,51.544,16,4,46,47.094,0,0.0,0,8.7,0,19,0.08,0.719,1,48.0,20,1.121
5.301,29.62,28.104,33.3,47,25,11.1,5,365.37,1,27,15,4,16,51.374,20,4,45,45.862,0,0.0,0,8.9,0,9,0.085,0.658,1,35.5,15,1.142
5.824,26.097,25.051,33.3,41,23,12.8,5,337.31,1,25,15,4,16,44.544,16,4,39,40.094,0,0.0,0,10.3,0,9,0.098,0.669,1,33.5,13,1.142
6.097,27.858,26.578,33.3,44,24,11.9,5,351.34,1,26,15,4,16,47.959,18,4,42,42.978,0,0.0,0,9.5,0,9,0.091,0.663,1,34.5,14,1.142
4.0,26.466,26.217,26.2,44,25,14.3,6,376.31,1,27,10,7,11,48.671,17,5,42,44.178,0,0.0,0,16.7,0,5,0.114,0.63,1,33.0,11,1.159
4.398,28.858,27.578,34.9,45,25,11.6,5,363.35,1,27,16,4,17,48.959,18,7,43,43.978,0,0.0,0,9.3,0,11,0.156,0.671,1,36.0,15,1.139
4.0,28.227,27.743,26.7,47,26,13.3,6,390.34,1,28,10,7,11,52.086,19,6,45,47.062,0,0.0,0,15.6,0,5,0.128,0.627,1,34.0,12,1.157
5.959,31.267,29.291,32.6,48,26,10.9,5,397.44,2,28,15,4,16,52.294,20,5,46,46.938,0,0.0,1,8.7,0,9,0.104,0.68,1,36.5,15,1.137
4.0,18.364,17.777,25.0,29,17,21.4,6,258.21,1,18,10,3,11,32.587,11,4,28,29.218,0,0.0,0,10.7,0,5,0.138,0.656,1,24.0,7,1.164
5.0,30.171,28.411,32.6,48,25,13.0,6,364.39,1,27,15,3,16,52.663,21,4,46,46.636,0,0.0,0,6.5,0,9,0.083,0.656,1,35.5,15,1.145
5.26,28.864,27.599,31.8,46,25,13.6,6,366.36,1,27,15,4,16,50.458,19,4,44,45.08,0,0.0,0,9.1,0,9,0.087,0.656,1,35.5,14,1.147
4.921,22.909,22.889,24.3,38,22,10.8,4,338.25,1,23,5,8,7,42.883,15,5,37,39.302,0,0.0,0,21.6,0,4,0.132,0.619,2,27.5,9,1.159
4.638,28.858,27.578,34.9,45,25,11.6,5,363.35,1,27,16,4,17,48.959,18,7,43,43.978,0,0.0,0,9.3,0,11,0.156,0.671,1,36.0,15,1.139
5.0,32.387,30.653,32.0,52,27,12.0,6,394.42,1,29,15,4,16,57.288,23,6,50,50.847,0,0.0,0,8.0,0,9,0.115,0.648,1,37.5,16,1.146
4.041,27.648,26.357,34.1,43,24,14.6,6,348.34,1,26,16,3,17,46.833,17,6,41,41.869,0,0.0,0,7.3,0,11,0.14,0.674,1,35.0,14,1.142
4.553,30.415,29.194,31.1,47,27,11.1,5,415.41,2,29,15,6,18,51.298,18,5,45,46.709,0,0.0,1,13.3,0,9,0.106,0.676,3,39.5,14,1.14
6.046,28.716,27.405,33.3,44,25,11.9,5,385.78,2,27,15,4,16,47.903,17,4,42,43.302,1,2.4,0,9.5,0,9,0.091,0.684,1,35.5,14,1.141
5.0,29.415,27.906,31.1,47,25,15.6,7,365.38,1,27,15,3,16,51.746,20,4,45,45.854,0,0.0,0,6.7,0,8,0.085,0.654,1,35.5,14,1.15
4.0,29.102,28.072,34.9,45,26,14.0,6,376.35,1,28,16,4,18,49.042,17,6,43,44.196,0,0.0,0,9.3,0,12,0.133,0.677,2,38.0,15,1.141
4.0,33.62,32.104,38.8,52,29,10.2,5,413.41,1,32,21,4,22,55.374,20,7,49,49.862,0,0.0,0,8.2,0,15,0.135,0.686,1,43.5,19,1.13
4.0,25.324,25.557,31.7,43,24,12.2,5,339.35,0,26,10,6,11,47.239,17,5,41,42.774,0,0.0,0,14.6,0,6,0.116,0.618,1,32.0,13,1.152
4.0,24.568,25.051,30.0,42,24,15.0,6,340.34,0,26,10,6,11,46.322,16,5,40,41.993,0,0.0,0,15.0,0,6,0.119,0.614,1,32.0,12,1.158
4.0,29.415,27.906,31.1,47,25,15.6,7,365.38,1,27,15,3,16,51.746,20,5,45,45.854,0,0.0,0,6.7,0,8,0.106,0.654,1,35.5,14,1.15
4.319,31.29,29.523,39.5,46,27,11.6,5,401.42,2,30,21,3,22,48.255,16,5,43,43.844,0,0.0,1,7.0,0,15,0.109,0.728,1,41.5,17,1.122
7.796,23.489,21.7,32.4,35,19,5.9,2,302.32,2,20,10,4,11,38.384,15,4,34,34.749,0,0.0,1,11.8,0,7,0.114,0.691,1,26.0,11,1.129
4.0,34.898,33.49,34.6,53,30,7.7,4,454.58,2,31,12,6,18,58.826,22,7,52,53.476,0,0.0,2,11.5,0,14,0.132,0.671,6,43.0,18,1.131
5.796,20.483,19.217,30.0,30,17,10.0,3,275.39,2,17,6,3,9,34.039,13,4,30,30.858,0,0.0,2,10.0,0,7,0.133,0.683,3,23.0,9,1.135
4.207,36.659,35.017,34.5,56,31,7.3,4,468.61,2,32,12,6,18,62.242,24,8,55,56.36,0,0.0,2,10.9,0,14,0.143,0.667,6,44.0,19,1.132
7.854,21.875,21.076,32.3,32,20,6.5,2,318.27,2,21,10,6,12,34.973,11,5,31,32.636,0,0.0,1,19.4,0,8,0.156,0.706,2,28.0,10,1.128
7.854,23.966,22.647,40.6,34,21,6.3,2,322.3,2,23,16,4,17,35.554,11,3,32,32.982,0,0.0,1,12.5,0,13,0.088,0.749,1,32.0,13,1.111
6.155,29.506,27.765,32.6,45,25,11.6,5,383.41,2,27,15,4,16,48.879,18,5,43,44.054,0,0.0,1,9.3,0,9,0.111,0.686,1,35.5,14,1.137
7.796,23.375,21.361,31.3,33,19,6.3,2,320.36,3,20,10,4,11,35.889,13,5,32,32.942,0,0.0,2,12.5,0,7,0.152,0.73,1,26.0,10,1.122
5.745,22.574,21.997,33.3,35,21,15.2,5,309.25,1,23,15,4,16,37.714,12,3,33,34.327,0,0.0,0,12.1,0,9,0.086,0.684,1,31.5,11,1.143
5.854,32.381,30.631,34.7,52,27,10.2,5,391.41,1,30,15,4,16,55.79,22,5,49,49.745,0,0.0,0,8.2,0,9,0.096,0.661,1,38.5,17,1.139
7.45,40.068,37.73,33.9,60,33,6.8,4,514.71,3,34,12,6,18,66.577,26,10,59,60.32,0,0.0,3,10.2,0,14,0.167,0.679,6,46.0,20,1.128
5.824,23.574,22.997,35.3,37,22,14.7,5,321.26,1,25,15,4,16,38.714,12,3,34,35.327,0,0.0,0,11.8,0,9,0.081,0.693,1,33.5,12,1.139
7.456,45.466,42.651,34.3,71,36,5.7,4,538.76,2,37,12,6,18,79.318,34,13,70,70.778,0,0.0,2,8.6,0,14,0.183,0.65,6,49.0,24,1.133
4.301,31.858,30.578,39.1,49,28,10.9,5,399.38,1,31,21,4,22,51.959,18,6,46,46.978,0,0.0,0,8.7,0,15,0.122,0.693,1,42.5,18,1.13
4.301,29.949,28.857,41.5,44,27,9.8,4,404.77,2,30,21,4,22,45.99,14,5,41,42.316,1,2.4,0,9.8,0,15,0.114,0.73,1,41.5,17,1.122
7.26,39.909,37.519,33.3,55,34,7.4,4,587.6,6,35,12,6,18,60.554,20,11,54,56.276,2,3.7,4,11.1,0,14,0.2,0.739,6,47.0,18,1.121
5.469,38.421,36.543,34.5,59,32,6.9,4,482.64,2,33,12,6,18,65.657,26,9,58,59.243,0,0.0,2,10.3,0,14,0.153,0.662,6,45.0,20,1.132
4.0,24.563,25.03,33.3,41,24,12.8,5,337.33,0,26,10,6,12,44.824,15,4,39,40.891,0,0.0,0,15.4,0,8,0.098,0.63,2,33.0,13,1.149
4.0,27.773,27.029,27.3,46,25,13.6,6,374.34,1,27,10,6,11,50.876,19,5,44,45.734,0,0.0,0,13.6,0,5,0.109,0.631,1,33.0,12,1.156
4.0,26.33,26.578,30.2,45,25,14.0,6,354.37,0,27,10,6,11,49.737,18,6,43,44.876,0,0.0,0,14.0,0,6,0.133,0.612,1,33.0,13,1.157
5.699,27.097,26.051,35.0,43,24,12.5,5,349.32,1,27,15,4,16,45.544,16,3,40,41.094,0,0.0,0,10.0,0,9,0.07,0.677,1,35.5,14,1.139
5.301,30.097,29.051,39.5,46,27,11.6,5,385.35,1,30,21,4,22,48.544,16,5,43,44.094,0,0.0,0,9.3,0,15,0.109,0.7,1,41.5,17,1.129
5.0,34.381,32.631,37.3,56,29,9.8,5,415.43,1,34,15,4,16,57.79,22,3,51,51.745,0,0.0,0,7.8,0,9,0.054,0.674,1,42.5,19,1.133
4.886,29.574,28.233,33.3,44,26,11.9,5,420.22,3,28,15,4,16,47.847,16,4,42,43.625,2,4.8,0,9.5,0,9,0.091,0.704,1,36.5,14,1.139
4.456,32.409,30.884,38.3,50,28,12.8,6,398.4,1,31,21,3,22,53.248,19,6,47,47.753,0,0.0,0,6.4,0,15,0.12,0.69,1,42.5,18,1.133
4.0,29.404,27.863,37.2,45,25,11.6,5,359.36,1,27,16,3,18,48.75,18,6,43,43.651,0,0.0,0,7.0,0,13,0.133,0.684,2,37.0,16,1.134
4.0,30.165,28.39,35.6,47,25,11.1,5,361.38,1,27,16,3,17,51.165,20,7,45,45.534,0,0.0,0,6.7,0,11,0.149,0.67,1,36.0,16,1.137
4.0,28.199,27.885,43.9,44,26,12.2,5,349.38,0,29,21,3,22,46.196,15,5,41,41.909,0,0.0,0,7.3,0,16,0.114,0.688,1,40.5,18,1.127
4.0,37.142,35.158,38.2,58,31,9.1,5,441.47,1,34,21,4,22,62.205,24,9,55,55.629,0,0.0,0,7.3,0,15,0.155,0.675,1,45.5,21,1.131
4.0,29.989,29.27,27.1,50,27,12.5,6,404.37,1,29,10,7,11,55.501,21,7,48,49.945,0,0.0,0,14.6,0,5,0.14,0.625,1,35.0,13,1.156
5.347,28.313,27.292,32.6,45,25,11.6,5,367.34,1,27,15,5,16,49.169,18,5,43,44.305,0,0.0,0,11.6,0,9,0.111,0.658,1,35.5,14,1.143
5.0,27.858,26.578,33.3,44,24,11.9,5,351.34,1,26,15,4,16,47.959,18,4,42,42.978,0,0.0,0,9.5,0,9,0.091,0.663,1,34.5,14,1.142
4.0,29.409,27.884,34.1,46,25,13.6,6,362.37,1,27,16,3,17,50.248,19,7,44,44.753,0,0.0,0,6.8,0,11,0.152,0.668,1,36.0,15,1.142
4.728,19.75,18.405,38.5,28,17,7.7,2,268.25,2,19,11,3,12,28.929,9,1,26,26.771,0,0.0,1,11.5,0,9,0.036,0.76,1,25.5,10,1.113
7.886,21.966,20.647,36.7,32,19,6.7,2,298.28,2,21,11,4,12,33.554,11,2,30,30.982,0,0.0,1,13.3,0,9,0.063,0.732,1,27.5,11,1.118
6.772,23.273,21.459,37.5,34,19,6.3,2,296.31,2,21,11,3,12,35.76,13,1,32,32.538,0,0.0,1,9.4,0,9,0.029,0.727,1,27.5,12,1.117
6.076,23.273,21.459,37.5,34,19,6.3,2,296.31,2,21,11,3,12,35.76,13,2,32,32.538,0,0.0,1,9.4,0,9,0.059,0.727,1,27.5,12,1.117
4.668,23.727,22.174,36.4,35,20,6.1,2,312.31,2,22,11,4,12,36.969,13,3,33,33.865,0,0.0,1,12.1,0,9,0.086,0.719,1,28.5,12,1.12
5.031,21.511,19.932,37.9,31,18,6.9,2,282.28,2,20,11,3,12,32.345,11,1,29,29.655,0,0.0,1,10.3,0,9,0.032,0.742,1,26.5,11,1.115
6.907,21.966,20.647,36.7,32,19,6.7,2,298.28,2,21,11,4,12,33.554,11,3,30,30.982,0,0.0,1,13.3,0,9,0.094,0.732,1,27.5,11,1.118
4.785,23.727,22.174,36.4,35,20,6.1,2,312.31,2,22,11,4,12,36.969,13,3,33,33.865,0,0.0,1,12.1,0,9,0.086,0.719,1,28.5,12,1.12
4.037,19.75,18.405,38.5,28,17,7.7,2,268.25,2,19,11,3,12,28.929,9,1,26,26.771,0,0.0,1,11.5,0,9,0.036,0.76,1,25.5,10,1.113
7.328,23.148,22.225,37.5,34,21,6.3,2,332.29,2,23,11,3,12,36.439,11,2,32,33.564,2,6.3,1,9.4,2,9,0.059,0.723,1,29.5,12,1.139
6.398,28.96,27.087,36.6,43,24,7.3,3,414.22,2,26,15,4,16,46.219,17,4,41,41.887,1,2.4,0,9.8,0,11,0.093,0.706,1,34.5,15,1.127
6.553,30.307,28.972,37.8,47,26,6.7,3,379.36,1,28,15,4,17,51.133,19,5,45,46.054,1,2.2,0,8.9,1,13,0.106,0.673,2,37.5,17,1.136
5.377,27.54,26.723,41.0,42,25,7.7,3,359.3,1,28,20,5,21,43.757,14,4,39,40.218,0,0.0,0,12.8,0,15,0.095,0.706,1,39.0,16,1.122
7.26,37.358,35.1,34.5,60,30,6.9,4,438.49,1,32,15,4,16,66.292,28,8,58,58.691,1,1.7,0,6.9,1,11,0.133,0.644,1,40.5,20,1.143
7.153,31.068,29.498,36.2,49,26,6.4,3,381.38,1,28,15,4,16,53.548,21,5,47,47.938,1,2.1,0,8.5,1,11,0.102,0.661,1,36.5,17,1.139
7.0,28.404,27.272,36.6,43,25,7.3,3,387.76,2,27,15,4,16,46.662,16,4,41,42.494,2,4.9,0,9.8,1,11,0.093,0.693,1,35.5,15,1.138
5.488,33.892,31.642,37.3,54,27,5.9,3,389.43,1,30,15,4,16,57.623,24,4,51,51.309,0,0.0,0,7.8,0,11,0.074,0.665,1,38.5,19,1.13
5.959,25.847,24.535,36.8,40,22,7.9,3,321.3,1,24,15,4,16,42.963,16,4,38,38.774,0,0.0,0,10.5,0,11,0.1,0.68,1,32.5,14,1.131
5.602,31.131,29.115,36.2,49,25,6.4,3,363.39,1,27,15,4,16,53.208,22,5,47,47.425,0,0.0,0,8.5,0,11,0.102,0.662,1,35.5,17,1.132
7.222,32.068,30.498,37.5,51,27,6.3,3,393.39,1,30,15,4,16,54.548,21,5,48,48.938,1,2.1,0,8.3,1,11,0.098,0.668,1,38.5,18,1.136
7.046,35.068,33.498,41.2,54,30,5.9,3,429.42,1,33,21,4,22,57.548,21,5,51,51.938,1,2.0,0,7.8,1,17,0.093,0.688,1,44.5,21,1.128
5.824,27.608,26.062,36.6,43,23,7.3,3,335.33,1,25,15,4,16,46.378,18,4,41,41.658,0,0.0,0,9.8,0,11,0.093,0.673,1,33.5,15,1.131
6.648,28.404,27.272,36.6,43,25,7.3,3,387.76,2,27,15,4,16,46.662,16,4,41,42.494,2,4.9,0,9.8,1,11,0.093,0.693,1,35.5,15,1.138
7.097,33.284,31.74,35.3,53,28,5.9,3,411.41,1,30,15,5,16,58.173,23,7,51,52.149,1,2.0,0,9.8,1,11,0.132,0.653,1,38.5,18,1.141
6.745,35.006,33.882,41.2,54,31,5.9,3,447.41,1,34,21,4,22,57.888,20,5,51,52.451,2,3.9,0,7.8,2,17,0.093,0.686,1,45.5,21,1.135
5.602,32.131,30.115,37.5,51,26,6.3,3,375.4,1,29,15,4,16,54.208,22,4,48,48.425,0,0.0,0,8.3,0,11,0.078,0.669,1,37.5,18,1.129
7.0,38.114,35.606,35.6,61,30,5.1,3,437.5,1,32,15,4,16,67.209,29,8,59,59.472,1,1.7,0,6.8,1,11,0.131,0.646,1,40.5,21,1.139
6.0,33.131,31.115,38.8,53,27,6.1,3,387.41,1,31,15,4,16,55.208,22,4,49,49.425,0,0.0,0,8.2,0,11,0.075,0.676,1,39.5,19,1.127
6.071,29.307,27.972,36.4,46,25,6.8,3,367.35,1,27,15,4,16,50.133,19,5,44,45.054,1,2.3,0,9.1,1,11,0.109,0.666,1,35.5,16,1.139
6.097,28.608,27.062,38.1,45,24,7.1,3,347.34,1,27,15,4,16,47.378,18,4,42,42.658,0,0.0,0,9.5,0,11,0.089,0.681,1,35.5,16,1.128
5.602,37.369,35.588,46.2,56,32,5.8,3,445.44,1,36,27,4,28,57.793,20,5,52,52.542,0,0.0,0,7.7,0,23,0.089,0.719,1,50.5,24,1.111
7.155,35.449,33.38,35.8,55,29,5.7,3,443.88,2,31,15,4,16,60.322,24,7,53,54.029,2,3.8,0,7.5,1,11,0.127,0.669,1,39.5,19,1.138
5.824,30.37,28.588,37.8,48,25,6.7,3,361.37,1,28,15,4,16,50.793,20,4,45,45.542,0,0.0,0,8.9,0,11,0.083,0.675,1,36.5,17,1.129
7.0,32.83,31.025,36.0,52,27,6.0,3,395.41,1,29,15,4,16,56.963,23,6,50,50.822,1,2.0,0,8.0,1,11,0.115,0.657,1,37.5,18,1.139
5.155,31.421,31.211,42.2,48,30,6.7,3,437.34,1,33,21,4,22,51.397,15,4,45,47.196,3,6.7,0,8.9,3,17,0.083,0.698,1,44.5,19,1.142
6.046,28.466,26.889,36.6,43,24,7.3,3,369.77,2,26,15,4,16,46.322,17,4,41,41.982,1,2.4,0,9.8,0,11,0.093,0.694,1,34.5,15,1.13
6.0,30.313,28.112,36.6,43,25,7.3,3,493.11,3,27,15,4,16,46.061,16,4,41,42.116,2,4.9,0,9.8,0,11,0.093,0.739,1,35.5,15,1.123
7.658,23.727,22.174,36.4,35,20,6.1,2,312.31,2,22,11,4,12,36.969,13,2,33,33.865,0,0.0,1,12.1,0,9,0.057,0.719,1,28.5,12,1.12
5.222,22.324,21.481,37.5,34,20,9.4,3,293.24,1,22,15,4,16,36.132,12,2,32,33.007,0,0.0,0,12.5,0,11,0.059,0.698,1,30.5,12,1.129
6.745,29.756,27.359,31.7,42,24,7.3,3,407.61,4,25,10,4,13,45.919,17,7,41,42.105,0,0.0,4,9.8,0,8,0.167,0.726,3,33.0,13,1.12
4.547,19.75,18.405,38.5,28,17,7.7,2,268.25,2,19,11,3,12,28.929,9,1,26,26.771,0,0.0,1,11.5,0,9,0.036,0.76,1,25.5,10,1.113
5.648,24.085,23.008,37.1,37,21,8.6,3,307.27,1,23,15,4,16,39.547,14,3,35,35.891,0,0.0,0,11.4,0,11,0.081,0.688,1,31.5,13,1.13
6.301,28.063,26.776,35.7,44,24,7.1,3,351.33,1,26,15,5,16,47.587,18,4,42,42.985,0,0.0,0,11.9,0,11,0.091,0.668,1,34.5,15,1.133
6.398,28.96,27.087,36.6,43,24,7.3,3,414.22,2,26,15,4,16,46.219,17,4,41,41.887,1,2.4,0,9.8,0,11,0.093,0.706,1,34.5,15,1.127
5.523,32.892,30.642,36.0,52,26,6.0,3,377.42,1,28,15,4,16,56.623,24,6,50,50.309,0,0.0,0,8.0,0,11,0.115,0.658,1,36.5,18,1.132
6.886,28.898,27.47,36.6,43,25,7.3,3,432.21,2,27,15,4,16,46.559,16,4,41,42.4,2,4.9,0,9.8,1,11,0.093,0.705,1,35.5,15,1.136
4.719,23.727,22.174,36.4,35,20,6.1,2,312.31,2,22,11,4,12,36.969,13,3,33,33.865,0,0.0,1,12.1,0,9,0.086,0.719,1,28.5,12,1.12
7.155,20.205,19.12,37.0,29,18,7.4,2,284.25,2,20,11,4,12,30.139,9,2,27,28.098,0,0.0,1,14.8,0,9,0.069,0.748,1,26.5,10,1.116
7.26,26.784,25.918,38.5,42,24,7.7,3,351.3,1,27,15,4,16,44.302,15,4,39,40.287,1,2.6,0,10.3,1,11,0.095,0.687,1,35.5,15,1.136
6.347,29.324,27.717,36.6,43,25,7.3,3,404.21,3,27,15,4,16,46.266,16,4,41,42.305,2,4.9,0,9.8,0,11,0.093,0.715,1,35.5,15,1.128
4.38,25.489,23.7,36.1,38,21,5.6,2,326.34,2,23,11,4,12,40.384,15,3,36,36.749,0,0.0,1,11.1,0,9,0.079,0.708,1,29.5,13,1.122
5.398,28.733,27.195,41.0,42,25,7.7,3,375.37,2,28,20,4,21,43.467,14,4,39,39.967,0,0.0,1,10.3,0,15,0.095,0.737,1,39.0,16,1.115
6.155,29.824,28.303,35.6,47,25,6.7,3,365.36,1,27,15,5,16,51.002,20,5,45,45.869,0,0.0,0,11.1,0,11,0.106,0.663,1,35.5,16,1.133
6.699,28.466,26.889,36.6,43,24,7.3,3,369.77,2,26,15,4,16,46.322,17,4,41,41.982,1,2.4,0,9.8,0,11,0.093,0.694,1,34.5,15,1.13
6.097,26.847,25.535,38.5,42,23,7.7,3,333.31,1,26,15,4,16,43.963,16,4,39,39.774,0,0.0,0,10.3,0,11,0.095,0.688,1,34.5,15,1.127
5.0,30.676,28.742,36.6,43,26,7.3,3,483.1,4,28,15,4,16,46.107,15,4,41,42.535,3,7.3,0,9.8,0,11,0.093,0.748,1,36.5,15,1.125
5.301,29.847,28.535,42.9,45,26,7.1,3,369.34,1,29,21,4,22,46.963,16,4,42,42.774,0,0.0,0,9.5,0,17,0.089,0.711,1,40.5,18,1.118
7.046,35.926,34.326,41.2,54,31,5.9,3,463.86,2,34,21,4,22,57.492,20,5,51,52.262,2,3.9,0,7.8,1,17,0.093,0.704,1,45.5,21,1.127
6.594,28.153,26.386,31.6,39,24,7.9,3,456.4,4,25,10,5,13,42.635,14,7,38,39.702,1,2.6,3,13.2,0,8,0.179,0.741,3,33.0,12,1.122
5.733,30.301,29.25,41.9,46,27,7.0,3,385.34,1,30,21,5,22,48.172,16,4,43,44.102,0,0.0,0,11.6,0,17,0.087,0.705,1,41.5,18,1.12
6.678,38.114,35.606,35.6,61,30,5.1,3,437.5,1,32,15,4,16,67.209,29,7,59,59.472,1,1.7,0,6.8,1,11,0.115,0.646,1,40.5,21,1.139
7.0,27.546,26.445,36.6,43,24,7.3,3,353.32,1,26,15,4,16,46.718,17,4,41,42.171,1,2.4,0,9.8,1,11,0.093,0.672,1,34.5,15,1.139
6.824,31.068,29.498,36.2,49,26,6.4,3,381.38,1,28,15,4,16,53.548,21,6,47,47.938,1,2.1,0,8.5,1,11,0.122,0.661,1,36.5,17,1.139
5.022,36.892,34.642,40.7,57,30,5.6,3,425.46,1,33,21,4,22,60.623,24,5,54,54.309,0,0.0,0,7.4,0,17,0.088,0.683,1,44.5,22,1.123
6.366,25.176,23.617,34.4,34,22,9.4,3,424.35,4,24,10,4,13,35.595,10,3,32,33.607,1,3.1,3,12.5,0,8,0.088,0.787,3,32.0,11,1.112
6.638,24.835,23.242,36.4,34,21,9.1,3,390.31,3,22,11,3,14,36.881,12,4,33,34.087,1,3.0,2,9.1,0,10,0.118,0.753,3,30.5,12,1.118
9.0,23.42,22.362,37.5,34,21,6.3,2,326.29,2,23,11,5,13,35.763,11,4,32,33.309,0,0.0,1,15.6,0,10,0.118,0.732,2,30.5,12,1.118
6.64,23.074,21.715,36.7,31,20,10.0,3,376.28,3,21,11,3,14,33.466,10,3,30,31.204,1,3.3,2,10.0,0,10,0.097,0.769,3,29.5,11,1.116
6.655,24.835,23.242,36.4,34,21,9.1,3,390.31,3,22,11,3,14,36.881,12,3,33,34.087,1,3.0,2,9.1,0,10,0.088,0.753,3,30.5,12,1.118
7.222,29.46,27.198,32.5,41,24,7.5,3,454.43,4,25,10,4,13,44.841,16,7,40,41.258,1,2.5,3,10.0,0,8,0.171,0.737,3,33.0,13,1.121
6.824,30.943,29.165,37.5,42,27,10.0,4,489.43,4,29,16,4,19,44.508,13,5,40,41.593,1,2.5,3,10.0,0,13,0.119,0.774,3,40.0,15,1.113
7.373,28.665,27.307,38.9,38,26,11.1,4,477.39,4,28,16,3,19,40.224,10,4,36,37.895,2,5.6,3,8.3,1,13,0.105,0.796,3,39.0,14,1.117
7.155,28.296,26.978,36.8,40,25,10.5,4,445.35,3,27,15,4,18,42.588,13,4,38,39.516,1,2.6,2,10.5,0,12,0.1,0.745,3,37.5,14,1.121
7.461,29.006,26.483,33.3,40,23,7.7,3,438.43,4,24,10,3,13,43.631,16,5,39,39.931,1,2.6,3,7.7,0,8,0.125,0.744,3,32.0,13,1.119
